year,state,place,juv_arrest_rate_quality,subgroup,juv_arrest_rate,subgroup_type
2021,01,03076,2,all,308.5966201322557,race-ethnicity
2021,01,03076,2,white,121.62983985404419,race-ethnicity
2021,01,03076,2,black,1446.4802314368371,race-ethnicity
2021,01,03076,2,asian_other,0,race-ethnicity
2021,01,03076,2,hispanic,0,race-ethnicity
2021,01,07000,2,all,487.323780240181,race-ethnicity
2021,01,07000,2,white,347.22222222222223,race-ethnicity
2021,01,07000,2,black,560.7073538926029,race-ethnicity
2021,01,07000,2,asian_other,0,race-ethnicity
2021,01,07000,2,hispanic,233.46303501945525,race-ethnicity
2021,01,35896,1,all,328.45625559868614,race-ethnicity
2021,01,35896,1,white,284.8575712143928,race-ethnicity
2021,01,35896,1,black,672.4303554274735,race-ethnicity
2021,01,35896,1,asian_other,0,race-ethnicity
2021,01,35896,1,hispanic,414.0786749482402,race-ethnicity
2021,01,37000,3,all,0,race-ethnicity
2021,01,37000,3,white,0,race-ethnicity
2021,01,37000,3,black,0,race-ethnicity
2021,01,37000,3,asian_other,0,race-ethnicity
2021,01,37000,3,hispanic,0,race-ethnicity
2021,01,50000,2,all,1958.4885577434804,race-ethnicity
2021,01,50000,2,white,997.6720984369804,race-ethnicity
2021,01,50000,2,black,2344.1481229828432,race-ethnicity
2021,01,50000,2,asian_other,199.6007984031936,race-ethnicity
2021,01,50000,2,hispanic,1213.5922330097087,race-ethnicity
2021,01,51000,3,all,0,race-ethnicity
2021,01,51000,3,white,0,race-ethnicity
2021,01,51000,3,black,0,race-ethnicity
2021,01,51000,3,asian_other,0,race-ethnicity
2021,01,51000,3,hispanic,0,race-ethnicity
2021,01,77256,1,all,564.4402634054563,race-ethnicity
2021,01,77256,1,white,495.458298926507,race-ethnicity
2021,01,77256,1,black,657.1741511500547,race-ethnicity
2021,01,77256,1,asian_other,0,race-ethnicity
2021,01,77256,1,hispanic,210.97046413502107,race-ethnicity
2021,02,03000,3,all,0,race-ethnicity
2021,02,03000,3,white,0,race-ethnicity
2021,02,03000,3,black,0,race-ethnicity
2021,02,03000,3,asian_other,0,race-ethnicity
2021,02,03000,3,hispanic,0,race-ethnicity
2021,04,04720,1,all,1930.5019305019305,race-ethnicity
2021,04,04720,1,white,2344.7069116360453,race-ethnicity
2021,04,04720,1,black,7361.963190184049,race-ethnicity
2021,04,04720,1,asian_other,95.57945041816009,race-ethnicity
2021,04,04720,1,hispanic,0,race-ethnicity
2021,04,07940,1,all,1241.486335028882,race-ethnicity
2021,04,07940,1,white,1473.4050390452335,race-ethnicity
2021,04,07940,1,black,7400.379506641367,race-ethnicity
2021,04,07940,1,asian_other,23.337222870478413,race-ethnicity
2021,04,07940,1,hispanic,882.837049229388,race-ethnicity
2021,04,12000,1,all,1330.5120066685904,race-ethnicity
2021,04,12000,1,white,1573.7363210005212,race-ethnicity
2021,04,12000,1,black,4264.392324093817,race-ethnicity
2021,04,12000,1,asian_other,276.5432098765432,race-ethnicity
2021,04,12000,1,hispanic,0,race-ethnicity
2021,04,23620,1,all,944.7111661762428,race-ethnicity
2021,04,23620,1,white,356.687898089172,race-ethnicity
2021,04,23620,1,black,2586.206896551724,race-ethnicity
2021,04,23620,1,asian_other,1779.8013245033114,race-ethnicity
2021,04,23620,1,hispanic,108.8139281828074,race-ethnicity
2021,04,27400,1,all,1293.5634158402956,race-ethnicity
2021,04,27400,1,white,1385.217653160237,race-ethnicity
2021,04,27400,1,black,4563.758389261745,race-ethnicity
2021,04,27400,1,asian_other,212.94718909710392,race-ethnicity
2021,04,27400,1,hispanic,1173.7376207360314,race-ethnicity
2021,04,27820,NA,all,NA,race-ethnicity
2021,04,27820,NA,white,NA,race-ethnicity
2021,04,27820,NA,black,NA,race-ethnicity
2021,04,27820,NA,asian_other,NA,race-ethnicity
2021,04,27820,NA,hispanic,NA,race-ethnicity
2021,04,28380,1,all,654.9846886696156,race-ethnicity
2021,04,28380,1,white,822.0429289085098,race-ethnicity
2021,04,28380,1,black,2762.430939226519,race-ethnicity
2021,04,28380,1,asian_other,22.406453058480842,race-ethnicity
2021,04,28380,1,hispanic,245.18388791593694,race-ethnicity
2021,04,46000,2,all,1309.2986165201587,race-ethnicity
2021,04,46000,2,white,1513.8121546961327,race-ethnicity
2021,04,46000,2,black,3654.822335025381,race-ethnicity
2021,04,46000,2,asian_other,297.9616712941017,race-ethnicity
2021,04,46000,2,hispanic,0,race-ethnicity
2021,04,54050,1,all,2283.9741149600304,race-ethnicity
2021,04,54050,1,white,2726.9565217391305,race-ethnicity
2021,04,54050,1,black,7991.587802313355,race-ethnicity
