year,place,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,10100,1.0160354,0.79692024,1.2351506,1
2017,10140,0.80998683,0.62068295,0.9992907,3
2017,10180,0.93803459,0.84335589,1.0327133,1
2017,10220,0.95458311,0.76268321,1.1464829,1
2017,10300,0.89738792,0.74720955,1.0475663,1
2017,10420,0.96738523,0.91105694,1.0237135,1
2017,10460,1.5735539,0.46625462,2.6808531,3
2017,10500,1.1087396,1.0084362,1.209043,1
2017,10540,1.0111157,0.83920091,1.1830304,2
2017,10580,0.72525603,0.44929817,1.0012139,3
2017,10620,0.90781289,0.74092746,1.0746983,1
2017,10660,0.84648502,0.52983904,1.163131,1
2017,10700,0.90533406,0.78679353,1.0238745,1
2017,10740,1.106106,0.85320604,1.359006,3
2017,10780,0.95367843,0.85776496,1.0495919,1
2017,10820,0.88296139,0.67449796,1.0914248,1
2017,10860,0.92652392,0.74919909,1.1038488,1
2017,10900,0.92359519,0.87836415,0.96882623,1
2017,10940,1.0491308,0.85035491,1.2479067,1
2017,10980,1.2274263,0.97132462,1.4835279,1
2017,11020,0.92009169,0.80048722,1.0396962,1
2017,11060,0.88344234,0.65279192,1.1140928,1
2017,11100,0.88570571,0.81438875,0.95702267,1
2017,11140,1.034189,0.82587099,1.242507,1
2017,11180,0.89833635,0.74733484,1.0493379,1
2017,11220,1.3763679,0.27376115,2.4789748,3
2017,11244,1.1460643,1.1214899,1.1706387,1
2017,11260,1.2373705,1.0531054,1.4216356,3
2017,11380,1.105835,0.85883051,1.3528395,1
2017,11420,0.98820931,0.73139411,1.2450244,1
2017,11460,1.2083991,1.1356275,1.2811706,1
2017,11500,0.77671015,0.65616053,0.89725977,1
2017,11540,1.0953338,1.0127574,1.1779102,1
2017,11580,0.86173338,0.64538908,1.0780777,1
2017,11620,0.89162296,0.72379446,1.0594515,1
2017,11660,0.79637873,0.50684083,1.0859166,1
2017,11680,1.1086504,0.8768,1.340501,1
2017,11700,0.86578256,0.79649878,0.93506634,1
2017,11740,1.0430666,0.84190226,1.244231,1
2017,11780,1.0318508,0.88679564,1.176906,1
2017,11820,1.0675639,0.7427547,1.3923731,2
2017,11860,0.82705349,0.46816429,1.1859426,1
2017,11900,1.0034939,0.80852556,1.1984622,1
2017,11940,0.96271026,0.77887201,1.1465485,1
2017,11980,0.87619799,0.71966332,1.0327327,1
2017,12020,1.0165079,0.91930044,1.1137153,1
2017,12060,0.99632007,0.98022991,1.0124103,1
2017,12100,1.0263593,0.94917369,1.103545,2
2017,12140,1.0858282,0.89462727,1.2770292,1
2017,12180,0.82200909,-0.16779196,1.8118101,3
2017,12220,0.81344861,0.7095899,0.91730732,1
2017,12260,0.9585408,0.9059673,1.0111142,1
2017,12300,0.92453927,0.79810584,1.0509727,1
2017,12380,0.86907208,0.66960049,1.0685437,1
2017,12420,0.94691616,0.91964322,0.9741891,1
2017,12460,0.68064833,0.45471254,0.90658408,1
2017,12540,1.1643152,1.1237103,1.2049202,1
2017,12580,0.85629314,0.82046008,0.8921262,2
2017,12620,0.9985556,0.8844142,1.112697,1
2017,12660,1.102424,0.94065654,1.2641915,1
2017,12680,0.88821572,0.70336157,1.0730699,1
2017,12700,0.95852184,0.85410792,1.0629357,1
2017,12740,1.0922585,0.83543432,1.3490826,2
2017,12780,0.91618669,0.73823267,1.0941408,1
2017,12820,0.95381248,0.71958101,1.188044,1
2017,12860,0.54555649,-0.50107318,1.5921862,3
2017,12900,0.93159062,0.73232716,1.130854,1
2017,12940,1.0102463,0.96500385,1.0554887,1
2017,12980,1.0707694,0.95944768,1.1820912,1
2017,13020,1.0955288,0.96005505,1.2310026,1
2017,13060,0.93017095,0.7316888,1.128653,1
2017,13100,0.979442,0.67404681,1.2848371,1
2017,13140,0.87962532,0.81832129,0.94092935,1
2017,13180,0.99025714,0.83082432,1.1496899,1
2017,13220,0.87573439,0.75564581,0.99582297,1
2017,13260,0.92517,0.72797334,1.1223667,1
2017,13300,0.97053009,0.74723846,1.1938218,1
2017,13340,1.1444157,0.92850989,1.3603215,1
2017,13380,1.0032612,0.88556725,1.1209552,3
2017,13420,1.0044749,0.82123768,1.1877121,1
2017,13460,0.81369132,0.51744688,1.1099358,3
2017,13500,1.2056925,0.94488561,1.4664994,1
2017,13540,0.86007595,0.52169204,1.1984599,2
2017,13620,0.79372901,0.54629415,1.0411639,1
2017,13660,0.92103362,0.69291681,1.1491504,1
2017,13700,1.109604,0.90804833,1.3111597,1
2017,13720,0.88176239,0.71536529,1.0481595,1
2017,13740,1.0722033,0.9623003,1.1821063,2
2017,13780,0.96070009,0.43528941,1.4861108,3
2017,13820,0.88531142,0.84785759,0.92276525,1
2017,13900,0.82446045,0.70376664,0.94515425,1
2017,13940,1.0262008,0.85669333,1.1957083,1
2017,13980,0.77895617,0.66598791,0.89192444,1
2017,14010,0.77188545,0.67574304,0.86802787,1
2017,14020,1.1748508,1.050092,1.2996097,1
2017,14100,1.0702602,0.91318166,1.2273387,1
2017,14140,1.0044723,0.87302309,1.1359215,1
2017,14180,0.88843179,0.71840203,1.0584615,1
2017,14220,0.98923951,0.80054933,1.1779296,1
2017,14260,1.146513,1.097298,1.1957279,1
2017,14340,0.82285661,0.5418179,1.1038953,1
2017,14380,1.0712237,0.83219701,1.3102505,1
2017,14420,1.0748554,0.82986414,1.3198467,1
2017,14454,0.98409402,0.9527207,1.0154673,1
2017,14500,0.50953019,0.074510619,0.94454974,3
2017,14540,1.061633,0.96393895,1.159327,1
2017,14580,0.94567347,0.79188138,1.0994656,2
2017,14620,0.90707213,0.69457281,1.1195714,1
2017,14660,0.92402148,0.78945422,1.0585887,1
2017,14700,1.0116744,0.86411494,1.1592339,1
2017,14720,1.8178314,0.20668413,3.4289787,3
2017,14740,0.89974236,0.7995187,0.99996603,3
2017,14780,0.93491197,0.71574587,1.154078,1
2017,14820,0.87113273,0.60694188,1.1353235,1
2017,14860,0.94664031,0.9010179,0.99226272,1
2017,15020,1.0655687,0.85820383,1.2729336,1
2017,15060,0.83850026,0.3600302,1.3169703,2
2017,15100,0.87211215,0.60685325,1.1373711,1
2017,15180,1.0097764,0.96067572,1.058877,1
2017,15220,0.8514154,0.65757871,1.0452521,1
2017,15260,1.0512065,0.93272144,1.1696916,1
2017,15340,1.1057439,0.90215516,1.3093326,1
2017,15380,NA,NA,NA,NA
2017,15420,0.96987635,0.7933538,1.1463989,1
2017,15460,0.746333,0.55630547,0.93636054,1
2017,15500,0.84184337,0.73750764,0.94617909,1
2017,15540,1.0566355,0.92414838,1.1891227,2
2017,15580,1.0138277,0.7449612,1.2826942,2
2017,15620,1.0339506,0.847821,1.2200801,1
2017,15660,0.82522452,0.67028606,0.98016298,1
2017,15680,0.93685049,0.76202184,1.1116791,2
2017,15700,0.94509345,0.62502307,1.2651639,2
2017,15740,1.0630292,0.81587356,1.3101847,1
2017,15764,1.0112507,0.98318779,1.0393137,1
2017,15780,0.90115082,0.65445739,1.1478443,1
2017,15804,0.94811082,0.91207165,0.98414999,2
2017,15820,1.0324041,0.77847278,1.2863353,1
2017,15860,1.1206666,-0.20076935,2.4421027,3
2017,15900,0.95893091,0.73935539,1.1785065,1
2017,15940,1.0235467,0.95266277,1.0944307,1
2017,15980,0.79974097,0.74544168,0.85404027,1
2017,16020,0.96506268,0.82489091,1.1052344,1
2017,16060,1.0420332,0.92099535,1.163071,1
2017,16100,1.2601132,0.33816749,2.182059,3
2017,16180,1.0786066,0.87623262,1.2809806,2
2017,16220,0.90429485,0.7526952,1.0558945,1
2017,16260,1.1627425,0.69317943,1.6323055,3
2017,16300,0.92016166,0.84283257,0.99749076,1
2017,16340,0.6926139,0.49784663,0.8873812,1
2017,16380,0.91585481,0.71540499,1.1163046,2
2017,16460,1.1359653,0.92034531,1.3515854,1
2017,16500,1.1050755,0.92419904,1.2859519,3
2017,16540,0.97258461,0.86366528,1.081504,1
2017,16580,1.0371957,0.94351649,1.1308749,1
2017,16620,0.90704346,0.81868291,0.99540401,1
2017,16660,0.85974592,0.6781438,1.0413481,1
2017,16700,1.0440278,0.99566871,1.0923868,1
2017,16740,0.91996628,0.89449763,0.94543493,1
2017,16820,0.81726152,0.72257036,0.91195267,1
2017,16860,0.96870631,0.90991825,1.0274944,1
2017,16940,0.91465938,0.77700639,1.0523124,1
2017,16974,1.0809469,1.0660123,1.0958816,1
2017,17020,1.1936948,1.0925657,1.294824,1
2017,17060,0.88349068,0.71942854,1.0475528,1
2017,17140,0.95041752,0.92081547,0.98001957,1
2017,17200,0.92105442,0.81310809,1.0290008,1
2017,17220,1.0502158,0.91074681,1.1896849,1
2017,17260,0.74810743,0.51317114,0.98304373,1
2017,17300,0.90952551,0.83151585,0.98753518,1
2017,17340,0.94935977,0.76296687,1.1357527,1
2017,17380,0.97265989,0.74398029,1.2013395,1
2017,17420,0.89646953,0.77719295,1.0157461,1
2017,17460,1.0139651,0.98130155,1.0466287,1
2017,17500,0.74168426,0.54983234,0.93353617,1
2017,17540,0.82698321,0.63417536,1.0197911,1
2017,17580,1.1544967,0.2037276,2.1052659,3
2017,17660,1.1025788,0.98848474,1.2166728,1
2017,17700,0.95059484,0.71723694,1.1839528,1
2017,17740,1.2307638,1.037358,1.4241695,1
2017,17780,0.88739699,0.80143344,0.97336054,1
2017,17820,0.72193748,0.44510394,0.99877101,3
2017,17860,0.95749694,0.85314012,1.0618538,1
2017,17900,0.9839468,0.93928385,1.0286098,1
2017,17980,1.0249662,0.94975203,1.1001805,1
2017,18020,1.0315205,0.88901228,1.1740288,1
2017,18060,0.99664181,0.83648103,1.1568027,1
2017,18100,0.76129085,0.53201109,0.9905706,1
2017,18140,0.99363017,0.96276778,1.0244926,1
2017,18180,0.95765752,0.84452975,1.0707853,1
2017,18220,1.2462419,0.98312473,1.5093591,1
2017,18260,0.95052087,0.77761459,1.1234272,2
2017,18300,0.91309988,0.37715694,1.4490428,3
2017,18380,0.97211134,0.71803856,1.2261841,1
2017,18420,0.88224775,0.66821033,1.0962851,1
2017,18460,0.70219737,0.50113028,0.90326446,1
2017,18500,0.71279544,-0.080373593,1.5059645,3
2017,18580,1.0185127,0.96235555,1.0746698,1
2017,18620,1.010622,0.85141855,1.1698254,1
2017,18660,1.0320993999999999,-0.15030889,2.2145076,3
2017,18700,1.0872767,0.85993654,1.3146169,2
2017,18740,1.0900313,0.84901303,1.3310494,1
2017,18780,1.1687829,-0.70006227,3.0376282,3
2017,18820,0.97070611,0.76525384,1.1761584,1
2017,18860,0.60223925,-0.16401719,1.3684957,3
