state,place,city_name,subgroup,achievement_change,achievement_change_lb,achievement_change_ub,achievement_change_quality,year,state_name,_merge,subgroup_type,missing_outcome
01,03076,Auburn,All,.20167106,-.076579124,.47992125,1,2022,Alabama,Matched (3),,0
01,03076,Auburn,"Black, Non-Hispanic",.23587649,-.11497326,.58672625,1,2022,Alabama,Matched (3),race-ethnicity,0
01,03076,Auburn,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,03076,Auburn,"White, Non-Hispanic",.12542057,-.18366057,.43450171,1,2022,Alabama,Matched (3),race-ethnicity,0
01,03076,Auburn,Hispanic,,,,,2022,Alabama,Matched (3),race-ethnicity,1
01,03076,Auburn,Economically Disadvantaged,.16005571,-.18604778,.50615919,1,2022,Alabama,Matched (3),income,0
01,07000,Birmingham,Economically Disadvantaged,-.027723011,-.27943814,.22399211,1,2022,Alabama,Matched (3),income,0
01,07000,Birmingham,Hispanic,.39844304,.04681012,.75007594,1,2022,Alabama,Matched (3),race-ethnicity,0
01,07000,Birmingham,"White, Non-Hispanic",-.5072282,-.76095706,-.2534993,1,2022,Alabama,Matched (3),race-ethnicity,0
01,07000,Birmingham,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,07000,Birmingham,"Black, Non-Hispanic",-.098445445,-.36770067,.17080978,1,2022,Alabama,Matched (3),race-ethnicity,0
01,07000,Birmingham,All,-.090593345,-.33735889,.15617219,1,2022,Alabama,Matched (3),,0
01,35896,Hoover,Economically Disadvantaged,.45478097,.14429379,.76526815,1,2022,Alabama,Matched (3),income,0
01,35896,Hoover,All,.38086498,.11751088,.64421904,1,2022,Alabama,Matched (3),,0
01,35896,Hoover,Hispanic,1.033228,.48777193,1.5786841,3,2022,Alabama,Matched (3),race-ethnicity,0
01,35896,Hoover,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,35896,Hoover,"White, Non-Hispanic",.15371497,-.13207038,.43950033,1,2022,Alabama,Matched (3),race-ethnicity,0
01,35896,Hoover,"Black, Non-Hispanic",.37454456,.048411351,.70067775,1,2022,Alabama,Matched (3),race-ethnicity,0
01,37000,Huntsville,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,37000,Huntsville,"White, Non-Hispanic",-.51785189,-.7875424,-.24816138,1,2022,Alabama,Matched (3),race-ethnicity,0
01,37000,Huntsville,Economically Disadvantaged,-.091073245,-.36135608,.17920959,1,2022,Alabama,Matched (3),income,0
