year,state,place,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2018,01,03076,.79509109,.61535859,.97482359,1
2018,01,07000,.73879385,.63563406,.84195358,1
2018,01,35896,.95046842,.80830151,1.0926353,1
2018,01,37000,.74599093,.63122839,.86075354,1
2018,01,50000,.82489657,.75243592,.89735723,1
2018,01,51000,.69570553,.59645575,.79495531,1
2018,01,77256,.70088965,.56206667,.83971256,1
2018,02,03000,1.4015683,.94931674,1.8538198,3
2018,04,04720,1.2377089,1.0686213,1.4067966,1
2018,04,07940,.88258284,.68089449,1.0842712,1
2018,04,12000,.93241715,.85377127,1.0110631,1
2018,04,23620,1.0187087,.86005336,1.1773641,1
2018,04,27400,.90972525,.8099193,1.0095311,1
2018,04,27820,1.0569016,.96183962,1.1519636,1
2018,04,28380,,,,
2018,04,46000,.96771765,.90622318,1.0292121,1
2018,04,54050,,,,
2018,04,55000,1.0386405,.91240537,1.1648756,1
2018,04,65000,.94026339,.81721014,1.0633166,1
2018,04,71510,1.0442301,.95149416,1.1369661,1
2018,04,73000,1.0278503,.91744262,1.1382579,1
2018,04,77000,.98412031,.85705256,1.1111881,1
2018,04,85540,.90425402,.7419675,1.0665406,1
2018,05,23290,.87496293,.70528638,1.0446395,1
2018,05,24550,1.1707675,.98371625,1.3578188,1
2018,05,35710,1.0348617,.74728525,1.3224382,1
2018,05,41000,.78523272,.66991454,.90055096,1
2018,05,66080,1.0364423,.89042646,1.182458,1
2018,06,00562,.88084799,.6655708,1.0961251,1
2018,06,00884,1.2554253,1.0739324,1.4369183,1
2018,06,02000,.81271839,.6300599,.99537688,1
2018,06,02252,.75265449,.58143276,.92387623,1
2018,06,02364,.94886506,.76731366,1.1304165,1
2018,06,03526,1.1215087,.92642379,1.3165936,1
2018,06,04982,1.0829395,.88063449,1.2852445,1
2018,06,06000,1.0750464,.74118966,1.4089032,3
2018,06,08786,.72673428,.45278659,1.000682,1
2018,06,08954,.82734835,.63974339,1.0149534,1
2018,06,11194,.79605466,.58560193,1.0065074,1
2018,06,11530,,,,
2018,06,13014,1.2200333,1.024001,1.4160656,1
2018,06,13210,.93100917,.80268818,1.0593301,1
2018,06,13214,,,,
2018,06,13392,.87516677,.78442204,.96591151,1
2018,06,13588,,,,
2018,06,14218,1.2942715,1.1874908,1.4010521,1
2018,06,15044,1.1094402,.97318357,1.2456969,1
2018,06,16000,.9468115,.82562912,1.0679939,1
2018,06,16350,.89644843,.73728836,1.0556085,1
2018,06,16532,.91819221,.76461542,1.071769,1
2018,06,17918,1.0595337,.77177459,1.3472929,1
2018,06,19766,.87557733,.72550893,1.0256457,1
2018,06,21712,.99602181,.85815686,1.1338867,1
2018,06,22020,.97793794,.8914519,1.0644239,1
2018,06,22230,1.1432207,.9317686,1.3546727,1
2018,06,22804,1.1999668,1.0529859,1.3469477,1
2018,06,23182,1.0014452,.8272301,1.1756604,1
2018,06,24638,,,,
2018,06,24680,1.0793252,.96685404,1.1917964,1
2018,06,26000,1.0560653,.93993306,1.1721976,1
2018,06,27000,1.1469172,1.0159616,1.2778728,1
2018,06,28000,1.0010689,.84457111,1.1575668,1
2018,06,29000,1.3665082,1.2637401,1.4692764,1
2018,06,30000,.94348985,.80645949,1.0805202,1
2018,06,32548,1.2710981,1.044829,1.4973671,1
2018,06,33000,1.0669434,.92282122,1.2110655,1
2018,06,33182,.96651214,.81488007,1.1181443,1
2018,06,33434,.86523747,.72360104,1.006874,1
2018,06,36000,.92348486,.72114801,1.1258217,1
2018,06,36448,,,,
2018,06,36546,.99477017,.81660217,1.1729381,1
2018,06,36770,.88774598,.76687944,1.0086125,1
2018,06,37692,1.0315135,.87378424,1.1892427,1
2018,06,39496,,,,
2018,06,39892,,,,
2018,06,40130,1.108533,.92242014,1.2946459,1
2018,06,41992,1.0379291,.84586269,1.2299955,1
2018,06,43000,1.1909102,1.1108336,1.2709868,1
2018,06,44000,1.0740534,1.045916,1.1021909,1
2018,06,45484,1.2402506,1.09916,1.3813412,1
2018,06,46842,1.0369298,.85924459,1.2146151,1
2018,06,46898,1.1380873,.89694232,1.3792322,1
2018,06,47766,1.1881032,.96612036,1.410086,1
2018,06,48256,1.086102,.9514057,1.2207984,1
2018,06,48354,1.1150281,.90466553,1.3253908,1
2018,06,49270,.9720661,.85316068,1.0909716,1
2018,06,49670,.91986591,.65993607,1.1797957,1
2018,06,50076,.93249214,.78645337,1.0785309,1
2018,06,50258,.98162383,.81871259,1.1445351,1
2018,06,51182,,,,
2018,06,52526,.83503503,.67321539,.99685466,1
2018,06,53000,1.2225468,1.0849279,1.3601657,2
2018,06,53322,1.1458482,.98433214,1.3073642,2
2018,06,53896,1.2389157,1.0832549,1.3945765,1
2018,06,53980,.94927818,.81899816,1.0795583,1
2018,06,54652,1.2058243,1.0163959,1.3952526,1
2018,06,55156,1.0738112,.9227528,1.2248696,1
2018,06,56000,.7616747,.53546846,.98788095,2
2018,06,56700,.8216849,.64847338,.99489647,1
