year,state,county,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2018,01,001,.99264896,.87316257,1.1121353,1
2018,01,003,.97001785,.90463585,1.0353999,1
2018,01,005,.72102857,.52613449,.91592264,1
2018,01,007,.84127659,.6279667,1.0545864,1
2018,01,009,.80294222,.68368936,.92219508,1
2018,01,011,.65912157,.34762812,.97061503,1
2018,01,013,.47535953,.25937694,.69134212,1
2018,01,015,.76914579,.68073761,.85755396,1
2018,01,017,.79170525,.60976434,.97364616,1
2018,01,019,.62830955,.43993038,.81668872,1
2018,01,021,.64917284,.51651865,.78182703,1
2018,01,023,.52964598,.21787038,.84142154,1
2018,01,025,.74680531,.55370378,.93990684,1
2018,01,027,.77309757,.47815225,1.0680429,1
2018,01,029,.70038044,.47090489,.929856,1
2018,01,031,.79285842,.67397898,.91173786,1
2018,01,033,.86507124,.73300081,.99714166,1
2018,01,035,.56733578,.10257605,1.0320956,2
2018,01,037,.60169297,.21782278,.98556316,1
2018,01,039,.84659076,.65211201,1.0410695,1
2018,01,041,.84784698,.59397525,1.1017187,1
2018,01,043,.87807637,.77387112,.98228163,1
2018,01,045,.87911272,.72831035,1.0299151,1
2018,01,047,.79646128,.64925814,.94366443,1
2018,01,049,.88079196,.77335995,.98822397,1
2018,01,051,.66987181,.57010806,.76963556,1
2018,01,053,.81845176,.65783525,.97906828,1
2018,01,055,.80413461,.70668709,.90158212,1
2018,01,057,.81867927,.57794583,1.0594127,1
2018,01,059,.83915323,.67883974,.99946672,1
2018,01,061,.85860997,.67344391,1.043776,1
2018,01,063,.60591918,.26217544,.94966292,1
2018,01,065,.51420397,.28321317,.74519479,1
2018,01,067,.84222186,.61294937,1.0714943,1
2018,01,069,.73305762,.63829464,.8278206,1
2018,01,071,.93745846,.80744308,1.0674738,1
2018,01,073,.78806436,.75007957,.82604915,1
2018,01,075,.68761903,.44125766,.93398041,1
2018,01,077,.79894149,.69387841,.90400457,1
2018,01,079,.8039794,.6365639,.9713949,1
2018,01,081,.80246079,.72641033,.87851125,1
2018,01,083,.79061168,.64939457,.9318288,1
2018,01,085,.8736701,.55389893,1.1934413,1
2018,01,087,1.0261031,.6663999,1.3858063,1
2018,01,089,.7755608,.72447783,.82664376,1
2018,01,091,.62824905,.42565581,.83084232,1
2018,01,093,.78767091,.61551005,.95983177,1
2018,01,095,.85701841,.7709552,.94308162,1
2018,01,097,.83065557,.78217953,.87913162,1
2018,01,099,.89989251,.70394349,1.0958415,1
2018,01,101,.74575949,.67744046,.81407851,1
2018,01,103,.89390904,.81000823,.97780985,1
2018,01,105,.89073169,.55494869,1.2265147,1
2018,01,107,.6765976,.45160645,.90158874,1
2018,01,109,.69872075,.51583534,.88160616,1
2018,01,111,.80956924,.61941808,.99972039,1
2018,01,113,.83402359,.71313035,.95491683,1
2018,01,115,.90469742,.80275863,1.0066363,1
2018,01,117,.89429206,.83263975,.95594436,1
2018,01,119,.77891707,.44373932,1.1140949,1
2018,01,121,.85917878,.7157501,1.0026075,1
2018,01,123,.93384475,.78135926,1.0863303,1
2018,01,125,.70435452,.63453889,.77417016,1
2018,01,127,.81376082,.69548279,.93203884,1
2018,01,129,.80911666,.59059525,1.0276381,1
2018,01,131,.4584375,.1659783,.75089669,1
2018,01,133,.76672983,.5817256,.95173407,1
2018,02,013,,,,
2018,02,016,1.3794146,-1.6441829,4.4030118,3
2018,02,020,1.3942512,1.076756,1.7117465,3
2018,02,050,.8371644,-.14682786,1.8211566,3
2018,02,060,,,,
2018,02,068,,,,
2018,02,070,.94196606,-1.092145,2.9760771,3
2018,02,090,,,,
2018,02,100,,,,
2018,02,105,1.1831639,-2.5014095,4.8677373,3
2018,02,110,1.6003006,.55126148,2.6493397,3
2018,02,122,1.6858079,.92922294,2.4423931,3
2018,02,130,2.1706364,.67796779,3.663305,3
2018,02,150,1.9048655,.48067591,3.3290551,3
2018,02,158,1.7074628,.39127368,3.0236518,3
2018,02,164,2.2593384,-1.3695786,5.8882551,3
2018,02,170,1.0585753,.54404855,1.573102,3
2018,02,180,2.1975775,-.4981111,4.8932662,3
2018,02,185,-.36981869,-1.9080977,1.1684604,3
2018,02,188,.67378783,-.8053959,2.1529715,3
2018,02,195,-.92519945,-4.6938424,2.8434434,3
2018,02,198,1.1969987,-.88556552,3.279563,3
2018,02,220,,,,
2018,02,230,,,,
2018,02,240,1.3036369,-.73843694,3.3457108,3
2018,02,261,.1794159,-1.6600792,2.0189111,3
2018,02,275,,,,
2018,02,282,,,,
2018,02,290,,,,
2018,04,001,.96621829,.85439759,1.0780391,1
2018,04,003,1.0344125,.94521105,1.123614,1
2018,04,005,.95023566,.85958904,1.0408822,1
2018,04,007,1.0625938,.91813511,1.2070525,1
2018,04,009,1.0250198,.8839491,1.1660904,1
2018,04,011,.93951029,.6386013,1.2404193,1
2018,04,012,.96475959,.71536773,1.2141514,2
2018,04,013,1.0299877,1.0162909,1.0436845,1
2018,04,015,.91480112,.8331694,.99643284,1
2018,04,017,.8903842,.80073589,.9800325,1
2018,04,019,.98775262,.95400769,1.0214975,1
2018,04,021,.93829829,.88680065,.98979592,1
2018,04,023,.99479771,.87830615,1.1112893,1
2018,04,025,1.0224357,.94201189,1.1028595,1
2018,04,027,.97713822,.9128083,1.0414681,1
2018,05,001,.90116888,.59850621,1.2038316,1
2018,05,003,.74221188,.53682822,.94759554,1
2018,05,005,.81203622,.65393049,.97014195,1
2018,05,007,1.0677719,1.0122275,1.1233163,1
2018,05,009,.93899834,.78909719,1.0888995,1
2018,05,011,1.0376035,.78584272,1.2893642,1
2018,05,013,.65982533,.08256001,1.2370906,1
2018,05,015,1.0737758,.82798082,1.3195708,1
2018,05,017,.8716622,.58074415,1.1625803,1
2018,05,019,.83423042,.60717648,1.0612843,1
2018,05,021,.82472956,.5976398,1.0518193,1
2018,05,023,1.1949524,.91323227,1.4766725,1
2018,05,025,.9473424,.63579786,1.2588869,1
2018,05,027,.85131001,.65344614,1.0491738,1
2018,05,029,.79264069,.57849216,1.0067892,1
2018,05,031,.94418007,.85617024,1.03219,1
2018,05,033,1.0684035,.95445639,1.1823505,1
2018,05,035,.81488991,.69340241,.93637741,1
2018,05,037,.85093641,.65169609,1.0501767,1
2018,05,039,.63752353,.15234353,1.1227036,1
2018,05,041,.8516413,.60857695,1.0947056,1
2018,05,043,1.1192257,.82441175,1.4140397,1
2018,05,045,.98235673,.86752278,1.0971907,1
2018,05,047,.85181165,.64422184,1.0594015,1
2018,05,049,.6064831,.21523425,.99773192,1
2018,05,051,.71948177,.62427586,.81468767,1
2018,05,053,.97428274,.78389633,1.1646692,1
2018,05,055,1.024022,.89183515,1.1562088,1
2018,05,057,1.1983068,.98609781,1.4105158,1
2018,05,059,.80159831,.63636941,.96682721,1
2018,05,061,.8463881,.63454133,1.0582348,1
2018,05,063,.91260302,.76680404,1.0584019,1
2018,05,065,1.0718126,.72248346,1.4211417,1
2018,05,067,.80863035,.57207215,1.0451885,1
2018,05,069,.81035143,.65658528,.96411759,1
2018,05,071,.78127921,.60643923,.95611918,1
2018,05,073,.67764688,.25803494,1.0972588,1
2018,05,075,.9013809,.69738805,1.1053737,1
2018,05,077,.26067767,-.28505504,.80641037,1
2018,05,079,.96827662,.67720604,1.2593472,1
2018,05,081,.83989954,.57878804,1.101011,1
2018,05,083,1.1576467,.94977468,1.3655186,1
2018,05,085,.89872861,.79717457,1.0002826,1
2018,05,087,.89038169,.58547026,1.1952932,1
2018,05,089,.93502873,.57313406,1.2969234,1
2018,05,091,.87528968,.72356611,1.0270133,1
2018,05,093,.89447212,.7602576,1.0286866,1
2018,05,095,1.0304222,.55252182,1.5083226,1
