year,state,county,state_name,county_name,share_digital_access,share_digital_access_quality
2016,01,001,Alabama,Autauga County,NA,NA
2016,01,003,Alabama,Baldwin County,0.7688690918089581,1
2016,01,005,Alabama,Barbour County,NA,NA
2016,01,007,Alabama,Bibb County,NA,NA
2016,01,009,Alabama,Blount County,NA,NA
2016,01,011,Alabama,Bullock County,NA,NA
2016,01,013,Alabama,Butler County,NA,NA
2016,01,015,Alabama,Calhoun County,0.714068043300282,1
2016,01,017,Alabama,Chambers County,NA,NA
2016,01,019,Alabama,Cherokee County,NA,NA
2016,01,021,Alabama,Chilton County,NA,NA
2016,01,023,Alabama,Choctaw County,NA,NA
2016,01,025,Alabama,Clarke County,NA,NA
2016,01,027,Alabama,Clay County,NA,NA
2016,01,029,Alabama,Cleburne County,NA,NA
2016,01,031,Alabama,Coffee County,NA,NA
2016,01,033,Alabama,Colbert County,NA,NA
2016,01,035,Alabama,Conecuh County,NA,NA
2016,01,037,Alabama,Coosa County,NA,NA
2016,01,039,Alabama,Covington County,NA,NA
2016,01,041,Alabama,Crenshaw County,NA,NA
2016,01,043,Alabama,Cullman County,0.7192646622000726,1
2016,01,045,Alabama,Dale County,NA,NA
2016,01,047,Alabama,Dallas County,NA,NA
2016,01,049,Alabama,DeKalb County,0.6789583579561124,1
2016,01,051,Alabama,Elmore County,0.8078364565587735,1
2016,01,053,Alabama,Escambia County,NA,NA
2016,01,055,Alabama,Etowah County,0.7240365268534282,1
2016,01,057,Alabama,Fayette County,NA,NA
2016,01,059,Alabama,Franklin County,NA,NA
2016,01,061,Alabama,Geneva County,NA,NA
2016,01,063,Alabama,Greene County,NA,NA
2016,01,065,Alabama,Hale County,NA,NA
2016,01,067,Alabama,Henry County,NA,NA
2016,01,069,Alabama,Houston County,0.7091684326090841,1
2016,01,071,Alabama,Jackson County,NA,NA
2016,01,073,Alabama,Jefferson County,0.7774146252061824,1
2016,01,075,Alabama,Lamar County,NA,NA
2016,01,077,Alabama,Lauderdale County,0.7055841584158415,1
2016,01,079,Alabama,Lawrence County,NA,NA
2016,01,081,Alabama,Lee County,0.8200121306061934,1
2016,01,083,Alabama,Limestone County,0.7230238393977415,1
2016,01,085,Alabama,Lowndes County,NA,NA
2016,01,087,Alabama,Macon County,NA,NA
2016,01,089,Alabama,Madison County,0.8499885152677334,1
2016,01,091,Alabama,Marengo County,NA,NA
2016,01,093,Alabama,Marion County,NA,NA
2016,01,095,Alabama,Marshall County,0.7800495306110695,1
2016,01,097,Alabama,Mobile County,0.7156884581363234,1
2016,01,099,Alabama,Monroe County,NA,NA
2016,01,101,Alabama,Montgomery County,0.790007376661125,1
2016,01,103,Alabama,Morgan County,0.7130712245626561,1
2016,01,105,Alabama,Perry County,NA,NA
2016,01,107,Alabama,Pickens County,NA,NA
2016,01,109,Alabama,Pike County,NA,NA
2016,01,111,Alabama,Randolph County,NA,NA
2016,01,113,Alabama,Russell County,NA,NA
2016,01,115,Alabama,St. Clair County,0.7495176340344774,1
2016,01,117,Alabama,Shelby County,0.878620544577236,1
