year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,001,all,All,0.7917874396135266,0.7174630806025637,0.8661117986244895,3
2014,01,001,gender,Female,NA,NA,NA,NA
2014,01,001,gender,Male,0.7767894959762812,0.676296022322436,0.8772829696301264,3
2014,01,003,all,All,0.859920996657551,0.7806030648063975,0.9392389285087044,1
2014,01,003,gender,Female,0.8366445916114791,0.7216491503920839,0.9516400328308744,1
2014,01,003,gender,Male,0.8884381338742393,0.7875160961112747,0.989360171637204,1
2014,01,005,all,All,0.9211683969734296,0.8768117430625108,0.9655250508843484,3
2014,01,005,gender,Female,NA,NA,NA,NA
2014,01,005,gender,Male,NA,NA,NA,NA
2014,01,007,all,All,0.9161536206391088,0.871608562882907,0.9606986783953104,3
2014,01,007,gender,Female,NA,NA,NA,NA
2014,01,007,gender,Male,NA,NA,NA,NA
2014,01,009,all,All,0.7829477514946712,0.707587638790897,0.8583078641984454,2
2014,01,009,gender,Female,NA,NA,NA,NA
2014,01,009,gender,Male,0.8084272415482607,0.6967753141768236,0.920079168919698,2
2014,01,011,all,All,NA,NA,NA,NA
2014,01,011,gender,Female,NA,NA,NA,NA
2014,01,011,gender,Male,NA,NA,NA,NA
2014,01,013,all,All,0.8417145593869731,0.774501126342354,0.9089279924315924,3
2014,01,013,gender,Female,NA,NA,NA,NA
2014,01,013,gender,Male,NA,NA,NA,NA
2014,01,015,all,All,0.8887640449438202,0.823140306295943,0.9543877835916974,1
2014,01,015,gender,Female,0.9183783783783784,0.8524948308143565,0.9842619259424,1
2014,01,015,gender,Male,0.8567251461988304,0.7439212164286858,0.9695290759689752,1
2014,01,017,all,All,0.8463919980947844,0.7818449383552806,0.9109390578342882,3
2014,01,017,gender,Female,0.878036688150719,0.7930217151143061,0.963051661187132,3
2014,01,017,gender,Male,0.8171402383134738,0.7194906022082429,0.9147898744187049,3
2014,01,019,all,All,NA,NA,NA,NA
2014,01,019,gender,Female,NA,NA,NA,NA
2014,01,019,gender,Male,NA,NA,NA,NA
2014,01,021,all,All,0.8463919980947846,0.7818449383552808,0.9109390578342884,3
2014,01,021,gender,Female,0.8780366881507189,0.793021715114306,0.9630516611871318,3
2014,01,021,gender,Male,0.8171402383134738,0.719490602208243,0.9147898744187046,3
2014,01,023,all,All,NA,NA,NA,NA
2014,01,023,gender,Female,NA,NA,NA,NA
2014,01,023,gender,Male,NA,NA,NA,NA
2014,01,025,all,All,0.8008879023307436,0.7211771010749118,0.8805987035865753,3
2014,01,025,gender,Female,NA,NA,NA,NA
2014,01,025,gender,Male,NA,NA,NA,NA
2014,01,027,all,All,NA,NA,NA,NA
2014,01,027,gender,Female,NA,NA,NA,NA
2014,01,027,gender,Male,NA,NA,NA,NA
2014,01,029,all,All,NA,NA,NA,NA
2014,01,029,gender,Female,NA,NA,NA,NA
2014,01,029,gender,Male,NA,NA,NA,NA
2014,01,031,all,All,0.8417145593869733,0.7745011263423541,0.9089279924315924,2
2014,01,031,gender,Female,0.8922542204568024,0.8214554316791978,0.963053009234407,2
2014,01,031,gender,Male,0.7946345975948197,0.6842945118935451,0.9049746832960944,2
2014,01,033,all,All,0.9137442437123626,0.8734939408726455,0.9539945465520796,3
2014,01,033,gender,Female,0.9331926863572432,0.8812337426733393,0.9851516300411473,3
2014,01,033,gender,Male,NA,NA,NA,NA
2014,01,035,all,All,NA,NA,NA,NA
2014,01,035,gender,Female,NA,NA,NA,NA
2014,01,035,gender,Male,NA,NA,NA,NA
2014,01,037,all,All,NA,NA,NA,NA
2014,01,037,gender,Female,NA,NA,NA,NA
2014,01,037,gender,Male,NA,NA,NA,NA
2014,01,039,all,All,0.8417145593869731,0.774501126342354,0.9089279924315924,3
2014,01,039,gender,Female,NA,NA,NA,NA
2014,01,039,gender,Male,0.7946345975948197,0.684294511893545,0.9049746832960944,3
2014,01,041,all,All,NA,NA,NA,NA
2014,01,041,gender,Female,NA,NA,NA,NA
2014,01,041,gender,Male,NA,NA,NA,NA
2014,01,043,all,All,0.8798403193612775,0.8159643922254779,0.9437162464970772,1
2014,01,043,gender,Female,0.8971774193548387,0.8171598428542263,0.9771949958554512,1
2014,01,043,gender,Male,0.8544739429695183,0.754386337488921,0.9545615484501156,1
2014,01,045,all,All,0.8838163631700435,0.8369519531907994,0.9306807731492877,3
2014,01,045,gender,Female,0.88134765625,0.8208292338600552,0.9418660786399448,3
2014,01,045,gender,Male,0.8865478119935171,0.8182569039027975,0.9548387200842366,3
2014,01,047,all,All,0.9161536206391088,0.871608562882907,0.9606986783953104,3
2014,01,047,gender,Female,0.9529645578005962,0.9173423653574074,0.988586750243785,3
2014,01,047,gender,Male,0.8869313699710756,0.8101164842012749,0.9637462557408762,3
2014,01,049,all,All,0.7892590074779062,0.6862300191673902,0.8922879957884222,2
2014,01,049,gender,Female,0.8982078853046596,0.8045158806046205,0.9918998900046986,2
2014,01,049,gender,Male,0.6910148674854557,0.536703269481893,0.8453264654890185,2
