year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,001,all,All,0.4293064876957495,0.3188239576848476,0.5397890177066513,3
2014,01,001,income,"$50,000 or More",NA,NA,NA,NA
2014,01,001,income,"Less than $50,000",0.35898661567877627,0.22938494082119856,0.488588290536354,3
2014,01,003,all,All,0.3452904420273085,0.25475895303439855,0.4358219310202185,1
2014,01,003,income,"$50,000 or More",0.4754411063423939,0.3332834735550015,0.6175987391297864,1
2014,01,003,income,"Less than $50,000",0.22257194244604317,0.1123604871432487,0.33278339774883764,1
2014,01,005,all,All,NA,NA,NA,NA
2014,01,005,income,"$50,000 or More",NA,NA,NA,NA
2014,01,005,income,"Less than $50,000",NA,NA,NA,NA
2014,01,007,all,All,NA,NA,NA,NA
2014,01,007,income,"$50,000 or More",NA,NA,NA,NA
2014,01,007,income,"Less than $50,000",NA,NA,NA,NA
2014,01,009,all,All,0.3148148148148148,0.22293193923985835,0.4066976903897713,2
2014,01,009,income,"$50,000 or More",0.2933212996389892,0.1769380246310103,0.4097045746469681,2
2014,01,009,income,"Less than $50,000",0.33534482758620693,0.21614271157914333,0.4545469435932705,2
2014,01,011,all,All,NA,NA,NA,NA
2014,01,011,income,"$50,000 or More",NA,NA,NA,NA
2014,01,011,income,"Less than $50,000",NA,NA,NA,NA
2014,01,013,all,All,0.35030165912518857,0.2563801462023576,0.44422317204801953,3
2014,01,013,income,"$50,000 or More",NA,NA,NA,NA
2014,01,013,income,"Less than $50,000",NA,NA,NA,NA
2014,01,015,all,All,0.39425,0.287610047660085,0.500889952339915,1
2014,01,015,income,"$50,000 or More",0.5515527950310559,0.399914301806106,0.7031912882560059,1
2014,01,015,income,"Less than $50,000",0.2882845188284519,0.16482217306339475,0.41174686459350907,1
2014,01,017,all,All,0.3427952850613423,0.2600006573564929,0.42558991276619174,3
2014,01,017,income,"$50,000 or More",NA,NA,NA,NA
2014,01,017,income,"Less than $50,000",NA,NA,NA,NA
2014,01,019,all,All,NA,NA,NA,NA
2014,01,019,income,"$50,000 or More",NA,NA,NA,NA
2014,01,019,income,"Less than $50,000",NA,NA,NA,NA
2014,01,021,all,All,0.3427952850613423,0.2600006573564929,0.42558991276619174,3
2014,01,021,income,"$50,000 or More",NA,NA,NA,NA
2014,01,021,income,"Less than $50,000",0.3256591162272558,0.1913431826663018,0.4599750497882098,3
2014,01,023,all,All,NA,NA,NA,NA
2014,01,023,income,"$50,000 or More",NA,NA,NA,NA
2014,01,023,income,"Less than $50,000",NA,NA,NA,NA
2014,01,025,all,All,NA,NA,NA,NA
2014,01,025,income,"$50,000 or More",NA,NA,NA,NA
2014,01,025,income,"Less than $50,000",NA,NA,NA,NA
2014,01,027,all,All,NA,NA,NA,NA
2014,01,027,income,"$50,000 or More",NA,NA,NA,NA
2014,01,027,income,"Less than $50,000",NA,NA,NA,NA
2014,01,029,all,All,NA,NA,NA,NA
2014,01,029,income,"$50,000 or More",NA,NA,NA,NA
2014,01,029,income,"Less than $50,000",NA,NA,NA,NA
2014,01,031,all,All,0.35030165912518857,0.2563801462023576,0.44422317204801953,2
2014,01,031,income,"$50,000 or More",0.4773889107353519,0.3419821203566168,0.612795701114087,2
2014,01,031,income,"Less than $50,000",0.2332488228902572,0.13465870156736284,0.3318389442131515,2
2014,01,033,all,All,0.4194831013916501,0.32122573921736197,0.5177404635659383,3
2014,01,033,income,"$50,000 or More",NA,NA,NA,NA
2014,01,033,income,"Less than $50,000",NA,NA,NA,NA
2014,01,035,all,All,NA,NA,NA,NA
2014,01,035,income,"$50,000 or More",NA,NA,NA,NA
2014,01,035,income,"Less than $50,000",NA,NA,NA,NA
2014,01,037,all,All,NA,NA,NA,NA
2014,01,037,income,"$50,000 or More",NA,NA,NA,NA
2014,01,037,income,"Less than $50,000",NA,NA,NA,NA
2014,01,039,all,All,0.3503016591251885,0.2563801462023575,0.44422317204801953,3
2014,01,039,income,"$50,000 or More",0.47738891073535195,0.3419821203566169,0.612795701114087,3
2014,01,039,income,"Less than $50,000",0.2332488228902571,0.1346587015673628,0.3318389442131515,3
2014,01,041,all,All,NA,NA,NA,NA
2014,01,041,income,"$50,000 or More",NA,NA,NA,NA
2014,01,041,income,"Less than $50,000",NA,NA,NA,NA
2014,01,043,all,All,0.21528455284552847,0.13214878940267738,0.29842031628837956,1
2014,01,043,income,"$50,000 or More",0.23706004140786752,0.09060235204821152,0.3835177307675235,1
2014,01,043,income,"Less than $50,000",0.20531057373162637,0.107699877496567,0.3029212699666857,1
2014,01,045,all,All,0.3874085684430512,0.3089866229429439,0.4658305139431584,3
2014,01,045,income,"$50,000 or More",0.4465225014611338,0.31821511279032644,0.5748298901319412,3
2014,01,045,income,"Less than $50,000",0.33963155408597073,0.2558331861012363,0.4234299220707052,3
2014,01,047,all,All,0.4827085149665794,0.3636127290557382,0.6018043008774205,3
2014,01,047,income,"$50,000 or More",NA,NA,NA,NA
2014,01,047,income,"Less than $50,000",NA,NA,NA,NA
2014,01,049,all,All,0.2659019812304484,0.16388107491294449,0.3679228875479523,2
2014,01,049,income,"$50,000 or More",0.2151215121512151,0.09417349527214788,0.33606952903028237,2
2014,01,049,income,"Less than $50,000",0.29784824462061155,0.1521984430291472,0.4434980462120759,2
2014,01,051,all,All,0.4293064876957494,0.3188239576848475,0.5397890177066513,2
2014,01,051,income,"$50,000 or More",0.4911690496215307,0.3347417095121693,0.6475963897308921,2
2014,01,051,income,"Less than $50,000",0.35898661567877627,0.22938494082119856,0.488588290536354,2
2014,01,053,all,All,0.41011235955056174,0.3169165751908822,0.5033081439102413,3
2014,01,053,income,"$50,000 or More",NA,NA,NA,NA
2014,01,053,income,"Less than $50,000",NA,NA,NA,NA
2014,01,055,all,All,0.3356602675974404,0.18122429089825115,0.4900962442966296,1
2014,01,055,income,"$50,000 or More",NA,NA,NA,NA
2014,01,055,income,"Less than $50,000",0.2482621648460775,0.05033741382215606,0.44618691586999887,1
2014,01,057,all,All,NA,NA,NA,NA
2014,01,057,income,"$50,000 or More",NA,NA,NA,NA
2014,01,057,income,"Less than $50,000",NA,NA,NA,NA
2014,01,059,all,All,NA,NA,NA,NA
2014,01,059,income,"$50,000 or More",NA,NA,NA,NA
2014,01,059,income,"Less than $50,000",NA,NA,NA,NA
2014,01,061,all,All,0.3874085684430512,0.30898662294294393,0.4658305139431585,3
2014,01,061,income,"$50,000 or More",NA,NA,NA,NA
2014,01,061,income,"Less than $50,000",NA,NA,NA,NA
2014,01,063,all,All,NA,NA,NA,NA
2014,01,063,income,"$50,000 or More",NA,NA,NA,NA
2014,01,063,income,"Less than $50,000",NA,NA,NA,NA
2014,01,065,all,All,NA,NA,NA,NA
2014,01,065,income,"$50,000 or More",NA,NA,NA,NA
2014,01,065,income,"Less than $50,000",NA,NA,NA,NA
2014,01,067,all,All,NA,NA,NA,NA
2014,01,067,income,"$50,000 or More",NA,NA,NA,NA
2014,01,067,income,"Less than $50,000",NA,NA,NA,NA
2014,01,069,all,All,0.3874085684430512,0.3089866229429439,0.46583051394315855,2
2014,01,069,income,"$50,000 or More",0.4465225014611338,0.31821511279032644,0.5748298901319412,2
2014,01,069,income,"Less than $50,000",0.3396315540859707,0.2558331861012363,0.42342992207070507,2
2014,01,071,all,All,0.2659019812304484,0.16388107491294449,0.3679228875479523,2
2014,01,071,income,"$50,000 or More",NA,NA,NA,NA
2014,01,071,income,"Less than $50,000",NA,NA,NA,NA
2014,01,073,all,All,0.4367638540258737,0.3709538895282829,0.5025738185234645,1
2014,01,073,income,"$50,000 or More",0.5623524783634933,0.4731979379483267,0.6515070187786599,1
2014,01,073,income,"Less than $50,000",0.31569965870307165,0.23628549865390935,0.39511381875223395,1
2014,01,075,all,All,NA,NA,NA,NA
2014,01,075,income,"$50,000 or More",NA,NA,NA,NA
2014,01,075,income,"Less than $50,000",NA,NA,NA,NA
2014,01,077,all,All,0.4194831013916501,0.3212257392173619,0.5177404635659384,2
2014,01,077,income,"$50,000 or More",0.43272519954389965,0.27621471062797276,0.5892356884598265,2
2014,01,077,income,"Less than $50,000",0.4092511013215859,0.29087474336641633,0.5276274592767554,2
2014,01,079,all,All,0.39436241610738254,0.2821414373035157,0.5065833949112494,3
2014,01,079,income,"$50,000 or More",NA,NA,NA,NA
2014,01,079,income,"Less than $50,000",NA,NA,NA,NA
2014,01,081,all,All,0.4375812743823147,0.3364099475757799,0.5387526011888495,1
2014,01,081,income,"$50,000 or More",0.4782152230971128,0.33810709386441384,0.6183233523298118,1
2014,01,081,income,"Less than $50,000",0.4090070136581764,0.26683024899720376,0.5511837783191491,1
2014,01,083,all,All,0.3656303236797274,0.2732799760608641,0.4579806712985907,2
2014,01,083,income,"$50,000 or More",0.4982471516213848,0.3697693191496963,0.6267249840930732,2
2014,01,083,income,"Less than $50,000",0.24026512013256007,0.11634166488278797,0.3641885753823322,2
2014,01,085,all,All,NA,NA,NA,NA
2014,01,085,income,"$50,000 or More",NA,NA,NA,NA
2014,01,085,income,"Less than $50,000",NA,NA,NA,NA
2014,01,087,all,All,NA,NA,NA,NA
2014,01,087,income,"$50,000 or More",NA,NA,NA,NA
2014,01,087,income,"Less than $50,000",NA,NA,NA,NA
2014,01,089,all,All,0.35399768137586535,0.2895553953169486,0.41843996743478207,1
2014,01,089,income,"$50,000 or More",0.4294767196193767,0.33548830811989877,0.5234651311188547,1
2014,01,089,income,"Less than $50,000",0.2936966322754088,0.20332810064712417,0.3840651639036935,1
2014,01,091,all,All,NA,NA,NA,NA
2014,01,091,income,"$50,000 or More",NA,NA,NA,NA
2014,01,091,income,"Less than $50,000",NA,NA,NA,NA
2014,01,093,all,All,0.3701619775490782,0.28772282358543055,0.45260113151272585,3
