year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,001,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,001,all,All,0.38792354474370117,0.294297363842377,0.48154972564502535,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,003,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",0.40611125620266386,0.2966555366842846,0.5155669757210432,1
2018,01,003,all,All,0.370464299648849,0.26970820730143097,0.4712203919962671,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,005,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,005,all,All,NA,NA,NA,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,007,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,007,all,All,NA,NA,NA,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,009,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",0.2513458950201884,0.16196312688679632,0.34072866315358047,3
2018,01,009,all,All,0.2647668393782383,0.17977530112239168,0.3497583776340849,3
2018,01,011,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,011,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,011,all,All,NA,NA,NA,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,013,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,013,all,All,0.345074812967581,0.2561018934036076,0.43404773253155443,3
2018,01,015,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,015,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.32401902497027346,0.19475323379713144,0.4532848161434155,3
2018,01,015,all,All,0.36483697895171274,0.25120951921037477,0.4784644386930507,3
2018,01,017,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,017,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,017,all,All,NA,NA,NA,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,019,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,019,all,All,NA,NA,NA,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,021,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,021,all,All,0.340789933589654,0.19620524267081832,0.48537462450848967,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,023,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,023,all,All,NA,NA,NA,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,025,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,025,all,All,NA,NA,NA,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,027,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,027,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,027,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,027,all,All,NA,NA,NA,3
