year,state,place,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,03076,all,All,0.43758127438231464,0.3364099475757798,0.5387526011888495,2
2014,01,03076,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,01,03076,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,03076,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,03076,race-ethnicity,"White, Non-Hispanic",0.4244779018941234,0.26917261388092795,0.5797831899073188,2
2014,01,07000,all,All,0.3684918591987287,0.27124764553253794,0.4657360728649194,3
2014,01,07000,race-ethnicity,"Black, Non-Hispanic",0.365547336231408,0.2501876685014619,0.4809070039613541,3
2014,01,07000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,07000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,07000,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA
2014,01,35896,all,All,0.49471957592116256,0.40572731834366305,0.5837118334986621,3
2014,01,35896,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,01,35896,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,35896,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,35896,race-ethnicity,"White, Non-Hispanic",0.5774249362426754,0.4722654022755625,0.6825844702097883,3
2014,01,37000,all,All,0.3416184327973794,0.25803378849243114,0.4252030771023277,3
2014,01,37000,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,01,37000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,37000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,37000,race-ethnicity,"White, Non-Hispanic",0.36922182408621024,0.2585615048384827,0.47988214333393775,3
2014,01,50000,all,All,0.450876022519726,0.3539100710971047,0.5478419739423472,3
2014,01,50000,race-ethnicity,"Black, Non-Hispanic",0.5103366324467575,0.3837837265718044,0.6368895383217107,3
2014,01,50000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,50000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,50000,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA
2014,01,51000,all,All,0.518824593921026,0.4440881312250441,0.5935610566170079,3
2014,01,51000,race-ethnicity,"Black, Non-Hispanic",0.5511225940742429,0.42447563386008186,0.6777695542884039,3
2014,01,51000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,51000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,51000,race-ethnicity,"White, Non-Hispanic",0.5364123101031647,0.4261675763755585,0.6466570438307708,3
2014,01,77256,all,All,0.362451296685685,0.25119799500723494,0.47370459836413503,2
