year,state,county,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality
2020,01,001,.19925742,1,.098958336,1,.12670633,1
2020,01,003,.3185963,1,.44130498,1,.20216201,1
2020,01,005,.46948642,1,.58364314,1,.17138314,1
2020,01,007,.62931037,1,.41104296,1,.33530214,1
2020,01,009,.13846155,1,.41176471,1,.21826711,1
2020,01,011,1,1,1,1,1,2
2020,01,013,1,1,1,1,1,1
2020,01,015,.66144067,1,.44765046,1,.3819001,1
2020,01,017,.83753151,1,.87258685,1,.59482241,1
2020,01,019,.72049689,1,.47959185,1,.54316652,1
2020,01,021,.75975609,1,.73783785,1,.71514183,1
2020,01,023,1,1,1,3,1,1
2020,01,025,.77309334,1,.76923078,1,.75215888,1
2020,01,027,.55520505,1,.52941179,1,.55301297,1
2020,01,029,.082352944,1,.49397591,1,.17131647,1
2020,01,031,.43315789,1,.34872979,1,.41383258,1
2020,01,033,.31201044,1,.25773194,1,.21115322,1
2020,01,035,.86313087,1,.80281693,1,.36228287,1
2020,01,037,1,1,1,1,1,1
2020,01,039,.71501017,1,.72580647,1,.53293413,1
2020,01,041,1,1,1,1,1,1
2020,01,043,0,1,.026956521,1,.026013771,1
2020,01,045,.9571647,1,.94635195,1,.79674572,1
2020,01,047,.97934055,1,.97368419,1,.99808794,1
2020,01,049,.85789472,1,.90420449,1,.90554059,1
2020,01,051,.18161683,1,.3387534,1,.13505681,1
2020,01,053,.92219454,1,.87401575,1,.77883959,1
2020,01,055,.61031216,1,.52310926,1,.2486932,1
2020,01,057,.70645159,1,.85000002,1,.83720928,1
2020,01,059,.24875621,1,.19528796,1,.23114796,1
2020,01,061,.68487394,1,.69736844,1,.70789474,1
2020,01,063,1,1,1,2,1,3
2020,01,065,.68321079,1,.24444444,1,.043971632,1
2020,01,067,.5227586,1,.35164836,1,.16214511,1
2020,01,069,.69344682,1,.49135301,1,.36283812,1
2020,01,071,.36243385,1,.34523809,1,.44813278,1
2020,01,073,.70459723,1,.54455769,1,.077637635,1
2020,01,075,.72222221,1,.84482759,1,.7341969,1
2020,01,077,.37892792,1,.38873628,1,.21904564,1
2020,01,079,.79475981,1,.66867471,1,.58725762,1
2020,01,081,.26000887,1,.26458952,1,.12850881,1
2020,01,083,.052128315,1,.13939394,1,.028234204,1
2020,01,085,1,1,1,3,1,2
2020,01,087,1,1,1,2,1,1
2020,01,089,.30051473,1,.30553505,1,.041390982,1
2020,01,091,.50023443,1,.09259259,1,.28473803,1
2020,01,093,.50884956,1,.57309943,1,.45833334,1
2020,01,095,.39830509,1,.67862743,1,.40890652,1
2020,01,097,.73366475,1,.6016742,1,.48153871,1
2020,01,099,.86898232,1,.48717949,1,.42800945,1
2020,01,101,.76845264,1,.81209505,1,.2609317,1
2020,01,103,.31690142,1,.40604469,1,.14261225,1
2020,01,105,1,1,1,3,1,3
2020,01,107,.80752534,1,.20869565,1,.16527943,1
2020,01,109,.85593617,1,.89937109,1,.88740325,1
2020,01,111,.78002244,1,.97044337,1,.88917416,1
2020,01,113,.65951794,1,.61123854,1,.64493483,1
2020,01,115,.11959654,1,.24736048,1,.1286227,1
2020,01,117,.049826555,1,.049604915,1,.037625838,1
2020,01,119,1,1,1,3,1,1
2020,01,121,.7903114,1,.73595506,1,.53998667,1
2020,01,123,.82569271,1,.7631579,1,.66317874,1
2020,01,125,.46335772,1,.36121818,1,.056671936,1
2020,01,127,.34545454,1,.2683706,1,.45225447,1
2020,01,129,.89341694,1,.74074072,2,.74955702,1
2020,01,131,1,1,1,3,1,3
2020,01,133,.48979592,1,.73046875,1,.3975665,1
2020,02,013,,,0,3,0,2
2020,02,016,0,3,0,1,0,1
2020,02,020,.27920505,1,.16676676,1,.042324372,1
2020,02,050,1,3,1,3,.95774651,1
2020,02,060,1,3,1,3,.63636363,2
2020,02,063,0,3,0,1,0,1
2020,02,066,0,3,0,3,0,1
2020,02,068,0,1,0,1,0,1
2020,02,070,,,1,2,1,1
2020,02,090,.014577259,1,.010140845,1,.0072183553,1
2020,02,100,0,3,0,3,0,1
2020,02,105,0,3,0,3,.012345679,1
2020,02,110,0,1,0,1,0,1
2020,02,122,0,1,.023121387,1,.0037904894,1
2020,02,130,.052631579,2,.052631579,1,.034894399,1
2020,02,150,.090909094,3,.021739131,1,.016546018,1
2020,02,158,1,3,,,1,3
2020,02,164,0,3,,,.095238097,1
2020,02,170,.043795619,1,.030280091,1,.034669906,1
2020,02,180,.83333331,3,.77777779,3,.72727275,1
2020,02,185,.1,3,0,3,.15151516,1
2020,02,188,1,3,1,3,.93023258,1
2020,02,195,0,3,0,2,0,1
2020,02,198,0,2,.28125,1,.24264705,1
2020,02,220,0,3,0,1,0,1
2020,02,230,,,0,3,0,1
2020,02,240,0,3,0,1,.11580382,1
2020,02,275,,,0,3,0,1
2020,02,282,,,0,3,0,2
2020,02,290,.081632651,1,.1,1,.02661597,1
2020,04,001,.56521738,2,.25394738,1,.24373433,1
2020,04,003,.10638298,1,.36034364,1,.1012377,1
2020,04,005,.2962963,1,.16540511,1,.083017677,1
2020,04,007,.21621622,1,.17866005,1,.098404258,1
2020,04,009,.086206898,1,.094024241,1,.054123711,1
2020,04,011,0,3,0,1,0,1
2020,04,012,.25,3,.2200489,1,.11483254,1
2020,04,013,.22585201,1,.25690991,1,.032127645,1
2020,04,015,.3429752,1,.28350273,1,.28490049,1
2020,04,017,.21428572,1,.20310478,1,.059290458,1
2020,04,019,.44235501,1,.43170878,1,.12616616,1
2020,04,021,.094188929,1,.16290852,1,.06298957,1
2020,04,023,.25,2,.49289003,1,.34328359,1
2020,04,025,.054421768,1,.034383167,1,.052620605,1
2020,04,027,.29916897,1,.32372275,1,.14022493,1
2020,05,001,.83625734,1,.70212764,1,.41209477,1
2020,05,003,.34162897,1,.29301074,1,.33637238,1
2020,05,005,.07692308,3,.13930348,1,.25289291,1
2020,05,007,.065648854,1,.24170092,1,.068724647,1
2020,05,009,.10344828,2,.17676768,1,.1420065,1
2020,05,011,1,1,1,1,1,1
2020,05,013,.54545456,1,.66666669,2,.51902175,1
2020,05,015,.33333334,2,.6232993,1,.36569437,1
2020,05,017,1,1,1,1,1,1
2020,05,019,.38186157,1,.63602942,1,.46734855,1
2020,05,021,.30000001,2,.36538461,1,.42001787,1
2020,05,023,.13333334,2,.1388889,1,.22353338,1
2020,05,025,.54976302,1,.27272728,1,.27831095,1
2020,05,027,.64907652,1,.51369864,1,.3813253,1
2020,05,029,.97518611,1,.89552242,1,.65353101,1
2020,05,031,.82393396,1,.67146975,1,.26249042,1
2020,05,033,.21256039,1,.33604556,1,.29546586,1
2020,05,035,.83821523,1,.67341042,1,.71608043,1
2020,05,037,.041564792,1,.17777778,1,.26235399,1
2020,05,039,.9646799,1,.70731705,1,.76640421,1
2020,05,041,1,1,1,1,1,1
2020,05,043,.3219316,1,.4861111,1,.44333529,1
2020,05,045,.14333844,1,.10943913,1,.063833065,1
2020,05,047,.38461539,3,.25263157,1,.31473532,1
2020,05,049,0,3,.34615386,2,.66446179,1
2020,05,051,.78649235,1,.50619835,1,.37243724,1
2020,05,053,0,1,0,1,0,1
2020,05,055,.73252279,1,.60465115,1,.38030282,1
2020,05,057,.9955197,1,.96520764,1,.61687309,1
2020,05,059,.66040957,1,.43478259,1,.17519537,1
2020,05,061,.86094677,1,.82553959,1,.84877735,1
2020,05,063,.27027026,1,.21828909,1,.26158246,1
2020,05,065,.125,3,.37777779,1,.31823328,1
2020,05,067,.50112361,1,.5726496,1,.60461861,1
2020,05,069,.8930521,1,.59677422,1,.23320158,1
2020,05,071,.67346936,1,.76553106,1,.79332477,1
