state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
01,03076,Alabama,Auburn city,90.662%,84.339%,96.984%,1
01,07000,Alabama,Birmingham city,83.935%,79.303%,88.568%,1
01,35896,Alabama,Hoover city,95.743%,89.595%,100.000%,1
01,37000,Alabama,Huntsville city,91.773%,88.089%,95.456%,1
01,50000,Alabama,Mobile city,81.705%,77.228%,86.181%,1
01,51000,Alabama,Montgomery city,91.682%,87.618%,95.745%,1
01,77256,Alabama,Tuscaloosa city,83.513%,77.298%,89.728%,1
02,03000,Alaska,Anchorage municipality,95.561%,92.526%,98.595%,1
04,04720,Arizona,Avondale city,88.993%,79.729%,98.258%,1
04,07940,Arizona,Buckeye city,93.893%,85.788%,100.000%,1
04,12000,Arizona,Chandler city,96.041%,92.349%,99.732%,1
04,23620,Arizona,Flagstaff city,85.463%,78.370%,92.556%,1
04,27400,Arizona,Gilbert town,97.465%,93.900%,100.000%,1
04,27820,Arizona,Glendale city,89.027%,85.111%,92.944%,1
04,28380,Arizona,Goodyear city,93.351%,86.716%,99.985%,1
04,46000,Arizona,Mesa city,92.972%,90.237%,95.708%,1
04,54050,Arizona,Peoria city,93.634%,89.414%,97.853%,1
04,55000,Arizona,Phoenix city,89.725%,88.359%,91.091%,1
04,65000,Arizona,Scottsdale city,95.873%,92.669%,99.077%,1
04,71510,Arizona,Surprise city,94.560%,88.355%,100.000%,1
04,73000,Arizona,Tempe city,94.262%,89.941%,98.583%,1
04,77000,Arizona,Tucson city,88.648%,86.241%,91.055%,1
04,85540,Arizona,Yuma city,85.720%,79.336%,92.105%,1
05,23290,Arkansas,Fayetteville city,89.594%,84.868%,94.321%,1
05,24550,Arkansas,Fort Smith city,85.181%,80.253%,90.108%,1
05,35710,Arkansas,Jonesboro city,91.979%,86.287%,97.670%,1
05,41000,Arkansas,Little Rock city,90.533%,85.099%,95.967%,1
05,66080,Arkansas,Springdale city,90.561%,83.058%,98.064%,1
06,00562,California,Alameda city,93.355%,84.791%,100.000%,1
06,00884,California,Alhambra city,92.733%,86.967%,98.498%,1
06,02000,California,Anaheim city,93.103%,89.610%,96.596%,1
06,02252,California,Antioch city,94.362%,88.065%,100.000%,1
06,02364,California,Apple Valley town,95.386%,84.830%,100.000%,2
06,03526,California,Bakersfield city,93.245%,90.375%,96.115%,1
06,04982,California,Bellflower city,91.266%,84.766%,97.767%,1
06,06000,California,Berkeley city,93.246%,88.559%,97.933%,1
06,08786,California,Buena Park city,NA,NA,NA,NA
06,08954,California,Burbank city,97.285%,90.717%,100.000%,1
06,11194,California,Carlsbad city,96.874%,91.275%,100.000%,1
06,11530,California,Carson city,93.808%,87.416%,100.000%,1
06,13014,California,Chico city,91.825%,86.522%,97.128%,1
06,13210,California,Chino city,95.979%,89.324%,100.000%,1
06,13214,California,Chino Hills city,NA,NA,NA,NA
06,13392,California,Chula Vista city,94.729%,90.971%,98.487%,1
06,13588,California,Citrus Heights city,94.263%,87.574%,100.000%,1
06,14218,California,Clovis city,94.724%,88.736%,100.000%,1
06,15044,California,Compton city,74.390%,67.069%,81.710%,1
06,16000,California,Concord city,94.926%,90.327%,99.525%,1
06,16350,California,Corona city,95.308%,87.868%,100.000%,1
06,16532,California,Costa Mesa city,96.620%,90.025%,100.000%,1
06,17918,California,Daly City city,96.912%,89.554%,100.000%,1
06,19766,California,Downey city,90.312%,83.342%,97.282%,1
06,21712,California,El Cajon city,92.832%,84.920%,100.000%,1
06,22020,California,Elk Grove city,95.906%,91.709%,100.000%,1
06,22230,California,El Monte city,89.252%,83.579%,94.925%,1
06,22804,California,Escondido city,94.450%,88.799%,100.000%,1
06,23182,California,Fairfield city,91.161%,84.238%,98.084%,1
06,24638,California,Folsom city,93.989%,88.528%,99.449%,1
06,24680,California,Fontana city,95.163%,90.569%,99.757%,1
06,26000,California,Fremont city,95.969%,91.917%,100.000%,1
06,27000,California,Fresno city,89.968%,87.616%,92.320%,1
06,28000,California,Fullerton city,94.301%,88.436%,100.000%,1
06,29000,California,Garden Grove city,92.794%,88.067%,97.522%,1
06,30000,California,Glendale city,91.881%,87.188%,96.574%,1
06,32548,California,Hawthorne city,94.944%,88.921%,100.000%,1
06,33000,California,Hayward city,94.756%,89.184%,100.000%,1
06,33182,California,Hemet city,84.578%,78.025%,91.131%,1
06,33434,California,Hesperia city,94.631%,88.410%,100.000%,1
06,36000,California,Huntington Beach city,95.781%,91.827%,99.735%,1
06,36448,California,Indio city,89.739%,82.305%,97.174%,1
06,36546,California,Inglewood city,89.607%,82.982%,96.233%,1
06,36770,California,Irvine city,94.593%,90.605%,98.581%,1
06,37692,California,Jurupa Valley city,88.392%,82.182%,94.601%,1
06,39496,California,Lake Forest city,98.037%,90.461%,100.000%,1
06,39892,California,Lakewood city,93.712%,87.599%,99.824%,1
06,40130,California,Lancaster city,90.422%,84.721%,96.122%,1
06,41992,California,Livermore city,96.046%,90.295%,100.000%,1
06,43000,California,Long Beach city,90.147%,87.074%,93.219%,1
06,44000,California,Los Angeles city,91.607%,90.796%,92.417%,1
06,45484,California,Manteca city,90.410%,81.047%,99.774%,1
06,46842,California,Menifee city,91.272%,83.655%,98.889%,1
06,46898,California,Merced city,93.011%,85.836%,100.000%,1
06,47766,California,Milpitas city,94.631%,88.802%,100.000%,1
06,48256,California,Mission Viejo city,96.444%,89.432%,100.000%,1
06,48354,California,Modesto city,89.953%,85.913%,93.993%,1
06,49270,California,Moreno Valley city,95.794%,90.605%,100.000%,1
06,49670,California,Mountain View city,96.556%,90.057%,100.000%,1
06,50076,California,Murrieta city,95.305%,88.675%,100.000%,1
06,50258,California,Napa city,92.805%,87.721%,97.889%,1
06,51182,California,Newport Beach city,95.056%,89.454%,100.000%,1
06,52526,California,Norwalk city,90.945%,83.774%,98.116%,1
06,53000,California,Oakland city,90.423%,87.833%,93.014%,1
06,53322,California,Oceanside city,94.136%,89.741%,98.530%,1
06,53896,California,Ontario city,94.844%,89.949%,99.738%,1
06,53980,California,Orange city,96.209%,90.969%,100.000%,1
06,54652,California,Oxnard city,90.171%,84.573%,95.769%,1
06,55156,California,Palmdale city,93.975%,88.594%,99.355%,1
06,56000,California,Pasadena city,92.670%,88.094%,97.246%,1
06,56700,California,Perris city,92.584%,82.467%,100.000%,2
06,57456,California,Pittsburg city,94.138%,85.689%,100.000%,1
06,57792,California,Pleasanton city,95.665%,89.697%,100.000%,1
