year,state,county,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_
2018,01,001,0.8527528604,0.9945232316,0.7109824893,24
2018,01,003,0.8123339658,0.959610764,0.6650571677,27
2018,01,005,0.8433018372,1.0067585446,0.6798451298,19
2018,01,007,0.8890210177,1.0429330112,0.7351090242,16
2018,01,009,0.903599752,1.0298329402,0.7773665638,21
2018,01,011,0.8433018583,1.0067585567,0.6798451599,19
2018,01,013,0.7598039264,0.9055620672,0.6140457856,33
2018,01,015,0.8845771144,1.005105129,0.7640490998,27
2018,01,017,0.8803399657,0.9984690515,0.7622108798,29
2018,01,019,0.7960679601,0.9726550207,0.6194808994,20
2018,01,021,0.880339953,0.9984690443,0.7622108618,29
2018,01,023,0.8312048652,0.9724938127,0.6899159177,27
2018,01,025,0.8312048497,0.9724938024,0.6899158971,27
2018,01,027,0.7960679684,0.9726550264,0.6194809104,20
2018,01,029,0.7960679697,0.9726550273,0.6194809121,20
2018,01,031,0.7598039249,0.905562066,0.6140457838,33
2018,01,033,0.9730375932,1.0188601788,0.9272150077,48
2018,01,035,0.83120486,0.9724938092,0.6899159108,27
2018,01,037,0.8803399499,0.9984690425,0.7622108573,29
2018,01,039,0.759803931,0.9055620708,0.6140457911,33
2018,01,041,0.7598039255,0.9055620665,0.6140457845,33
2018,01,043,0.8320526986,0.9958863102,0.6682190869,20
2018,01,045,0.8807471317,0.9536105112,0.8078837521,76
2018,01,047,0.8890210077,1.0429330072,0.7351090082,16
2018,01,049,0.7658862626,0.9428320876,0.5889404377,22
2018,01,051,0.8527528454,0.9945232225,0.7109824682,24
2018,01,053,0.8312049271,0.9724938539,0.6899160002,27
2018,01,055,1,1,1,19
2018,01,057,0.8927919507,1.0035012938,0.7820826075,30
2018,01,059,0.9730375881,1.0188601779,0.9272149983,48
2018,01,061,0.8807471155,0.9536104993,0.8078837316,76
2018,01,063,0.889020994,1.0429330019,0.7351089862,16
2018,01,065,0.8890210134,1.0429330095,0.7351090174,16
2018,01,067,0.8807471404,0.9536105177,0.8078837632,76
2018,01,069,0.8807471112,0.9536104962,0.8078837263,76
2018,01,071,0.7658863,0.9428321152,0.5889404849,22
2018,01,073,0.9715695292,1.0064936445,0.9366454139,87
2018,01,075,0.8927919509,1.0035012939,0.7820826079,30
2018,01,077,0.9730375851,1.0188601774,0.9272149929,48
2018,01,079,0.9736451389,1.0456745703,0.9016157075,19
2018,01,081,0.9715859307,1.0206809075,0.9224909538,44
2018,01,083,0.9224786594,1.0342250572,0.8107322617,22
2018,01,085,0.8527529185,0.9945232666,0.7109825705,24
2018,01,087,0.8433018357,1.0067585437,0.6798451277,19
2018,01,089,0.8578680399,0.9284588655,0.7872772143,94
2018,01,091,0.8890210144,1.0429330099,0.7351090189,16
2018,01,093,0.9276328506,0.9851328133,0.8701328879,78
2018,01,095,0.8200803409,0.9491975479,0.6909631339,34
2018,01,097,0.8774359603,0.9604152464,0.7944566742,60
2018,01,099,0.8312049073,0.9724938407,0.6899159738,27
2018,01,101,0.8582621707,0.9579770611,0.7585472803,47
2018,01,103,0.9736451314,1.0456745728,0.9016156899,19
2018,01,105,0.8890210144,1.0429330099,0.7351090189,16
2018,01,107,0.951434249,1.0340616024,0.8688068957,26
2018,01,109,0.8433018498,1.0067585519,0.6798451478,19
2018,01,111,0.7960679598,0.9726550206,0.619480899,20
2018,01,113,0.843301837,1.0067585445,0.6798451295,19
2018,01,115,0.9035997579,1.0298329426,0.7773665731,21
2018,01,117,0.9600191525,1.0231470254,0.8968912796,37
2018,01,119,0.8890210519,1.0429330246,0.7351090792,16
2018,01,121,0.7960680181,0.9726550601,0.6194809762,20
2018,01,123,0.880339961,0.9984690488,0.7622108731,29
2018,01,125,0.98656419,1.0127963959,0.9603319841,74
2018,01,127,0.8927919418,1.003501289,0.7820825947,30
2018,01,129,0.831204916,0.9724938465,0.6899159854,27
2018,01,131,0.8312049008,0.9724938365,0.6899159652,27
