year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,hs_degree_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",0.7228400342,0.8948904576,0.5507896108,3
2018,01,001,race-ethnicity,Hispanic,0.8743169399,1,0.6090682389,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",0.9170946442,0.9737490576,0.8604402307,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",0.3104761905,0.5972535459,0.0236988351,3
2018,01,003,race-ethnicity,Hispanic,0.631840796,1,0.086061437,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",0.8902085747,0.9582923548,0.8221247947,3
2018,01,005,race-ethnicity,"Black, Non-Hispanic",0.8947612425,0.9693615866,0.8201608983,3
2018,01,005,race-ethnicity,Hispanic,1,1,1,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,0.7703927492,1,0.4956136413,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",0.8701657459,0.9525153887,0.7878161031,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,007,race-ethnicity,Hispanic,,,0,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,01,009,race-ethnicity,Hispanic,1,1,1,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,0.4025974026,1,0,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",0.945861122,0.9945450194,0.8971772247,3
2018,01,011,race-ethnicity,"Black, Non-Hispanic",0.8947612425,0.9693615866,0.8201608983,3
2018,01,011,race-ethnicity,Hispanic,1,1,1,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,0.7703927492,1,0.4956136413,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",0.8701657459,0.9525153887,0.7878161031,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",0.7611336032,0.9137156447,0.6085515618,3
2018,01,013,race-ethnicity,Hispanic,1,1,1,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",0.8975084938,0.9477491467,0.8472678408,2
2018,01,015,race-ethnicity,"Black, Non-Hispanic",0.9756592292,1,0.9044664314,3
2018,01,015,race-ethnicity,Hispanic,1,1,1,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.9234863606,0.9796676262,0.867305095,3
2018,01,017,race-ethnicity,"Black, Non-Hispanic",0.8794384806,1,0.7491645433,3
2018,01,017,race-ethnicity,Hispanic,1,1,1,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,0.4166666667,0.9745562084,0,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",0.8672659968,0.9347867783,0.7997452153,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",0.7063711911,0.8781580783,0.534584304,3
2018,01,019,race-ethnicity,Hispanic,1,1,1,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",0.7819837087,0.8677673337,0.6962000837,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",0.8794384806,1,0.7491645433,3
2018,01,021,race-ethnicity,Hispanic,1,1,1,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,0.4166666667,0.9745562084,0,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",0.8672659968,0.9347867783,0.7997452153,3
