year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,share_in_preschool_quality
2021,01,001,all,All,0.28699,0.35914,0.21483,2
2021,01,001,race-ethnicity,"Black, Non-Hispanic",0.21290,0.34306,0.08274,3
2021,01,001,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,001,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,001,race-ethnicity,"White, Non-Hispanic",0.30388,0.39637,0.21139,3
2021,01,003,all,All,0.43298,0.51848,0.34747,1
2021,01,003,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,003,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,003,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,003,race-ethnicity,"White, Non-Hispanic",0.44176,0.53630,0.34722,1
2021,01,005,all,All,0.39964,0.48288,0.31639,2
2021,01,005,race-ethnicity,"Black, Non-Hispanic",0.48736,0.61491,0.35982,3
2021,01,005,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,005,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,005,race-ethnicity,"White, Non-Hispanic",0.38305,0.51152,0.25457,3
2021,01,007,all,All,0.46542,0.56083,0.37001,2
2021,01,007,race-ethnicity,"Black, Non-Hispanic",0.57262,0.71879,0.42645,3
2021,01,007,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,007,race-ethnicity,"White, Non-Hispanic",0.31736,0.44151,0.19321,3
2021,01,009,all,All,0.24325,0.31969,0.16680,2
2021,01,009,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,009,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,009,race-ethnicity,"White, Non-Hispanic",0.26367,0.34918,0.17816,2
2021,01,011,all,All,0.39964,0.48288,0.31639,2
2021,01,011,race-ethnicity,"Black, Non-Hispanic",0.48736,0.61491,0.35982,3
2021,01,011,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
