year,state,county,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,share_in_preschool_quality
2021,01,001,0.48638,0.67851,0.29426,3
2021,01,003,0.27498,0.43216,0.11779,1
2021,01,005,0.36290,0.53497,0.19083,2
2021,01,007,0.35440,0.54577,0.16303,3
2021,01,009,0.27284,0.43783,0.10786,3
2021,01,011,0.36290,0.53497,0.19083,2
2021,01,013,0.24550,0.35823,0.13278,2
2021,01,015,0.32854,0.51645,0.14063,3
2021,01,017,0.25000,0.41333,0.08666,3
2021,01,019,0.55963,0.73439,0.38488,2
2021,01,021,0.24999,0.41333,0.08666,3
2021,01,023,0.21151,0.34878,0.07424,2
2021,01,025,0.21151,0.34878,0.07424,2
2021,01,027,0.55963,0.73439,0.38488,2
2021,01,029,0.55963,0.73439,0.38488,2
2021,01,031,0.24550,0.35823,0.13278,2
2021,01,033,0.24905,0.38840,0.10970,2
2021,01,035,0.21151,0.34878,0.07424,2
2021,01,037,0.24999,0.41333,0.08666,3
2021,01,039,0.24550,0.35823,0.13278,2
2021,01,041,0.24550,0.35823,0.13278,2
2021,01,043,0.41248,0.60171,0.22325,3
2021,01,045,0.42805,0.52361,0.33249,2
2021,01,047,0.35440,0.54577,0.16303,3
2021,01,049,0.24408,0.39290,0.09525,2
2021,01,051,0.48638,0.67851,0.29426,3
2021,01,053,0.21151,0.34878,0.07424,2
2021,01,055,0.02353,0.10594,0.00000,3
2021,01,057,0.23799,0.42462,0.05135,3
2021,01,059,0.24905,0.38840,0.10970,2
2021,01,061,0.42805,0.52361,0.33249,2
2021,01,063,0.35440,0.54577,0.16303,3
2021,01,065,0.35440,0.54577,0.16303,3
2021,01,067,0.42805,0.52361,0.33249,2
2021,01,069,0.42805,0.52361,0.33249,2
2021,01,071,0.24408,0.39290,0.09525,2
2021,01,073,0.35115,0.44471,0.25760,1
2021,01,075,0.23799,0.42462,0.05135,3
2021,01,077,0.24905,0.38840,0.10970,2
2021,01,079,0.36587,0.54119,0.19056,3
2021,01,081,0.54689,0.77686,0.31692,3
2021,01,083,0.64364,0.87131,0.41598,3
2021,01,085,0.48638,0.67851,0.29426,3
2021,01,087,0.36290,0.53497,0.19083,2
2021,01,089,0.55655,0.65158,0.46153,1
