year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,preschool_quality
2018,1,1,Race-ethnicity,"Black, Non Hispanic",0.3631809643,0.4992329892,0.2271289394,3
2018,1,1,Race-ethnicity,Hispanic,0.3166287016,0.604938617,0.0283187862,3
2018,1,1,Race-ethnicity,Other Races and Eth,0.568,0.9349636887,0.2010363113,3
2018,1,1,Race-ethnicity,"White, Non Hispanic",0.3899662732,0.4860453721,0.2938871743,3
2018,1,3,Race-ethnicity,"Black, Non Hispanic",0.3661119516,0.6999411448,0.0322827584,3
2018,1,3,Race-ethnicity,Hispanic,0.139088729,0.3954380772,-0.117260619,3
2018,1,3,Race-ethnicity,Other Races and Eth,0.200913242,0.6543290859,-0.252502602,3
2018,1,3,Race-ethnicity,"White, Non Hispanic",0.4031630801,0.4944193682,0.3119067921,1
2018,1,5,Race-ethnicity,"Black, Non Hispanic",0.4034416826,0.5286251283,0.2782582369,3
2018,1,5,Race-ethnicity,Hispanic,0.1355311355,0.389103119,-0.118040848,3
2018,1,5,Race-ethnicity,Other Races and Eth,0.3783783784,0.7376585613,0.0190981955,3
2018,1,5,Race-ethnicity,"White, Non Hispanic",0.4140401146,0.5419116254,0.2861686038,3
2018,1,7,Race-ethnicity,"Black, Non Hispanic",0.5286219081,0.6656243347,0.3916194816,3
2018,1,7,Race-ethnicity,Hispanic,0,0,0,3
2018,1,7,Race-ethnicity,Other Races and Eth,0.0909090909,0.4893357487,-0.307517567,3
2018,1,7,Race-ethnicity,"White, Non Hispanic",0.3034953112,0.4349406401,0.1720499822,3
2018,1,9,Race-ethnicity,"Black, Non Hispanic",0.0340314136,0.1596727578,-0.091609931,3
2018,1,9,Race-ethnicity,Hispanic,0.4422018349,0.6716415684,0.2127621013,3
2018,1,9,Race-ethnicity,Other Races and Eth,0.5384615385,1.2293729509,-0.152449874,3
2018,1,9,Race-ethnicity,"White, Non Hispanic",0.251345895,0.3331585897,0.1695332004,2
2018,1,11,Race-ethnicity,"Black, Non Hispanic",0.4034416826,0.5286251283,0.2782582369,3
2018,1,11,Race-ethnicity,Hispanic,0.1355311355,0.389103119,-0.118040848,3
