year,state,place,subgroup_type,subgroup,share_in_preschool,share_in_preschool_quality
2021,01,03076,race-ethnicity,"Black, Non-Hispanic",0.6081871345029239,3
2021,01,03076,race-ethnicity,Hispanic,0.4451219512195122,3
2021,01,03076,race-ethnicity,Other Races and Ethnicities,0.5349462365591398,3
2021,01,03076,race-ethnicity,"White, Non-Hispanic",0.6395187413234613,2
2021,01,07000,race-ethnicity,"Black, Non-Hispanic",0.573237281410034,2
2021,01,07000,race-ethnicity,Hispanic,0.13522956066137587,2
2021,01,07000,race-ethnicity,Other Races and Ethnicities,0.33519547407614314,2
2021,01,07000,race-ethnicity,"White, Non-Hispanic",0.535899176104976,2
2021,01,35896,race-ethnicity,"Black, Non-Hispanic",0.38636369509115465,3
2021,01,35896,race-ethnicity,Hispanic,0.35090800172858194,3
2021,01,35896,race-ethnicity,Other Races and Ethnicities,0.5840269840187473,3
2021,01,35896,race-ethnicity,"White, Non-Hispanic",0.6517802226261,3
2021,01,37000,race-ethnicity,"Black, Non-Hispanic",0.4363298412780561,2
2021,01,37000,race-ethnicity,Hispanic,0.2885985139050476,2
2021,01,37000,race-ethnicity,Other Races and Ethnicities,0.6729429591263819,2
2021,01,37000,race-ethnicity,"White, Non-Hispanic",0.47863698218422485,2
2021,01,50000,race-ethnicity,"Black, Non-Hispanic",0.5175300075174751,1
2021,01,50000,race-ethnicity,Hispanic,0.36809863902377066,3
2021,01,50000,race-ethnicity,Other Races and Ethnicities,0.3249531018700185,3
2021,01,50000,race-ethnicity,"White, Non-Hispanic",0.5354082077409494,1
2021,01,51000,race-ethnicity,"Black, Non-Hispanic",0.39917009496213934,1
2021,01,51000,race-ethnicity,Hispanic,0.190509719569725,3
2021,01,51000,race-ethnicity,Other Races and Ethnicities,0.3909599857021925,3
2021,01,51000,race-ethnicity,"White, Non-Hispanic",0.4747498710173279,1
2021,01,77256,race-ethnicity,"Black, Non-Hispanic",0.29002159183693266,2
2021,01,77256,race-ethnicity,Hispanic,0.9906374365643549,3
2021,01,77256,race-ethnicity,Other Races and Ethnicities,0.11828309176592046,3
2021,01,77256,race-ethnicity,"White, Non-Hispanic",0.6979456819380948,2
2021,02,03000,race-ethnicity,"Black, Non-Hispanic",0,3
2021,02,03000,race-ethnicity,Hispanic,0.3579086310829497,3
2021,02,03000,race-ethnicity,Other Races and Ethnicities,0.21107316187076977,1
2021,02,03000,race-ethnicity,"White, Non-Hispanic",0.47658737129352796,1
2021,04,04720,race-ethnicity,"Black, Non-Hispanic",0.07619563684892053,3
2021,04,04720,race-ethnicity,Hispanic,0.24194038186563624,2
2021,04,04720,race-ethnicity,Other Races and Ethnicities,0.35801146413331913,2
2021,04,04720,race-ethnicity,"White, Non-Hispanic",0.2922577552043105,2
2021,04,07940,race-ethnicity,"Black, Non-Hispanic",0.5745269922478201,3
2021,04,07940,race-ethnicity,Hispanic,0.1885620402861416,2
2021,04,07940,race-ethnicity,Other Races and Ethnicities,0.46853986301796974,3
2021,04,07940,race-ethnicity,"White, Non-Hispanic",0.3626196601020537,2
2021,04,12000,race-ethnicity,"Black, Non-Hispanic",0.7158628152699675,3
2021,04,12000,race-ethnicity,Hispanic,0.30953590655949376,1
2021,04,12000,race-ethnicity,Other Races and Ethnicities,0.4569690266261981,1
2021,04,12000,race-ethnicity,"White, Non-Hispanic",0.6098260680347095,1
2021,04,23620,race-ethnicity,"Black, Non-Hispanic",NA,3
2021,04,23620,race-ethnicity,Hispanic,0.35988200589970504,3
2021,04,23620,race-ethnicity,Other Races and Ethnicities,0.2876224398931434,2
2021,04,23620,race-ethnicity,"White, Non-Hispanic",0.47406733393994543,2
2021,04,27400,race-ethnicity,"Black, Non-Hispanic",0.7645064565983724,3
2021,04,27400,race-ethnicity,Hispanic,0.5110762287195602,1
2021,04,27400,race-ethnicity,Other Races and Ethnicities,0.33958402603215293,1
2021,04,27400,race-ethnicity,"White, Non-Hispanic",0.4704839926580174,1
2021,04,27820,race-ethnicity,"Black, Non-Hispanic",0.33330297524911856,1
2021,04,27820,race-ethnicity,Hispanic,0.10671327371583185,1
2021,04,27820,race-ethnicity,Other Races and Ethnicities,0.2293115568787808,1
2021,04,27820,race-ethnicity,"White, Non-Hispanic",0.47000705908050816,1
2021,04,28380,race-ethnicity,"Black, Non-Hispanic",0.39259970920823467,3
2021,04,28380,race-ethnicity,Hispanic,0.2065685461820294,2
2021,04,28380,race-ethnicity,Other Races and Ethnicities,0.4197420144266887,2
2021,04,28380,race-ethnicity,"White, Non-Hispanic",0.25460552519151236,2
2021,04,46000,race-ethnicity,"Black, Non-Hispanic",0.20585316652702126,3
2021,04,46000,race-ethnicity,Hispanic,0.18578133980676745,1
2021,04,46000,race-ethnicity,Other Races and Ethnicities,0.23331008219789212,1
2021,04,46000,race-ethnicity,"White, Non-Hispanic",0.40709353507103735,1
2021,04,54050,race-ethnicity,"Black, Non-Hispanic",0.41396062529392225,3
2021,04,54050,race-ethnicity,Hispanic,0.25052713412815475,2
2021,04,54050,race-ethnicity,Other Races and Ethnicities,0.3751379296114613,2
2021,04,54050,race-ethnicity,"White, Non-Hispanic",0.41675025304221425,2
2021,04,55000,race-ethnicity,"Black, Non-Hispanic",0.29629438890112936,1
2021,04,55000,race-ethnicity,Hispanic,0.251426973539448,1
2021,04,55000,race-ethnicity,Other Races and Ethnicities,0.46432059666890085,1
2021,04,55000,race-ethnicity,"White, Non-Hispanic",0.4338044268729462,1
2021,04,65000,race-ethnicity,"Black, Non-Hispanic",0.026595166999291157,3
2021,04,65000,race-ethnicity,Hispanic,0.48008319916550224,2
2021,04,65000,race-ethnicity,Other Races and Ethnicities,0.6129148152595973,2
2021,04,65000,race-ethnicity,"White, Non-Hispanic",0.4602966755596096,2
2021,04,71510,race-ethnicity,"Black, Non-Hispanic",0.18082730048607215,3
2021,04,71510,race-ethnicity,Hispanic,0.37110053460080644,1
2021,04,71510,race-ethnicity,Other Races and Ethnicities,0.5489632145486493,1
2021,04,71510,race-ethnicity,"White, Non-Hispanic",0.465864236536161,1
2021,04,73000,race-ethnicity,"Black, Non-Hispanic",0.45109562515598145,1
2021,04,73000,race-ethnicity,Hispanic,0.32469008816854883,1
2021,04,73000,race-ethnicity,Other Races and Ethnicities,0.37398682273624423,1
2021,04,73000,race-ethnicity,"White, Non-Hispanic",0.5350632647345924,1
2021,04,77000,race-ethnicity,"Black, Non-Hispanic",0.3318848345575797,1
2021,04,77000,race-ethnicity,Hispanic,0.3112794770927481,1
2021,04,77000,race-ethnicity,Other Races and Ethnicities,0.2923168307574735,1
2021,04,77000,race-ethnicity,"White, Non-Hispanic",0.5530106095867513,1
2021,04,85540,race-ethnicity,"Black, Non-Hispanic",NA,3
2021,04,85540,race-ethnicity,Hispanic,0.359094616639478,2
2021,04,85540,race-ethnicity,Other Races and Ethnicities,0.5461956521739131,3
2021,04,85540,race-ethnicity,"White, Non-Hispanic",0.37139689578713964,2
2021,05,23290,race-ethnicity,"Black, Non-Hispanic",0.40575916230366493,3
2021,05,23290,race-ethnicity,Hispanic,0.3952724885095207,2
2021,05,23290,race-ethnicity,Other Races and Ethnicities,0.21474067333939945,2
