year,state,place,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,03076,race-ethnicity,"Black, Non-Hispanic",0.6971984322833502,3
2018,01,03076,race-ethnicity,Hispanic,0.8131472309770373,3
2018,01,03076,race-ethnicity,Other Races and Ethnicities,0.6126961483594865,3
2018,01,03076,race-ethnicity,"White, Non-Hispanic",0.8618806773860749,3
2018,01,03076,all,All,0.8047409335068229,3
2018,01,07000,race-ethnicity,"Black, Non-Hispanic",0.7111039415913608,3
2018,01,07000,race-ethnicity,Hispanic,0.8167117406768613,3
2018,01,07000,race-ethnicity,Other Races and Ethnicities,0.7103971775710392,3
2018,01,07000,race-ethnicity,"White, Non-Hispanic",0.8388747059965621,3
2018,01,07000,all,All,0.7592626215047878,3
2018,01,35896,race-ethnicity,"Black, Non-Hispanic",0.8196149677399283,3
2018,01,35896,race-ethnicity,Hispanic,0.7506019579287928,3
2018,01,35896,race-ethnicity,Other Races and Ethnicities,0.7850183909536229,3
2018,01,35896,race-ethnicity,"White, Non-Hispanic",0.8329144267570642,3
2018,01,35896,all,All,0.8232484751466875,3
2018,01,37000,race-ethnicity,"Black, Non-Hispanic",0.8085726478325497,3
2018,01,37000,race-ethnicity,Hispanic,0.685367490234657,3
2018,01,37000,race-ethnicity,Other Races and Ethnicities,0.6600210722370133,3
2018,01,37000,race-ethnicity,"White, Non-Hispanic",0.8053273009868689,3
2018,01,37000,all,All,0.7890645162855602,3
2018,01,50000,race-ethnicity,"Black, Non-Hispanic",0.6665354339950641,3
2018,01,50000,race-ethnicity,Hispanic,0.9208351413537728,3
2018,01,50000,race-ethnicity,Other Races and Ethnicities,0.8511288561210578,3
2018,01,50000,race-ethnicity,"White, Non-Hispanic",0.7553870635159798,3
2018,01,50000,all,All,0.7187449939202204,3
2018,01,51000,race-ethnicity,"Black, Non-Hispanic",0.7392709693202657,3
2018,01,51000,race-ethnicity,Hispanic,0.6708753013809653,3
2018,01,51000,race-ethnicity,Other Races and Ethnicities,0.7396625426048387,3
2018,01,51000,race-ethnicity,"White, Non-Hispanic",0.807079795782695,3
2018,01,51000,all,All,0.7586249451507612,3
2018,01,77256,race-ethnicity,"Black, Non-Hispanic",0.7288804385579742,3
2018,01,77256,race-ethnicity,Hispanic,0.883544396981413,3
2018,01,77256,race-ethnicity,Other Races and Ethnicities,0.5774855401964126,3
2018,01,77256,race-ethnicity,"White, Non-Hispanic",0.7971581236447911,3
2018,01,77256,all,All,0.7647290433399784,3
2018,02,03000,race-ethnicity,"Black, Non-Hispanic",0.7871559633027523,2
2018,02,03000,race-ethnicity,Hispanic,0.7434223944523761,2
2018,02,03000,race-ethnicity,Other Races and Ethnicities,0.7453044697087681,2
2018,02,03000,race-ethnicity,"White, Non-Hispanic",0.8865034526051475,2
2018,02,03000,all,All,0.8316824265832057,2
2018,04,04720,race-ethnicity,"Black, Non-Hispanic",0.7945118828700257,3
2018,04,04720,race-ethnicity,Hispanic,0.7901896950965277,3
2018,04,04720,race-ethnicity,Other Races and Ethnicities,0.7825472632266289,3
2018,04,04720,race-ethnicity,"White, Non-Hispanic",0.8099504176574019,3
2018,04,04720,all,All,0.7974722502254479,3
2018,04,07940,race-ethnicity,"Black, Non-Hispanic",0.8791060064231785,3
2018,04,07940,race-ethnicity,Hispanic,0.8134492151406901,3
2018,04,07940,race-ethnicity,Other Races and Ethnicities,0.7063703427686266,3
2018,04,07940,race-ethnicity,"White, Non-Hispanic",0.8137291150320662,3
2018,04,07940,all,All,0.808340430820557,3
2018,04,12000,race-ethnicity,"Black, Non-Hispanic",0.8541974101383221,3
2018,04,12000,race-ethnicity,Hispanic,0.8024238696740115,3
2018,04,12000,race-ethnicity,Other Races and Ethnicities,0.8475627173259572,3
2018,04,12000,race-ethnicity,"White, Non-Hispanic",0.8583325377965172,3
2018,04,12000,all,All,0.8449892286631453,3
2018,04,23620,race-ethnicity,Hispanic,0.8584668551680804,3
2018,04,23620,race-ethnicity,Other Races and Ethnicities,0.6677860120426123,3
2018,04,23620,race-ethnicity,"White, Non-Hispanic",0.8605790118093133,3
2018,04,23620,all,All,0.7922871090957371,3
2018,04,27400,race-ethnicity,"Black, Non-Hispanic",0.8520992416660111,1
2018,04,27400,race-ethnicity,Hispanic,0.7876827775269065,1
2018,04,27400,race-ethnicity,Other Races and Ethnicities,0.7828476681446825,1
2018,04,27400,race-ethnicity,"White, Non-Hispanic",0.8098824392398533,1
2018,04,27400,all,All,0.8056920889434124,1
2018,04,27820,race-ethnicity,"Black, Non-Hispanic",0.7969155311398628,1
2018,04,27820,race-ethnicity,Hispanic,0.7296605528990868,1
2018,04,27820,race-ethnicity,Other Races and Ethnicities,0.7801085664008084,1
2018,04,27820,race-ethnicity,"White, Non-Hispanic",0.7780453877694137,1
2018,04,27820,all,All,0.7620777371770384,1
2018,04,28380,race-ethnicity,"Black, Non-Hispanic",0.7373891017122999,3
2018,04,28380,race-ethnicity,Hispanic,0.8118604824630415,3
2018,04,28380,race-ethnicity,Other Races and Ethnicities,0.674186292119957,3
2018,04,28380,race-ethnicity,"White, Non-Hispanic",0.7681724481077439,3
2018,04,28380,all,All,0.773333632057749,3
2018,04,46000,race-ethnicity,"Black, Non-Hispanic",0.8710577465113092,2
2018,04,46000,race-ethnicity,Hispanic,0.7931249693460107,2
2018,04,46000,race-ethnicity,Other Races and Ethnicities,0.7645114658833811,2
2018,04,46000,race-ethnicity,"White, Non-Hispanic",0.8021729311583449,2
2018,04,46000,all,All,0.8010055420178525,2
2018,04,54050,race-ethnicity,"Black, Non-Hispanic",0.7493540632045771,2
2018,04,54050,race-ethnicity,Hispanic,0.7706096715245992,2
2018,04,54050,race-ethnicity,Other Races and Ethnicities,0.7614145693551951,2
2018,04,54050,race-ethnicity,"White, Non-Hispanic",0.843514823587087,2
2018,04,54050,all,All,0.8139005748798563,2
2018,04,55000,race-ethnicity,"Black, Non-Hispanic",0.820730727462648,2
2018,04,55000,race-ethnicity,Hispanic,0.7584609660265884,2
2018,04,55000,race-ethnicity,Other Races and Ethnicities,0.8258120852680404,2
2018,04,55000,race-ethnicity,"White, Non-Hispanic",0.8295344751897228,2
2018,04,55000,all,All,0.7984265225959134,2
2018,04,65000,race-ethnicity,"Black, Non-Hispanic",0.8162107032187125,3
2018,04,65000,race-ethnicity,Hispanic,0.8351560335615523,3
2018,04,65000,race-ethnicity,Other Races and Ethnicities,0.7247305594208492,3
2018,04,65000,race-ethnicity,"White, Non-Hispanic",0.835223641383639,3
2018,04,65000,all,All,0.8235807669934978,3
2018,04,71510,race-ethnicity,"Black, Non-Hispanic",0.7082372659092064,1
2018,04,71510,race-ethnicity,Hispanic,0.8081752704499705,1
2018,04,71510,race-ethnicity,Other Races and Ethnicities,0.8633340524493069,1
2018,04,71510,race-ethnicity,"White, Non-Hispanic",0.8655835886870766,1
2018,04,71510,all,All,0.8423830679755168,1
2018,04,73000,race-ethnicity,"Black, Non-Hispanic",0.9289303002033173,3
2018,04,73000,race-ethnicity,Hispanic,0.8202260239480457,3
2018,04,73000,race-ethnicity,Other Races and Ethnicities,0.8159809413172564,3
2018,04,73000,race-ethnicity,"White, Non-Hispanic",0.8429474155771837,3
2018,04,73000,all,All,0.838602866382934,3
2018,04,77000,race-ethnicity,"Black, Non-Hispanic",0.7852214624151006,2
2018,04,77000,race-ethnicity,Hispanic,0.7522596951032149,2
2018,04,77000,race-ethnicity,Other Races and Ethnicities,0.7791257663238098,2
2018,04,77000,race-ethnicity,"White, Non-Hispanic",0.8239242581795613,2
2018,04,77000,all,All,0.7873480906854035,2
2018,04,85540,race-ethnicity,"Black, Non-Hispanic",0.9037267080745341,3
2018,04,85540,race-ethnicity,Hispanic,0.7392472594871395,3
2018,04,85540,race-ethnicity,Other Races and Ethnicities,0.8783242258652094,3
2018,04,85540,race-ethnicity,"White, Non-Hispanic",0.7633553803103535,3
2018,04,85540,all,All,0.7529247989200744,3
2018,05,23290,race-ethnicity,"Black, Non-Hispanic",0.725061425061425,3
2018,05,23290,race-ethnicity,Hispanic,0.8181276088252831,3
2018,05,23290,race-ethnicity,Other Races and Ethnicities,0.8125578168362628,3
2018,05,23290,race-ethnicity,"White, Non-Hispanic",0.8165288222510592,3
2018,05,23290,all,All,0.8124645528577085,3
2018,05,24550,race-ethnicity,"Black, Non-Hispanic",0.8167432363450741,3
2018,05,24550,race-ethnicity,Hispanic,0.7311914942794407,3
2018,05,24550,race-ethnicity,Other Races and Ethnicities,0.6938483547925608,3
2018,05,24550,race-ethnicity,"White, Non-Hispanic",0.7644316959483686,3
2018,05,24550,all,All,0.7571013040513269,3
2018,05,35710,race-ethnicity,"Black, Non-Hispanic",0.7875985650455909,3
2018,05,35710,race-ethnicity,Hispanic,0.8231983392303764,3
2018,05,35710,race-ethnicity,Other Races and Ethnicities,0.6742693876592272,3
2018,05,35710,race-ethnicity,"White, Non-Hispanic",0.7645696724975886,3
2018,05,35710,all,All,0.7665381956720362,3
2018,05,41000,race-ethnicity,"Black, Non-Hispanic",0.7347053766015169,1
2018,05,41000,race-ethnicity,Hispanic,0.8740249169836205,1
2018,05,41000,race-ethnicity,Other Races and Ethnicities,0.8627287157789095,1
