year,state,place,share_employed,share_employed_quality
2021,01,03076,0.7918990052192533,2
2021,01,07000,0.7923017786024358,2
2021,01,35896,0.8325009013339743,3
2021,01,37000,0.7850652122775073,2
2021,01,50000,0.7624491023051836,1
2021,01,51000,0.7622100671605622,1
2021,01,77256,0.7964262572347973,2
2021,02,03000,0.7892053521490341,1
2021,04,04720,0.8039898526082252,2
2021,04,07940,0.7878506379566332,2
2021,04,12000,0.8363583684126392,1
2021,04,23620,0.7791996749949218,2
2021,04,27400,0.8343165936629545,1
2021,04,27820,0.774331941745705,1
2021,04,28380,0.7888335352991338,2
2021,04,46000,0.8185909916661914,1
2021,04,54050,0.7849842705155161,2
2021,04,55000,0.784815320030877,1
2021,04,65000,0.8223115491009682,2
2021,04,71510,0.7832520972352159,1
2021,04,73000,0.7839764722386444,1
2021,04,77000,0.7967444449624179,1
2021,04,85540,0.7446019186737385,2
2021,05,23290,0.8168726391854163,2
2021,05,24550,0.7208135235076598,2
2021,05,35710,0.7273502236562294,2
2021,05,41000,0.7937597524356503,1
2021,05,66080,0.8310482569949693,3
2021,06,00562,0.8124734959116511,2
2021,06,00884,0.7532251759186864,2
2021,06,02000,0.7814202235314608,1
2021,06,02252,0.7547555791710946,1
2021,06,02364,0.6839680040845849,2
2021,06,03526,0.7086828150476666,2
2021,06,04982,0.7582945122755737,2
2021,06,06000,0.8123538975094035,1
2021,06,08786,0.775869326063041,3
2021,06,08954,0.7895046130340247,1
2021,06,11194,0.7764999900432125,1
2021,06,11530,0.7466362968771393,1
2021,06,13014,0.7869529118728502,1
2021,06,13210,0.76009020469527,2
2021,06,13214,0.7516732659337125,2
2021,06,13392,0.7604088250622503,1
2021,06,13588,0.7599104921005421,1
2021,06,14218,0.7800012520084302,1
2021,06,15044,0.7637008653986439,2
2021,06,16000,0.804092254683102,3
2021,06,16350,0.7740557384464605,2
2021,06,16532,0.8050848227397003,2
2021,06,17918,0.8159862330880607,2
2021,06,19766,0.7497967792253444,1
2021,06,21712,0.7735416867831815,2
2021,06,22020,0.7815575021723303,1
2021,06,22230,0.7317389493723601,1
2021,06,22804,0.7533155097864475,1
2021,06,23182,0.7858128113441281,1
2021,06,24638,0.832976344592209,2
2021,06,24680,0.739030620857294,1
2021,06,26000,0.8180776029327291,1
2021,06,27000,0.7445961122109919,1
2021,06,28000,0.7818538262553079,2
2021,06,29000,0.7662971342146467,1
2021,06,30000,0.7824052498930049,1
2021,06,32548,0.7724707370330155,2
2021,06,33000,0.7955629233949366,1
2021,06,33182,0.7081795279665726,2
2021,06,33434,0.6891356968413757,2
