year,state,county,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",0.7132371551505947,3
2018,01,001,race-ethnicity,Hispanic,0.7772946859903382,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,0.7821782178217822,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",0.7851222544550353,3
2018,01,001,all,All,0.7633750453391368,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",0.7555301296720061,1
2018,01,003,race-ethnicity,Hispanic,0.8791533909877105,1
2018,01,003,race-ethnicity,Other Races and Ethnicities,0.7626423690205011,1
2018,01,003,race-ethnicity,"White, Non-Hispanic",0.8210063584268781,1
2018,01,003,all,All,0.816046065259117,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",0.5932264384821464,3
2018,01,005,race-ethnicity,Hispanic,0.7629904559915165,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,0.7066441441441441,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",0.6815205707026287,3
2018,01,005,all,All,0.6406170502879703,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",0.5490778813662825,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",0.6768889709957511,3
2018,01,007,all,All,0.6030012647144662,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",0.8899736147757256,2
2018,01,009,race-ethnicity,Hispanic,0.6613242249080399,2
2018,01,009,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,009,race-ethnicity,"White, Non-Hispanic",0.7196765498652291,2
2018,01,009,all,All,0.721303320482527,2
2018,01,011,race-ethnicity,"Black, Non-Hispanic",0.5932264384821464,3
2018,01,011,race-ethnicity,Hispanic,0.7629904559915165,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,0.7066441441441441,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",0.6815205707026287,3
2018,01,011,all,All,0.6406170502879703,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",0.7331738610416441,3
2018,01,013,race-ethnicity,Hispanic,0.7604562737642585,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,0.502518186905428,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",0.7601287391139719,3
2018,01,013,all,All,0.744421996758653,3
2018,01,015,race-ethnicity,"Black, Non-Hispanic",0.6429380859173792,1
2018,01,015,race-ethnicity,Hispanic,0.8867132867132868,1
2018,01,015,race-ethnicity,Other Races and Ethnicities,0.5238095238095238,1
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.768709468223087,1
2018,01,015,all,All,0.7416833903907449,1
2018,01,017,race-ethnicity,"Black, Non-Hispanic",0.7363931386184515,3
2018,01,017,race-ethnicity,Hispanic,0.7511904761904762,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,0.5538039753255655,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",0.6356784722000447,3
2018,01,017,all,All,0.664556557324637,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",0.6445486698446871,3
2018,01,019,race-ethnicity,Hispanic,0.34027777777777773,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,0.5198135198135199,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",0.7436266243428231,3
2018,01,019,all,All,0.7148604011736266,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",0.7363931386184516,3
2018,01,021,race-ethnicity,Hispanic,0.7511904761904763,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,0.5538039753255655,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",0.6356784722000447,3
2018,01,021,all,All,0.664556557324637,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",0.5943619431160333,3
2018,01,023,race-ethnicity,Hispanic,0.37464788732394366,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,0.6519963702359347,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",0.6489555778527776,3
2018,01,023,all,All,0.6224577226606539,3
