year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,01,03076,all,All,0.78690535388695515,0.7644392557082452,0.8093714520656651,2
2018,01,03076,disability,With Disability,0.47260387353087235,0.3823993881623581,0.5628083588993866,2
2018,01,03076,disability,Without Disability,0.8218792020482971,0.799422503949887,0.8443359001467072,2
2018,01,07000,all,All,0.7362671394890647,0.7207479351720246,0.7517863438061049,3
2018,01,07000,disability,With Disability,0.3516979919281268,0.30425573255661864,0.39914025129963493,3
2018,01,07000,disability,Without Disability,0.7996155066276024,0.7837909000551498,0.8154401132000549,3
2018,01,35896,all,All,0.8267949498498163,0.8145093951297039,0.8390805045699287,3
2018,01,35896,disability,With Disability,0.45658190966948475,0.393294783235446,0.5198690361035235,3
2018,01,35896,disability,Without Disability,0.8543908118726016,0.8433294218059316,0.8654522019392715,3
2018,01,37000,all,All,0.7766508535486119,0.7627221207888386,0.7905795863083851,3
2018,01,37000,disability,With Disability,0.4138685070576074,0.36290992306508724,0.4648270910501276,3
2018,01,37000,disability,Without Disability,0.813890474633691,0.7993735236484835,0.8284074256188986,3
2018,01,50000,all,All,0.7375783538676125,0.7202558930653918,0.7549008146698332,3
2018,01,50000,disability,With Disability,0.35695093538922895,0.29459522536943816,0.41930664540901974,3
2018,01,50000,disability,Without Disability,0.7782445548822566,0.7616203730119678,0.7948687367525454,3
2018,01,51000,all,All,0.7355290850802779,0.713541732294218,0.7575164378663378,3
2018,01,51000,disability,With Disability,0.27905071823328353,0.2276339812542681,0.330467455212299,3
2018,01,51000,disability,Without Disability,0.8054002755276591,0.7861268934155332,0.8246736576397851,3
2018,01,77256,all,All,0.7431817432610254,0.7205051818909953,0.7658583046310554,2
2018,01,77256,disability,With Disability,0.2709848824587735,0.19015748932096677,0.35181227559658024,2
2018,01,77256,disability,Without Disability,0.7894223473440806,0.764575538410652,0.8142691562775092,2
2018,02,03000,all,All,0.8096510442994809,0.791066787602264,0.8282353009966977,2
2018,02,03000,disability,With Disability,0.4683222183222183,0.39008981737107423,0.5465546192733624,2
2018,02,03000,disability,Without Disability,0.8440030733090177,0.8255273021027305,0.8624788445153049,2
2018,04,04720,all,All,0.7963306906102604,0.7767489500497172,0.8159124311708036,2
2018,04,04720,disability,With Disability,0.44635933879375417,0.35472757378173037,0.537991103805778,2
2018,04,04720,disability,Without Disability,0.822760395603906,0.8032980727421256,0.8422227184656864,2
2018,04,07940,all,All,0.7671443586323614,0.7447995594664327,0.7894891577982901,2
2018,04,07940,disability,With Disability,0.34353579698150727,0.2669389771089176,0.4201326168540969,2
2018,04,07940,disability,Without Disability,0.8091689122005207,0.7879092181107461,0.8304286062902952,2
2018,04,12000,all,All,0.8341760638469479,0.8233823916423806,0.8449697360515152,3
2018,04,12000,disability,With Disability,0.47705894704472573,0.41238025513192517,0.5417376389575264,3
2018,04,12000,disability,Without Disability,0.8560544538869771,0.8462413919781832,0.865867515795771,3
2018,04,23620,all,All,0.7716107256703544,0.7529418283502077,0.790279622990501,3
2018,04,23620,disability,With Disability,0.4895984518626028,0.4170699697898516,0.5621269339353541,3
2018,04,23620,disability,Without Disability,0.7981898182978819,0.7792285196203931,0.8171511169753708,3
2018,04,27400,all,All,0.8078393547172374,0.7960241686901316,0.8196545407443433,1
2018,04,27400,disability,With Disability,0.5064922556749908,0.4426481100122244,0.5703364013377571,1
2018,04,27400,disability,Without Disability,0.8251781948074453,0.8141104968239864,0.8362458927909041,1
2018,04,27820,all,All,0.7428870322297075,0.729176669103411,0.7565973953560041,1
2018,04,27820,disability,With Disability,0.4225538400025089,0.3730388759013729,0.4720688041036449,1
