year,state,county,subgroup_type,subgroup,ratio_living_wage,ratio_living_wage_quality
2021,01,001,all,All,.7481429,1
2021,01,001,industry,Goods Producing,1.048815,1
2021,01,001,industry,Public Administration,.9138073,1
2021,01,001,industry,"Trade, Transit, Utilities",.6995047,1
2021,01,001,industry,Information Services,1.100106,3
2021,01,001,industry,Professional Services,.9135125,1
2021,01,001,industry,Education and Health,.6915458,1
2021,01,001,industry,Leisure and Other,.4116555,1
2021,01,003,all,All,.7391911,1
2021,01,003,industry,Goods Producing,.9300907,1
2021,01,003,industry,Public Administration,.8745933,1
2021,01,003,industry,"Trade, Transit, Utilities",.7008368,1
2021,01,003,industry,Information Services,1.045153,1
2021,01,003,industry,Professional Services,.9074268,1
2021,01,003,industry,Education and Health,.8647141,1
2021,01,003,industry,Leisure and Other,.5687762,1
2021,01,005,all,All,.7108744,1
2021,01,005,industry,Goods Producing,.8109846,1
2021,01,005,industry,Public Administration,.8737448,1
2021,01,005,industry,"Trade, Transit, Utilities",.7117928,1
2021,01,005,industry,Information Services,.8513961,3
2021,01,005,industry,Professional Services,.6943424,1
2021,01,005,industry,Education and Health,.7081191,1
2021,01,005,industry,Leisure and Other,.4468222,1
2021,01,007,all,All,.7706438,1
2021,01,007,industry,Goods Producing,1.0007,1
2021,01,007,industry,Public Administration,.8875671,1
2021,01,007,industry,"Trade, Transit, Utilities",.6499301,1
2021,01,007,industry,Information Services,NA,NA
2021,01,007,industry,Professional Services,.8196291,1
2021,01,007,industry,Education and Health,.760147,1
2021,01,007,industry,Leisure and Other,NA,NA
2021,01,009,all,All,.6761722,1
2021,01,009,industry,Goods Producing,.7820154,1
2021,01,009,industry,Public Administration,.7729765,1
2021,01,009,industry,"Trade, Transit, Utilities",.6726732,1
2021,01,009,industry,Information Services,1.107418,3
2021,01,009,industry,Professional Services,.8987929,1
2021,01,009,industry,Education and Health,.6822953,1
2021,01,009,industry,Leisure and Other,.423373,1
2021,01,011,all,All,.7740082,1
2021,01,011,industry,Goods Producing,.8138673,1
2021,01,011,industry,Public Administration,.9362255,1
2021,01,011,industry,"Trade, Transit, Utilities",.6896552,1
2021,01,011,industry,Information Services,NA,NA
2021,01,011,industry,Professional Services,.7058769,3
2021,01,011,industry,Education and Health,.7684464,1
2021,01,011,industry,Leisure and Other,NA,NA
2021,01,013,all,All,.7119021,1
2021,01,013,industry,Goods Producing,.9288099,1
2021,01,013,industry,Public Administration,.841676,1
2021,01,013,industry,"Trade, Transit, Utilities",.6998518,1
2021,01,013,industry,Information Services,.6025214,3
2021,01,013,industry,Professional Services,.6136448,1
2021,01,013,industry,Education and Health,.7684464,1
2021,01,013,industry,Leisure and Other,.451891,1
2021,01,015,all,All,.795163,1
2021,01,015,industry,Goods Producing,1.018688,1
2021,01,015,industry,Public Administration,.9493709,1
2021,01,015,industry,"Trade, Transit, Utilities",.7090509,1
2021,01,015,industry,Information Services,.9215829,1
2021,01,015,industry,Professional Services,.8794429,1
2021,01,015,industry,Education and Health,.7759252,1
2021,01,015,industry,Leisure and Other,.4598754,1
2021,01,017,all,All,.73567,1
2021,01,017,industry,Goods Producing,.9912377,1
2021,01,017,industry,Public Administration,.8534137,1
2021,01,017,industry,"Trade, Transit, Utilities",.6389194,1
2021,01,017,industry,Information Services,.8525009,3
2021,01,017,industry,Professional Services,.6521541,1
2021,01,017,industry,Education and Health,.6663016,1
2021,01,017,industry,Leisure and Other,.4705184,1
2021,01,019,all,All,.6905822,1
2021,01,019,industry,Goods Producing,.7842047,1
2021,01,019,industry,Public Administration,.8435299,1
2021,01,019,industry,"Trade, Transit, Utilities",.6961439,1
2021,01,019,industry,Information Services,.7545421,3
2021,01,019,industry,Professional Services,.7216352,1
2021,01,019,industry,Education and Health,.8444569,1
2021,01,019,industry,Leisure and Other,.3744902,1
2021,01,021,all,All,.7638117,1
2021,01,021,industry,Goods Producing,.9547646,1
2021,01,021,industry,Public Administration,.8246818,1
2021,01,021,industry,"Trade, Transit, Utilities",.7545421,1
2021,01,021,industry,Information Services,.8268447,3
2021,01,021,industry,Professional Services,.7994995,1
2021,01,021,industry,Education and Health,.8324065,1
2021,01,021,industry,Leisure and Other,.4078606,1
2021,01,023,all,All,.9761029,1
2021,01,023,industry,Goods Producing,1.350184,1
2021,01,023,industry,Public Administration,.6871936,1
2021,01,023,industry,"Trade, Transit, Utilities",.8897059,1
2021,01,023,industry,Information Services,.7132353,3
2021,01,023,industry,Professional Services,.7159926,1
2021,01,023,industry,Education and Health,.6856618,1
2021,01,023,industry,Leisure and Other,.4117647,1
2021,01,025,all,All,.821283,1
2021,01,025,industry,Goods Producing,1.210604,1
2021,01,025,industry,Public Administration,.9081079,1
2021,01,025,industry,"Trade, Transit, Utilities",.650723,1
2021,01,025,industry,Information Services,.4597701,3
2021,01,025,industry,Professional Services,.7879125,1
2021,01,025,industry,Education and Health,.6850204,1
2021,01,025,industry,Leisure and Other,.4384502,1
2021,01,027,all,All,.7193178,1
2021,01,027,industry,Goods Producing,.7721543,1
2021,01,027,industry,Public Administration,.8018169,1
2021,01,027,industry,"Trade, Transit, Utilities",.6127179,1
2021,01,027,industry,Information Services,.6062292,3
2021,01,027,industry,Professional Services,.7698369,1
2021,01,027,industry,Education and Health,.6655543,1
2021,01,027,industry,Leisure and Other,.3967371,3
2021,01,029,all,All,.9158325,1
2021,01,029,industry,Goods Producing,1.29125,1
2021,01,029,industry,Public Administration,.8660858,1
2021,01,029,industry,"Trade, Transit, Utilities",.8880238,1
2021,01,029,industry,Information Services,2.074528,3
2021,01,029,industry,Professional Services,.6734335,1
2021,01,029,industry,Education and Health,.6284761,3
2021,01,029,industry,Leisure and Other,.609937,3
2021,01,031,all,All,.7101024,1
2021,01,031,industry,Goods Producing,.7448755,1
2021,01,031,industry,Public Administration,.920876,1
2021,01,031,industry,"Trade, Transit, Utilities",.6853953,1
2021,01,031,industry,Information Services,.6799048,3
2021,01,031,industry,Professional Services,.9361274,1
2021,01,031,industry,Education and Health,.7549414,1
2021,01,031,industry,Leisure and Other,.460743,1
2021,01,033,all,All,.9017594,1
2021,01,033,industry,Goods Producing,1.102456,1
2021,01,033,industry,Public Administration,1.251222,1
2021,01,033,industry,"Trade, Transit, Utilities",.7322214,1
2021,01,033,industry,Information Services,1.090542,3
2021,01,033,industry,Professional Services,.848607,1
2021,01,033,industry,Education and Health,.900843,1
2021,01,033,industry,Leisure and Other,.5246517,1
2021,01,035,all,All,.7489804,1
2021,01,035,industry,Goods Producing,.8286986,1
2021,01,035,industry,Public Administration,.8342603,1
2021,01,035,industry,"Trade, Transit, Utilities",.7758621,1
2021,01,035,industry,Information Services,.9000742,3
2021,01,035,industry,Professional Services,.7392474,1
2021,01,035,industry,Education and Health,.8064517,3
2021,01,035,industry,Leisure and Other,.4379867,1
2021,01,037,all,All,.7484426,1
2021,01,037,industry,Goods Producing,.8849394,3
2021,01,037,industry,Public Administration,.6791254,1
2021,01,037,industry,"Trade, Transit, Utilities",.7255404,1
2021,01,037,industry,Information Services,NA,NA
2021,01,037,industry,Professional Services,.8537925,3
2021,01,037,industry,Education and Health,.5670575,3
2021,01,037,industry,Leisure and Other,NA,NA
2021,01,039,all,All,.73693,1
2021,01,039,industry,Goods Producing,.7536152,1
2021,01,039,industry,Public Administration,.9044001,1
2021,01,039,industry,"Trade, Transit, Utilities",.8222099,1
2021,01,039,industry,Information Services,.6915091,3
2021,01,039,industry,Professional Services,.8694847,1
2021,01,039,industry,Education and Health,.7387839,1
2021,01,039,industry,Leisure and Other,.4681127,1
2021,01,041,all,All,.73693,1
2021,01,041,industry,Goods Producing,.8175752,1
2021,01,041,industry,Public Administration,.7669016,1
2021,01,041,industry,"Trade, Transit, Utilities",.8305525,1
2021,01,041,industry,Information Services,NA,NA
2021,01,041,industry,Professional Services,NA,NA
2021,01,041,industry,Education and Health,.6331109,1
2021,01,041,industry,Leisure and Other,.5913979,1
2021,01,043,all,All,.7977941,1
2021,01,043,industry,Goods Producing,.9283088,1
2021,01,043,industry,Public Administration,.8746936,1
2021,01,043,industry,"Trade, Transit, Utilities",.7628676,1
2021,01,043,industry,Information Services,1.012868,3
2021,01,043,industry,Professional Services,.9457721,1
2021,01,043,industry,Education and Health,.9025735,1
2021,01,043,industry,Leisure and Other,.5280331,1
2021,01,045,all,All,1.037806,1
2021,01,045,industry,Goods Producing,1.325982,1
2021,01,045,industry,Public Administration,.953793,1
2021,01,045,industry,"Trade, Transit, Utilities",.8719422,1
2021,01,045,industry,Information Services,1.261119,3
2021,01,045,industry,Professional Services,.9798926,1
2021,01,045,industry,Education and Health,1.100815,1
2021,01,045,industry,Leisure and Other,.39798,1
2021,01,047,all,All,.7647387,1
2021,01,047,industry,Goods Producing,.988135,1
2021,01,047,industry,Public Administration,.8917316,1
2021,01,047,industry,"Trade, Transit, Utilities",.6034483,1
2021,01,047,industry,Information Services,1.010382,3
2021,01,047,industry,Professional Services,.7429552,1
2021,01,047,industry,Education and Health,.8083056,1
2021,01,047,industry,Leisure and Other,.5112162,1
2021,01,049,all,All,.7733481,1
2021,01,049,industry,Goods Producing,.9680694,1
2021,01,049,industry,Public Administration,.8161068,1
2021,01,049,industry,"Trade, Transit, Utilities",.6912145,1
2021,01,049,industry,Information Services,1.125877,3
2021,01,049,industry,Professional Services,.7253599,1
2021,01,049,industry,Education and Health,.779808,1
2021,01,049,industry,Leisure and Other,.4983389,1
2021,01,051,all,All,.6712062,1
2021,01,051,industry,Goods Producing,.9559603,1
2021,01,051,industry,Public Administration,.8409975,1
2021,01,051,industry,"Trade, Transit, Utilities",.5792359,1
2021,01,051,industry,Information Services,1.04174,3
2021,01,051,industry,Professional Services,.8922886,1
2021,01,051,industry,Education and Health,.6508666,1
2021,01,051,industry,Leisure and Other,.4686947,1
2021,01,053,all,All,.8129404,1
2021,01,053,industry,Goods Producing,1.079904,1
2021,01,053,industry,Public Administration,.9377704,1
2021,01,053,industry,"Trade, Transit, Utilities",.6748239,1
2021,01,053,industry,Information Services,.8592882,3
2021,01,053,industry,Professional Services,.7911569,1
2021,01,053,industry,Education and Health,.8880238,1
2021,01,053,industry,Leisure and Other,.4240823,1
2021,01,055,all,All,.7371324,1
2021,01,055,industry,Goods Producing,.7729779,1
2021,01,055,industry,Public Administration,.9592524,1
2021,01,055,industry,"Trade, Transit, Utilities",.7003676,1
2021,01,055,industry,Information Services,.8373162,3
2021,01,055,industry,Professional Services,.832261,1
2021,01,055,industry,Education and Health,.9246324,1
2021,01,055,industry,Leisure and Other,.5119485,1
2021,01,057,all,All,.6655543,1
2021,01,057,industry,Goods Producing,.7647387,1
2021,01,057,industry,Public Administration,.7455816,1
2021,01,057,industry,"Trade, Transit, Utilities",.588617,1
2021,01,057,industry,Information Services,1.09937,3
2021,01,057,industry,Professional Services,.8041342,1
2021,01,057,industry,Education and Health,.6414535,1
2021,01,057,industry,Leisure and Other,.4027624,1
2021,01,059,all,All,.736003,1
2021,01,059,industry,Goods Producing,.8249908,1
2021,01,059,industry,Public Administration,.8617601,1
2021,01,059,industry,"Trade, Transit, Utilities",.5487579,1
2021,01,059,industry,Information Services,1.115128,3
2021,01,059,industry,Professional Services,.7744717,1
2021,01,059,industry,Education and Health,.7119021,1
2021,01,059,industry,Leisure and Other,.4908232,1
2021,01,061,all,All,.6430662,1
2021,01,061,industry,Goods Producing,.6906331,1
2021,01,061,industry,Public Administration,.7321015,1
2021,01,061,industry,"Trade, Transit, Utilities",.6705086,1
2021,01,061,industry,Information Services,NA,NA
2021,01,061,industry,Professional Services,.6933773,1
2021,01,061,industry,Education and Health,.7070985,1
2021,01,061,industry,Leisure and Other,NA,NA
2021,01,063,all,All,.6961439,1
2021,01,063,industry,Goods Producing,.8073786,3
2021,01,063,industry,Public Administration,.7452726,1
2021,01,063,industry,"Trade, Transit, Utilities",.5116796,1
2021,01,063,industry,Information Services,NA,NA
2021,01,063,industry,Professional Services,1.01409,3
2021,01,063,industry,Education and Health,.568224,1
2021,01,063,industry,Leisure and Other,NA,NA
2021,01,065,all,All,.7259768,1
2021,01,065,industry,Goods Producing,.9714889,1
2021,01,065,industry,Public Administration,.781415,1
2021,01,065,industry,"Trade, Transit, Utilities",.5464625,1
2021,01,065,industry,Information Services,1.201162,3
2021,01,065,industry,Professional Services,.9318901,1
2021,01,065,industry,Education and Health,.5561422,1
2021,01,065,industry,Leisure and Other,.3713481,1
2021,01,067,all,All,.8769003,1
2021,01,067,industry,Goods Producing,1.015944,1
2021,01,067,industry,Public Administration,.7770981,1
2021,01,067,industry,"Trade, Transit, Utilities",.8064517,1
2021,01,067,industry,Information Services,NA,NA
2021,01,067,industry,Professional Services,1.212458,1
2021,01,067,industry,Education and Health,.5997405,1
2021,01,067,industry,Leisure and Other,NA,NA
2021,01,069,all,All,.8543725,1
2021,01,069,industry,Goods Producing,.8891329,1
2021,01,069,industry,Public Administration,.9912794,1
2021,01,069,industry,"Trade, Transit, Utilities",.8772412,1
2021,01,069,industry,Information Services,.8516283,1
2021,01,069,industry,Professional Services,.9591109,1
2021,01,069,industry,Education and Health,1.068423,1
2021,01,069,industry,Leisure and Other,.5003659,1
2021,01,071,all,All,.7595168,1
2021,01,071,industry,Goods Producing,.8848828,1
2021,01,071,industry,Public Administration,.9538189,1
2021,01,071,industry,"Trade, Transit, Utilities",.5883967,1
2021,01,071,industry,Information Services,2.124817,3
2021,01,071,industry,Professional Services,.8880856,1
2021,01,071,industry,Education and Health,.7567716,1
2021,01,071,industry,Leisure and Other,.437866,1
2021,01,073,all,All,1.063681,1
2021,01,073,industry,Goods Producing,1.239503,1
2021,01,073,industry,Public Administration,1.108001,1
2021,01,073,industry,"Trade, Transit, Utilities",.9438419,1
2021,01,073,industry,Information Services,1.247376,1
2021,01,073,industry,Professional Services,1.456438,1
2021,01,073,industry,Education and Health,1.088174,1
2021,01,073,industry,Leisure and Other,.6341848,1
2021,01,075,all,All,.7767891,1
2021,01,075,industry,Goods Producing,.9417872,1
2021,01,075,industry,Public Administration,.7119021,1
2021,01,075,industry,"Trade, Transit, Utilities",.7350761,1
2021,01,075,industry,Information Services,.650723,3
2021,01,075,industry,Professional Services,.8741195,1
2021,01,075,industry,Education and Health,.5459771,1
2021,01,075,industry,Leisure and Other,.3281424,1
2021,01,077,all,All,.7203079,1
2021,01,077,industry,Goods Producing,.8651026,1
2021,01,077,industry,Public Administration,.9946236,1
2021,01,077,industry,"Trade, Transit, Utilities",.6213343,1
2021,01,077,industry,Information Services,.7065616,3
2021,01,077,industry,Professional Services,.889846,1
2021,01,077,industry,Education and Health,.8348606,1
2021,01,077,industry,Leisure and Other,.4256781,1
2021,01,079,all,All,.7311493,1
2021,01,079,industry,Goods Producing,.8821376,1
