year,state,county,ratio_living_wage,ratio_living_wage_quality
2022,01,001,.5957447,1
2022,01,003,.5961488,1
2022,01,005,.6019062,1
2022,01,007,.6175457,1
2022,01,009,.5362715,1
2022,01,011,.6057453,1
2022,01,013,.5741053,1
2022,01,015,.6403231,1
2022,01,017,.5912162,1
2022,01,019,.6020042,1
2022,01,021,.5914127,1
2022,01,023,.7659788,1
2022,01,025,.64986,1
2022,01,027,.5876728,1
2022,01,029,.7428655,1
2022,01,031,.6012199,1
2022,01,033,.7136132,1
2022,01,035,.5861344,1
2022,01,037,.6800349,1
2022,01,039,.5853761,1
2022,01,041,.6332744,1
2022,01,043,.6378319,1
2022,01,045,.847308,1
2022,01,047,.596543,1
2022,01,049,.6700569,1
2022,01,051,.5405585,1
2022,01,053,.6568627,1
2022,01,055,.6185794,1
2022,01,057,.542419,1
2022,01,059,.6041609,1
2022,01,061,.5428488,1
2022,01,063,.5653483,1
2022,01,065,.6032355,1
2022,01,067,.7163871,1
2022,01,069,.7049797,1
2022,01,071,.6393805,1
2022,01,073,.8294332,1
2022,01,075,.6434509,1
2022,01,077,.5575733,1
2022,01,079,.5737927,1
2022,01,081,.6221749,1
2022,01,083,.7043467,1
2022,01,085,.8098404,1
2022,01,087,.6892523,1
2022,01,089,.9124039,1
2022,01,091,.6764116,1
2022,01,093,.6119232,1
2022,01,095,.643027,1
2022,01,097,.7393703,1
2022,01,099,.6792717,1
2022,01,101,.7180851,1
2022,01,103,.7413185,1
2022,01,105,.5123245,1
2022,01,107,.6434509,1
2022,01,109,.6639942,1
2022,01,111,.564872,1
2022,01,113,.5833555,1
2022,01,115,.598024,1
2022,01,117,.7949818,1
2022,01,119,.5975542,1
2022,01,121,.7441691,1
2022,01,123,.5656985,1
2022,01,125,.7225116,1
2022,01,127,.5967786,1
2022,01,129,.9497207,1
2022,01,131,.7135813,1
2022,01,133,.6303389,1
2022,02,013,.8578181,1
2022,02,016,.8617021,1
2022,02,020,.7971367,1
2022,02,050,.6069152,1
2022,02,060,.8694587,1
2022,02,068,.6841197,1
2022,02,070,.733556,1
2022,02,090,.6823421,1
2022,02,100,.5371849,1
2022,02,105,.5758502,1
2022,02,110,.7617483,1
2022,02,122,.6720693,1
2022,02,130,.7560207,1
2022,02,150,.6359496,1
2022,02,158,.5585914,1
2022,02,164,.656929,1
2022,02,170,.645844,1
2022,02,180,.7859593,1
2022,02,185,1.337334,1
2022,02,188,.9772614,1
2022,02,195,.6232331,1
2022,02,198,.6538145,1
2022,02,220,.6915161,1
2022,02,230,.5991124,1
2022,02,240,.9863988,1
2022,02,275,.6911357,1
2022,02,282,.7333333,1
2022,02,290,.6892629,1
2022,04,001,.6652047,1
2022,04,003,.7229657,1
2022,04,005,.5772924,1
2022,04,007,.6491749,1
2022,04,009,.6589674,1
2022,04,011,1.093837,1
2022,04,012,.6136613,1
2022,04,013,.8293178,1
2022,04,015,.6315935,1
2022,04,017,.5850925,1
2022,04,019,.7080216,1
2022,04,021,.6266764,1
2022,04,023,.7452726,1
2022,04,025,.5857503,1
2022,04,027,.6543671,1
2022,05,001,.6342568,1
2022,05,003,.659157,1
2022,05,005,.5482042,1
2022,05,007,.8309643,1
2022,05,009,.6091442,1
2022,05,011,.5987762,1
2022,05,013,.8383405,1
2022,05,015,.5403818,1
2022,05,017,.5644217,1
2022,05,019,.5851529,1
2022,05,021,.5627033,1
2022,05,023,.5342001,1
2022,05,025,.5651863,1
2022,05,027,.6213633,1
2022,05,029,.6147657,1
2022,05,031,.6318829,1
2022,05,033,.6097226,1
2022,05,035,.5610135,1
2022,05,037,.5028272,1
2022,05,039,.5690407,1
2022,05,041,.6222866,1
2022,05,043,.5958248,1
2022,05,045,.585763,1
2022,05,047,.573675,1
2022,05,049,.518675,1
2022,05,051,.5392412,1
2022,05,053,.6389977,1
2022,05,055,.5986712,1
2022,05,057,.6150114,1
2022,05,059,.613194,1
2022,05,061,.5854242,1
2022,05,063,.6489971,1
2022,05,065,.5300028,1
2022,05,067,.6133803,1
2022,05,069,.6681515,1
2022,05,071,.5375593,1
2022,05,073,.5366256,1
2022,05,075,.5700231,1
2022,05,077,.5184272,1
2022,05,079,.5944859,1
2022,05,081,.801538,1
2022,05,083,.5417277,1
2022,05,085,.5092112,1
2022,05,087,.525974,1
2022,05,089,.5562096,1
2022,05,091,.6306245,1
2022,05,093,.8975291,1
2022,05,095,.5523866,1
2022,05,097,.465472,1
2022,05,099,.6351122,1
2022,05,101,.4931527,1
2022,05,103,.6969123,1
2022,05,105,.5783116,1
2022,05,107,.5112899,1
2022,05,109,.5553091,1
2022,05,111,.6282831,1
2022,05,113,.5472383,1
2022,05,115,.6232988,1
2022,05,117,.5740093,1
2022,05,119,.7440476,1
2022,05,121,.528008,1
2022,05,123,.6213578,1
2022,05,125,.5518634,1
2022,05,127,.5243363,1
2022,05,129,.5032856,1
2022,05,131,.6695348,1
2022,05,133,.5682806,1
2022,05,135,.500283,1
2022,05,137,.5026416,1
2022,05,139,.8384503,1
2022,05,141,.5634828,1
2022,05,143,.6343284,1
2022,05,145,.6055413,1
2022,05,147,.613345,1
2022,05,149,.5534897,1
2022,06,001,.7169766,1
2022,06,003,.5881692,1
2022,06,005,.5809545,1
2022,06,007,.5420781,1
2022,06,009,.5272378,1
2022,06,011,.5893558,1
2022,06,013,.6506906,1
2022,06,015,.5354258,1
2022,06,017,.5874726,1
2022,06,019,.5747063,1
2022,06,021,.5631996,1
2022,06,023,.5309638,1
2022,06,025,.5499318,1
2022,06,027,.5779929,1
2022,06,029,.6005682,1
2022,06,031,.5604802,1
2022,06,033,.5197354,1
2022,06,035,.614917,1
2022,06,037,.6819414,1
2022,06,039,.556725,1
2022,06,041,.5800081,1
2022,06,043,.5311934,1
2022,06,045,.516404,1
2022,06,047,.5502473,1
2022,06,049,.5529595,1
2022,06,051,.4706685,1
2022,06,053,.5289119,1
2022,06,055,.5803971,1
2022,06,057,.581064,1
2022,06,059,.6149464,1
2022,06,061,.6531797,1
2022,06,063,.6029446,1
2022,06,065,.554113,1
2022,06,067,.719697,1
2022,06,069,.5404871,1
2022,06,071,.5801976,1
2022,06,073,.6629909,1
2022,06,075,1.015887,1
2022,06,077,.588142,1
2022,06,079,.5373468,1
2022,06,081,1.037017,1
2022,06,083,.529896,1
2022,06,085,1.188319,1
2022,06,087,.4800881,1
2022,06,089,.5777219,1
2022,06,091,.4919302,1
2022,06,093,.5479215,1
2022,06,095,.6301694,1
2022,06,097,.5987943,1
2022,06,099,.6052575,1
2022,06,101,.5432872,1
2022,06,103,.5938653,1
2022,06,105,.5985667,1
2022,06,107,.5414746,1
2022,06,109,.5711445,1
2022,06,111,.5865509,1
2022,06,113,.6753973,1
2022,06,115,.6532384,1
2022,08,001,.6707941,1
2022,08,003,.571211,1
2022,08,005,.7997763,1
2022,08,007,.4993976,1
2022,08,009,.4953855,1
2022,08,011,.5773956,1
2022,08,013,.7993582,1
2022,08,014,.9955922,1
2022,08,015,.532524,1
2022,08,017,.6545236,1
2022,08,019,.5663413,1
2022,08,021,.514199,1
2022,08,023,.5032195,1
2022,08,025,.669014,1
2022,08,027,.4766463,1
2022,08,029,.5019517,1
2022,08,031,.8915349,1
2022,08,033,.492995,1
2022,08,035,.7631058,1
2022,08,037,.5414251,1
2022,08,039,.5631781,1
2022,08,041,.6760435,1
2022,08,043,.63403,1
2022,08,045,.6085075,1
2022,08,047,.5964751,1
2022,08,049,.5138859,1
2022,08,051,.5833539,1
2022,08,053,.515159,1
2022,08,055,.5387586,1
2022,08,057,.501218,1
2022,08,059,.6997607,1
2022,08,061,.5029271,1
2022,08,063,.5607538,1
2022,08,065,.6742843,1
2022,08,067,.6146519,1
2022,08,069,.6561903,1
2022,08,071,.5574237,1
2022,08,073,.5630742,1
2022,08,075,.5935665,1
2022,08,077,.6071175,1
2022,08,079,.4343585,1
2022,08,081,.6305072,1
2022,08,083,.4963191,1
2022,08,085,.5694581,1
2022,08,087,.6410416,1
2022,08,089,.5194387,1
2022,08,091,.479452,1
2022,08,093,.509775,1
2022,08,095,.4866221,1
2022,08,097,.6878901,1
2022,08,099,.5405585,1
2022,08,101,.634272,1
2022,08,103,.5958933,1
2022,08,105,.5998107,1
2022,08,107,.5289106,1
2022,08,109,.5287009,1
2022,08,111,.4072203,1
2022,08,113,.5580913,1
2022,08,115,.4919313,1
2022,08,117,.496383,1
2022,08,119,.5289444,1
2022,08,121,.5383338,1
2022,08,123,.6719524,1
2022,08,125,.5822454,1
2022,09,110,NA,NA
2022,09,120,NA,NA
