state,county,subgroup_type,subgroup,average_to_living_wage_ratio,wage_ratio_quality
01,001,Year,2014,.62836951,1
01,001,Year,2018,.66536129,1
01,003,Year,2014,.59961891,1
01,003,Year,2018,.6283375,1
01,005,Year,2014,.64864147,1
01,005,Year,2018,.68728691,1
01,007,Year,2014,.67728585,1
01,007,Year,2018,.68664306,1
01,009,Year,2014,.59604931,1
01,009,Year,2018,.61005253,1
01,011,Year,2014,.62462407,1
01,011,Year,2018,.63608891,1
01,013,Year,2014,.60960907,1
01,013,Year,2018,.63231385,1
01,015,Year,2014,.70435482,1
01,015,Year,2018,.71163917,1
01,017,Year,2014,.62983078,1
01,017,Year,2018,.68023336,1
01,019,Year,2014,.61661607,1
01,019,Year,2018,.62570763,1
01,021,Year,2014,.63663608,1
01,021,Year,2018,.68610775,1
01,023,Year,2014,.9091627,1
01,023,Year,2018,.90863442,1
01,025,Year,2014,.73373306,1
01,025,Year,2018,.7304641,1
01,027,Year,2014,.58758706,1
01,027,Year,2018,.62193263,1
01,029,Year,2014,.76476407,1
01,029,Year,2018,.80124551,1
01,031,Year,2014,.60575199,1
01,031,Year,2018,.62048662,1
01,033,Year,2014,.78378308,1
01,033,Year,2018,.79680556,1
01,035,Year,2014,.64364308,1
01,035,Year,2018,.65024519,1
01,037,Year,2014,.6736877,1
01,037,Year,2018,.66407216,1
01,039,Year,2014,.63863808,1
01,039,Year,2018,.65968269,1
01,041,Year,2014,.66466403,1
01,041,Year,2018,.66723269,1
01,043,Year,2014,.68584216,1
01,043,Year,2018,.69527847,1
01,045,Year,2014,.96160454,1
01,045,Year,2018,.97547799,1
01,047,Year,2014,.66866803,1
01,047,Year,2018,.68422025,1
01,049,Year,2014,.63481247,1
01,049,Year,2018,.67555189,1
01,051,Year,2014,.60449529,1
01,051,Year,2018,.61043972,1
01,053,Year,2014,.70370305,1
01,053,Year,2018,.71819532,1
01,055,Year,2014,.65408105,1
01,055,Year,2018,.65878338,1
01,057,Year,2014,.61161107,1
01,057,Year,2018,.60400134,1
01,059,Year,2014,.62662607,1
01,059,Year,2018,.66440147,1
01,061,Year,2014,.56601775,1
01,061,Year,2018,.59231997,1
01,063,Year,2014,.57557505,1
01,063,Year,2018,.62665135,1
01,065,Year,2014,.61862123,1
01,065,Year,2018,.63968456,1
01,067,Year,2014,.70470405,1
01,067,Year,2018,.76160789,1
01,069,Year,2014,.72505587,1
01,069,Year,2018,.76554561,1
01,071,Year,2014,.64725536,1
01,071,Year,2018,.64843649,1
01,073,Year,2014,.92382926,1
01,073,Year,2018,.96361583,1
01,075,Year,2014,.69769704,1
01,075,Year,2018,.7266891,1
01,077,Year,2014,.61455715,1
01,077,Year,2018,.62886059,1
01,079,Year,2014,.86959499,1
01,079,Year,2018,.62700826,1
01,081,Year,2014,.64524674,1
01,081,Year,2018,.68416202,1
01,083,Year,2014,.80530739,1
01,083,Year,2018,.86500406,1
01,085,Year,2014,.79548907,1
01,085,Year,2018,.78420794,1
01,087,Year,2014,.76676607,1
01,087,Year,2018,.77387667,1
01,089,Year,2014,1.0162213,1
01,089,Year,2018,1.033124,1
01,091,Year,2014,.71971905,1
01,091,Year,2018,.73140782,1
01,093,Year,2014,.61661607,1
01,093,Year,2018,.65213269,1
01,095,Year,2014,.63727611,1
01,095,Year,2018,.65912634,1
01,097,Year,2014,.79509026,1
01,097,Year,2018,.81857973,1
01,099,Year,2014,.75375307,1
01,099,Year,2018,.78048295,1
01,101,Year,2014,.78689438,1
01,101,Year,2018,.79591256,1
01,103,Year,2014,.78560001,1
01,103,Year,2018,.81054562,1
01,105,Year,2014,.56256205,1
01,105,Year,2018,.5690825,1
01,107,Year,2014,.67867804,1
01,107,Year,2018,.70215154,1
01,109,Year,2014,.72572505,1
01,109,Year,2018,.7229141,1
01,111,Year,2014,.59359306,1
01,111,Year,2018,.60966384,1
01,113,Year,2014,.62876141,1
01,113,Year,2018,.64815408,1
01,115,Year,2014,.62627685,1
01,115,Year,2018,.64923841,1
01,117,Year,2014,.87093103,1
01,117,Year,2018,.92621112,1
01,119,Year,2014,.67200249,1
01,119,Year,2018,.69141799,1
01,121,Year,2014,.83882737,1
01,121,Year,2018,.82540154,1
01,123,Year,2014,.61361307,1
01,123,Year,2018,.62382013,1
01,125,Year,2014,.78016597,1
01,125,Year,2018,.78751081,1
01,127,Year,2014,.66078591,1
01,127,Year,2018,.69408756,1
01,129,Year,2014,1.0804785,1
01,129,Year,2018,1.140249,1
01,131,Year,2014,.77077007,1
01,131,Year,2018,.80502051,1
01,133,Year,2014,.60460407,1
01,133,Year,2018,.67195147,1
02,013,Year,2014,.5794062,1
02,013,Year,2018,.87007284,1
02,016,Year,2014,.7078197,1
02,016,Year,2018,.84700722,1
02,020,Year,2014,.86409688,1
02,020,Year,2018,.85503179,1
02,050,Year,2014,.58103514,1
02,050,Year,2018,.61020428,1
02,060,Year,2014,.68107116,1
02,060,Year,2018,.83297902,1
02,068,Year,2014,.70884603,1
02,068,Year,2018,.68080509,1
02,070,Year,2014,.64524615,1
02,070,Year,2018,.67839122,1
02,090,Year,2014,.77740383,1
02,090,Year,2018,.77068526,1
02,100,Year,2014,.57666767,1
02,100,Year,2018,.64805621,1
02,105,Year,2014,.56383836,1
02,105,Year,2018,.58750522,1
02,110,Year,2014,.75462735,1
02,110,Year,2018,.74922717,1
02,122,Year,2014,.7625035,1
02,122,Year,2018,.74727279,1
02,130,Year,2014,.68558633,1
02,130,Year,2018,.69189662,1
02,150,Year,2014,.69958657,1
02,150,Year,2018,.68747884,1
02,158,Year,2014,.43743479,1
02,158,Year,2018,.46345523,1
02,164,Year,2014,.64257544,1
02,164,Year,2018,.66142929,1
02,170,Year,2014,.66286069,1
02,170,Year,2018,.66326237,1
02,180,Year,2014,.67817366,1
02,180,Year,2018,.71796036,1
02,185,Year,2014,1.5724751,1
02,185,Year,2018,1.4719164,1
02,188,Year,2014,.99144596,1
02,188,Year,2018,1.0554792,1
02,195,Year,2014,.65452302,1
02,195,Year,2018,.67578536,1
02,198,Year,2014,.62150687,1
02,198,Year,2018,.64112127,1
02,220,Year,2014,.69862014,1
02,220,Year,2018,.69410253,1
02,230,Year,2014,.61007386,1
02,230,Year,2018,.572164,1
02,240,Year,2014,1.0270498,1
02,240,Year,2018,1.0154902,1
02,261,Year,2014,.81632131,1
02,261,Year,2018,.8393907,1
02,275,Year,2014,.64171714,1
02,275,Year,2018,.64892936,1
02,282,Year,2014,.61496329,1
02,282,Year,2018,.63769418,1
02,290,Year,2014,.69724894,1
02,290,Year,2018,.6318602,1
04,001,Year,2014,.70482892,1
04,001,Year,2018,.72090787,1
04,003,Year,2014,.72441876,1
04,003,Year,2018,.75171173,1
04,005,Year,2014,.6277023,1
04,005,Year,2018,.64779544,1
04,007,Year,2014,.66694224,1
04,007,Year,2018,.67562479,1
04,009,Year,2014,.66865009,1
04,009,Year,2018,.69294333,1
04,011,Year,2014,1.1996607,1
04,011,Year,2018,1.1623244,1
04,012,Year,2014,.56603652,1
04,012,Year,2018,.61850774,1
04,013,Year,2014,.81033564,1
04,013,Year,2018,.83958691,1
04,015,Year,2014,.6144765,1
04,015,Year,2018,.63161135,1
04,017,Year,2014,.62808913,1
04,017,Year,2018,.64421761,1
04,019,Year,2014,.73306543,1
04,019,Year,2018,.75700349,1
04,021,Year,2014,.63547373,1
04,021,Year,2018,.66587931,1
04,023,Year,2014,.75357395,1
04,023,Year,2018,.82515293,1
04,025,Year,2014,.60478812,1
04,025,Year,2018,.63282293,1
04,027,Year,2014,.60073692,1
04,027,Year,2018,.64485466,1
05,001,Year,2014,.75670189,1
05,001,Year,2018,.76612729,1
05,003,Year,2014,.77533478,1
05,003,Year,2018,.81882906,1
05,005,Year,2014,.64360946,1
05,005,Year,2018,.65192688,1
05,007,Year,2014,1.0369496,1
05,007,Year,2018,1.0831062,1
05,009,Year,2014,.71295184,1
05,009,Year,2018,.73168826,1
05,011,Year,2014,.60062069,1
05,011,Year,2018,.65286535,1
05,013,Year,2014,.96711719,1
05,013,Year,2018,1.0272379,1
05,015,Year,2014,.54613376,1
05,015,Year,2018,.568434,1
05,017,Year,2014,.58383018,1
05,017,Year,2018,.6119259,1
05,019,Year,2014,.63534456,1
05,019,Year,2018,.65364146,1
05,021,Year,2014,.58797085,1
05,021,Year,2018,.56605583,1
05,023,Year,2014,.61026847,1
05,023,Year,2018,.61295354,1
05,025,Year,2014,.56926847,1
05,025,Year,2018,.58759832,1
05,027,Year,2014,.75256127,1
05,027,Year,2018,.75636768,1
05,029,Year,2014,.69961667,1
05,029,Year,2018,.73041558,1
05,031,Year,2014,.69659847,1
05,031,Year,2018,.72138995,1
05,033,Year,2014,.66546869,1
05,033,Year,2018,.6678881,1
05,035,Year,2014,.62300706,1
05,035,Year,2018,.66126066,1
05,037,Year,2014,.62520379,1
05,037,Year,2018,.62598789,1
05,039,Year,2014,.57865441,1
05,039,Year,2018,.60997397,1
05,041,Year,2014,.64697498,1
05,041,Year,2018,.67145932,1
05,043,Year,2014,.62627178,1
05,043,Year,2018,.66365165,1
05,045,Year,2014,.740511,1
05,045,Year,2018,.73269528,1
05,047,Year,2014,.68708271,1
05,047,Year,2018,.68876255,1
05,049,Year,2014,.51965028,1
05,049,Year,2018,.56995964,1
05,051,Year,2014,.63705224,1
05,051,Year,2018,.66304535,1
05,053,Year,2014,.67927206,1
05,053,Year,2018,.73783779,1
05,055,Year,2014,.67824906,1
05,055,Year,2018,.70022255,1
05,057,Year,2014,.6653527,1
05,057,Year,2018,.68290901,1
05,059,Year,2014,.66460437,1
05,059,Year,2018,.67427081,1
05,061,Year,2014,.60142791,1
05,061,Year,2018,.62363738,1
05,063,Year,2014,.67492425,1
05,063,Year,2018,.72513705,1
05,065,Year,2014,.59211147,1
05,065,Year,2018,.61290181,1
05,067,Year,2014,.6945923,1
05,067,Year,2018,.69878614,1
05,069,Year,2014,.75664842,1
05,069,Year,2018,.75562072,1
05,071,Year,2014,.60645372,1
05,071,Year,2018,.61351234,1
05,073,Year,2014,.64801013,1
05,073,Year,2018,.57483947,1
05,075,Year,2014,.59004116,1
05,075,Year,2018,.62949312,1
05,077,Year,2014,.64697498,1
05,077,Year,2018,.64315653,1
05,079,Year,2014,.63546246,1
05,079,Year,2018,.64712626,1
05,081,Year,2014,.94510102,1
05,081,Year,2018,.94960743,1
05,083,Year,2014,.60142791,1
05,083,Year,2018,.62266141,1
05,085,Year,2014,.60290265,1
05,085,Year,2018,.62069094,1
05,087,Year,2014,.57641906,1
05,087,Year,2018,.63371211,1
05,089,Year,2014,.55898637,1
05,089,Year,2018,.58167118,1
05,091,Year,2014,.70162189,1
05,091,Year,2018,.71795326,1
05,093,Year,2014,.82673097,1
05,093,Year,2018,.95158613,1
05,095,Year,2014,.56416214,1
05,095,Year,2018,.59338266,1
05,097,Year,2014,.50929868,1
05,097,Year,2018,.52116174,1
05,099,Year,2014,.66962188,1
05,099,Year,2018,.69798148,1
05,101,Year,2014,.47720873,1
05,101,Year,2018,.50164258,1
05,103,Year,2014,.62316626,1
05,103,Year,2018,.66365165,1
05,105,Year,2014,.54251343,1
05,105,Year,2018,.5870896,1
05,107,Year,2014,.61074436,1
05,107,Year,2018,.61290181,1
05,109,Year,2014,.55070508,1
05,109,Year,2018,.60119033,1
05,111,Year,2014,.66871333,1
05,111,Year,2018,.68805063,1
