year,state,county,adults,children,wage
2021,01,001,1 Adult,0 Children,16.04
2021,01,001,1 Adult,1 Child,30.58
2021,01,001,1 Adult,2 Children,37.6
2021,01,001,1 Adult,3 Children,48.71
2021,01,001,2 Adults (1 Working),0 Children,25.52
2021,01,001,2 Adults (1 Working),1 Child,30.31
2021,01,001,2 Adults (1 Working),2 Children,35.73
2021,01,001,2 Adults (1 Working),3 Children,38.52
2021,01,001,2 Adults (Both Working),0 Children,12.76
2021,01,001,2 Adults (Both Working),1 Child,17.01
2021,01,001,2 Adults (Both Working),2 Children,21.58
2021,01,001,2 Adults (Both Working),3 Children,24.83
2021,01,003,1 Adult,0 Children,16.64
2021,01,003,1 Adult,1 Child,30.79
2021,01,003,1 Adult,2 Children,37.91
2021,01,003,1 Adult,3 Children,49.8
2021,01,003,2 Adults (1 Working),0 Children,25.19
2021,01,003,2 Adults (1 Working),1 Child,30.41
2021,01,003,2 Adults (1 Working),2 Children,35.83
2021,01,003,2 Adults (1 Working),3 Children,39.3
2021,01,003,2 Adults (Both Working),0 Children,12.6
2021,01,003,2 Adults (Both Working),1 Child,17.12
2021,01,003,2 Adults (Both Working),2 Children,21.74
2021,01,003,2 Adults (Both Working),3 Children,25.38
2021,01,005,1 Adult,0 Children,14.87
2021,01,005,1 Adult,1 Child,27.83
2021,01,005,1 Adult,2 Children,34.1
2021,01,005,1 Adult,3 Children,43.82
2021,01,005,2 Adults (1 Working),0 Children,23.41
2021,01,005,2 Adults (1 Working),1 Child,28.3
2021,01,005,2 Adults (1 Working),2 Children,33.72
2021,01,005,2 Adults (1 Working),3 Children,35.89
2021,01,005,2 Adults (Both Working),0 Children,11.71
2021,01,005,2 Adults (Both Working),1 Child,15.63
2021,01,005,2 Adults (Both Working),2 Children,19.83
2021,01,005,2 Adults (Both Working),3 Children,22.39
2021,01,007,1 Adult,0 Children,17.4
2021,01,007,1 Adult,1 Child,31.01
2021,01,007,1 Adult,2 Children,37.73
2021,01,007,1 Adult,3 Children,49.01
2021,01,007,2 Adults (1 Working),0 Children,26.33
2021,01,007,2 Adults (1 Working),1 Child,31.03
2021,01,007,2 Adults (1 Working),2 Children,36.45
2021,01,007,2 Adults (1 Working),3 Children,39.72
2021,01,007,2 Adults (Both Working),0 Children,13.17
2021,01,007,2 Adults (Both Working),1 Child,17.22
2021,01,007,2 Adults (Both Working),2 Children,21.64
2021,01,007,2 Adults (Both Working),3 Children,24.99
