pillar,name,subgroup,year,weighted_median,low_pctle,high_pctle,weighted_median_northeast,weighted_median_midwest,weighted_median_south,weighted_median_west,weighted_median_rural,weighted_median_urban,share_lq3
Rewarding Work,share_debt_coll,All,2022,0.26,0.13,0.41,0.21,0.26,0.37,0.13,0.29,0.26,0.01
Rewarding Work,share_debt_coll,Neighborhoods of color,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
Rewarding Work,share_debt_coll,White neighborhoods,2022,0.19,0.1,0.36,0.14,0.18,0.28,NA,0.27,0.19,0.05
Healthy Enviornment and Access to Good Healthcare,index_air_hazard,All,2019,44,11,84,47,63,30,64,72,41,0
Healthy Enviornment and Access to Good Healthcare,index_air_hazard,Mixed neighborhoods,2019,NA,NA,NA,NA,NA,29,NA,NA,36,0.19
Healthy Enviornment and Access to Good Healthcare,index_air_hazard,Neighborhoods of color,2019,NA,NA,NA,NA,NA,NA,48,NA,NA,0.26
Healthy Enviornment and Access to Good Healthcare,index_air_hazard,White neighborhoods,2019,47,12,86,72,73,37,62,72,44,0.01
Opportunity-Rich and Inclusive Neighborhoods,index_transit_trips,All,2019,87.84,2.93,99.43,95.86,81,94.84,85.93,56.87,90.93,0
Opportunity-Rich and Inclusive Neighborhoods,index_transit_trips,Mixed neighborhoods,2019,NA,NA,NA,NA,NA,64.16,NA,NA,NA,0.26
Opportunity-Rich and Inclusive Neighborhoods,index_transit_trips,Neighborhoods of color,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39
Opportunity-Rich and Inclusive Neighborhoods,index_transit_trips,White neighborhoods,2019,87.86,2.91,99.51,73.95,92.11,87.73,93.59,56.09,90.67,0
Opportunity-Rich and Inclusive Neighborhoods,index_transportation_cost,All,2019,26.88,17.15,38.72,22.57,28.13,27.56,29.04,35.54,25.48,0
Opportunity-Rich and Inclusive Neighborhoods,index_transportation_cost,Mixed neighborhoods,2019,NA,NA,NA,NA,NA,24.12,NA,NA,NA,0.26
Opportunity-Rich and Inclusive Neighborhoods,index_transportation_cost,Neighborhoods of color,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39
Opportunity-Rich and Inclusive Neighborhoods,index_transportation_cost,White neighborhoods,2019,27.02,17.34,38.94,27.62,28.26,23.02,31.74,35.57,26.14,0
