"year","state","place","subgroup_type","subgroup","share_digital_access","share_digital_access_quality"
2018,"01","03076","income","$50,000 or More",0.774513479431512,2
2018,"01","03076","income","Less than $50,000",0.553709376664891,2
2018,"01","07000","income","$50,000 or More",0.715013931561165,3
2018,"01","07000","income","Less than $50,000",0.372371330541973,3
2018,"01","35896","income","$50,000 or More",0.82324195219031,3
2018,"01","35896","income","Less than $50,000",0.585867866916072,3
2018,"01","37000","income","$50,000 or More",0.833472983448345,3
2018,"01","37000","income","Less than $50,000",0.518749204281731,3
2018,"01","50000","income","$50,000 or More",0.723981551761506,3
2018,"01","50000","income","Less than $50,000",0.388318428502121,3
2018,"01","51000","income","$50,000 or More",0.797733830623634,3
2018,"01","51000","income","Less than $50,000",0.47805476294654,3
2018,"01","77256","income","$50,000 or More",0.699434003166724,2
2018,"01","77256","income","Less than $50,000",0.420613498874137,2
2018,"01","03076","all","All",0.662826537314941,2
2018,"01","07000","all","All",0.50053327142306,3
2018,"01","35896","all","All",0.742909112237141,3
2018,"01","37000","all","All",0.689924442498093,3
2018,"01","50000","all","All",0.526599688981584,3
2018,"01","51000","all","All",0.627024287682665,3
2018,"01","77256","all","All",0.546706706777872,2
2018,"02","03000","income","$50,000 or More",0.824407533892166,2
2018,"02","03000","income","Less than $50,000",0.578336755646817,2
2018,"02","03000","all","All",0.756909241109985,2
2018,"04","04720","income","$50,000 or More",0.738197540349606,2
2018,"04","04720","income","Less than $50,000",0.528528523796334,2
2018,"04","07940","income","$50,000 or More",0.768168318131992,2
2018,"04","07940","income","Less than $50,000",0.48385915860727,2
2018,"04","12000","income","$50,000 or More",0.861153514594861,3
2018,"04","12000","income","Less than $50,000",0.629539095757848,3
2018,"04","23620","income","$50,000 or More",0.656111131857052,3
2018,"04","23620","income","Less than $50,000",0.472508171927599,3
2018,"04","27400","income","$50,000 or More",0.896220594310507,1
2018,"04","27400","income","Less than $50,000",0.750433538967792,1
2018,"04","27820","income","$50,000 or More",0.782839497227967,1
2018,"04","27820","income","Less than $50,000",0.469603923618762,1
2018,"04","28380","income","$50,000 or More",0.807578453191211,2
2018,"04","28380","income","Less than $50,000",0.708800022380517,2
2018,"04","46000","income","$50,000 or More",0.781628910140256,2
2018,"04","46000","income","Less than $50,000",0.532398184895858,2
2018,"04","54050","income","$50,000 or More",0.844140908963619,2
2018,"04","54050","income","Less than $50,000",0.597260614262358,2
2018,"04","55000","income","$50,000 or More",0.789044031029354,2
2018,"04","55000","income","Less than $50,000",0.476182578305363,2
2018,"04","65000","income","$50,000 or More",0.849803844653436,3
2018,"04","65000","income","Less than $50,000",0.656353422441299,3
2018,"04","71510","income","$50,000 or More",0.859472162139735,1
2018,"04","71510","income","Less than $50,000",0.694215838026985,1
2018,"04","73000","income","$50,000 or More",0.83782751661527,3
2018,"04","73000","income","Less than $50,000",0.666734195901023,3
2018,"04","77000","income","$50,000 or More",0.790920248311706,2
2018,"04","77000","income","Less than $50,000",0.516636737882518,2
2018,"04","85540","income","$50,000 or More",0.699212940009916,2
2018,"04","85540","income","Less than $50,000",0.430320220944988,2
2018,"04","04720","all","All",0.65519947428521,2
2018,"04","07940","all","All",0.668909387240964,2
2018,"04","12000","all","All",0.789565194136427,3
2018,"04","23620","all","All",0.576508164819359,3
2018,"04","27400","all","All",0.864817054324801,1
2018,"04","27820","all","All",0.634949491084613,1
2018,"04","28380","all","All",0.78197602712465,2
2018,"04","46000","all","All",0.662962734465745,2
2018,"04","54050","all","All",0.754144456280519,2
2018,"04","55000","all","All",0.644420846238511,2
2018,"04","65000","all","All",0.792117192191414,3
2018,"04","71510","all","All",0.803676334540509,1
2018,"04","73000","all","All",0.75921071076526,3
2018,"04","77000","all","All",0.635259525103207,2
2018,"04","85540","all","All",0.550073830782606,2
2018,"05","23290","income","$50,000 or More",0.718159098410902,2
2018,"05","23290","income","Less than $50,000",0.458196287692343,2
