year,state,county,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2024,01,001,tenure,All,1.4077534249928914,1.3973898877054303,1.3939312265895765,2,2,2,0.6317563837551434,0.7299326540171831,0.9446574273373467,2,2,2
2023,01,001,tenure,All,1.5108484934153084,1.5180143292579134,1.404075734746794,2,2,2,0.6948306407002082,0.8129435441871283,0.9360433483435001,2,2,2
2022,01,001,tenure,All,1.470255316743263,1.4078238623882962,1.4083594952434797,2,2,2,0.7113726752789726,0.855716530771545,0.9322384722463962,2,2,2
2021,01,001,tenure,All,2.1619192470440507,2.1045859629217922,1.8034712809798406,3,3,3,0.8828995663905042,1.0575106639882579,1.1028327816061194,3,3,3
2019,01,001,tenure,All,1.909060077040721,1.7532633112042328,1.7502883049965876,3,3,3,0.5782509625639844,0.6527877471042643,0.9990514511971509,3,3,3
2018,01,001,tenure,All,1.4208078920914795,1.5156338082821699,1.649132748982773,3,3,3,0.4927079697513286,0.6737361593051534,0.9166375335138884,3,3,3
2017,01,001,tenure,All,1.4163465414649477,1.5186278214842284,1.8575288801584,3,3,3,0.6033025375964755,0.7332341477238649,1.074918630712326,3,3,3
2016,01,001,tenure,All,1.2955022990881953,1.4133423527641962,1.634840681786172,3,3,3,0.453060763203324,0.7026172772354949,1.0279029814465874,3,3,3
2015,01,001,tenure,All,1.5751682727859384,1.5718808023738202,1.8241210910519674,3,3,3,0.5950697254000024,0.7924217705783388,1.074262048234151,3,3,3
2014,01,001,tenure,All,1.4059854452746976,1.4756132635291153,1.5840490497568895,3,3,3,0.6728105726091637,0.7616492995651515,0.9196793018577296,3,3,3
2024,01,003,tenure,All,1.6241742726034996,1.5505194576509949,1.569352968206385,1,1,1,0.5116736422772427,0.634266596231731,0.8557361983326405,1,1,1
2023,01,003,tenure,All,1.887423457371644,1.6298330122029543,1.6051537822111388,1,1,1,0.6046278850682996,0.7578034682080925,0.9276421349726459,1,1,1
2022,01,003,tenure,All,1.3886417756211529,1.414898334072338,1.5950478907682901,1,1,1,0.37013074538347485,0.5946031544942041,0.8993274913389037,1,1,1
2021,01,003,tenure,All,1.9624210176255403,1.7966039128829827,1.8311004784688996,1,1,1,0.5772530761556368,0.7491079118986096,1.058054226475279,1,1,1
2019,01,003,tenure,All,2.1604281630210758,1.8586269022884963,1.812370849979336,1,1,1,0.8284023668639053,1.0118833135278107,1.2664508426321348,1,1,1
2018,01,003,tenure,All,1.7300650811994405,1.388681752740965,1.696553717216964,1,1,1,0.5614621981631288,0.6634427258296726,1.1085422536907257,1,1,1
2017,01,003,tenure,All,2.4520457726187534,2.0245651086533654,1.9890500059672993,1,1,1,0.9408084300650367,0.9450341799588728,1.2027986633249792,1,1,1
2016,01,003,tenure,All,1.413966882649388,1.4414677011444983,1.6376166925170466,1,1,1,0.49919698731793766,0.7159758240816152,0.9686283690848966,1,1,1
2015,01,003,tenure,All,1.7169108957693218,1.727315291693979,1.836526421237165,1,1,1,0.6955802410777594,0.8272310141399007,1.1142624593037815,1,1,1
2014,01,003,tenure,All,1.3580861658367611,1.4458071876782659,1.5537249283667622,1,1,1,0.5762069712058887,0.7815173987450086,1.0797687269750307,1,1,1
2024,01,005,tenure,All,2.0878274753516664,1.961006729786661,1.8709985701403729,3,3,3,1.0961216578236803,1.0519494089801578,1.262549944425561,3,3,3
2023,01,005,tenure,All,1.8678104061240655,2.0817424032225484,2.018134126649891,3,3,3,0.9358253488008661,1.1129087625873268,1.3326509046333137,3,3,3
2022,01,005,tenure,All,1.8538259071253986,2.1491189025484365,2.086408022164802,3,3,3,1.0698234172405567,1.3299908585578648,1.5782440103261537,3,3,3
2021,01,005,tenure,All,1.7722540817097936,1.7880090977130376,1.9010652876595429,3,3,3,0.9250631856671465,0.9283838332826985,1.3350084456964013,3,3,3
2019,01,005,tenure,All,1.3999077774756417,1.3999077774756417,1.9323361649642996,3,3,3,0.7922675453673256,0.7922675453673256,1.2761613170367276,3,3,3
2018,01,005,tenure,All,1.7156677650220908,1.7156677650220908,2.128095860694813,3,3,3,1.1265930825330015,1.1265930825330015,1.6529466867562752,3,3,3
2017,01,005,tenure,All,1.8517490675809503,1.8517490675809503,2.2702812021107723,3,3,3,1.2458647187854486,1.2458647187854486,1.7946372068837058,3,3,3
2016,01,005,tenure,All,1.872610834114099,1.872610834114099,2.3099872893324545,3,3,3,1.2206204842950403,1.2206204842950403,1.6391259062235197,3,3,3
2015,01,005,tenure,All,1.8558949700120055,1.8558949700120055,1.9270932690231448,3,3,3,1.254182872692789,1.254182872692789,1.45754328686812,3,3,3
2014,01,005,tenure,All,1.8497375513929344,1.8497375513929344,1.9293028993902683,3,3,3,1.2110907873920624,1.2110907873920624,1.483525787945991,3,3,3
2024,01,007,tenure,All,1.6255027012099343,1.6167380585439892,1.4917208351889129,3,3,3,0.7821360969263002,0.9334344566158763,1.1024666658179167,3,3,3
2023,01,007,tenure,All,1.8160757459203136,1.688039176448244,1.598803201006152,3,3,3,1.0490124684730455,1.1772039620012926,1.2392603099405533,3,3,3
