year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,01,03076,tenure,All,2,2,2,0.32531774337426717,0.49467998388442574,0.9423751217223917,1.02714380857897,1.1317232166723392,1.5906390231567957,2,2,2
2022,01,03076,tenure,Owner,NA,2,2,NA,0.7729625508982764,0.97473459863576,NA,2.3286043326769508,2.110217926355531,NA,2,2
2022,01,03076,tenure,Renter,2,2,2,0.28500514686829215,0.3533450808992264,0.9180538035891618,0.4537164153645612,0.5238479975002039,1.2001245586046674,2,2,2
2022,01,07000,tenure,All,2,2,2,0.4629711578050692,0.5999070641343184,0.9917810100354186,1.0164833370177286,1.1133222387792634,1.3821214805326336,2,2,2
2022,01,07000,tenure,Owner,2,2,2,0.8605672391398749,0.9685291418239375,1.102553969360134,2.3927883557120846,2.229365001488829,1.932781307063871,2,2,2
2022,01,07000,tenure,Renter,2,2,2,0.27877611522429746,0.41273943136667396,0.9283787901001495,0.37888006720817624,0.5466522138229862,1.066944783583445,2,2,2
2022,01,35896,tenure,All,NA,3,3,NA,0.47626226859549564,0.8547037926286565,NA,1.6046444600608192,1.8345881707147105,NA,3,3
2022,01,35896,tenure,Owner,NA,NA,3,NA,NA,1.1461840877464615,NA,NA,2.921659997601517,NA,NA,3
2022,01,35896,tenure,Renter,NA,NA,3,NA,NA,0.5732372915756493,NA,NA,0.7848626536485683,NA,NA,3
2022,01,37000,tenure,All,2,2,2,0.4378302634251813,0.7655707310214308,1.0044327940625897,1.5627855575305818,1.8803063814444867,1.9564040575466572,2,2,2
2022,01,37000,tenure,Owner,2,2,2,0.7067946930500928,0.8797037140674767,0.9979663796421516,2.8005365073516937,2.650976628614807,2.4328703229609907,2,2,2
2022,01,37000,tenure,Renter,2,2,2,0.15852838800952454,0.6467867309862019,1.0110171359422049,0.2774625798243595,1.0782306604401832,1.4712485166837332,2,2,2
2022,01,50000,tenure,All,2,2,2,0.4055881867069946,0.47749756018102796,0.7112697292048814,1.039196686598757,1.074081548177864,1.323857605876495,2,2,2
2022,01,50000,tenure,Owner,2,2,2,0.7408081590050485,0.7847773405259061,0.9443270029922245,2.421491592533035,2.332868673149237,2.1783757518284346,2,2,2
2022,01,50000,tenure,Renter,2,2,2,0.22688210529683545,0.3070894658423377,0.5637846651017429,0.302293976717549,0.3759961912315135,0.783094979226988,2,2,2
2022,01,51000,tenure,All,1,1,1,0.31139480934368297,0.46355235149983015,0.8684578639268079,1.074886373560996,1.279591193658431,1.6036917872643357,1,1,1
2022,01,51000,tenure,Owner,1,1,1,0.6413072773669138,0.7226440499778716,0.956011794958166,2.6865109211298335,2.6138438856005504,2.307218416984335,1,1,1
2022,01,51000,tenure,Renter,1,1,1,0.11783327434498364,0.2876015841305143,0.7944626683853043,0.1293370187938328,0.37349197708438914,1.0091143659930804,1,1,1
2022,01,77256,tenure,All,2,2,2,0.3602666354546808,0.4220418584071514,0.7821190053251732,0.8393062247007106,0.9613679386884704,1.3535487704384794,2,2,2
2022,01,77256,tenure,Owner,NA,NA,2,NA,NA,0.9350129980229296,NA,NA,2.183821247369531,NA,NA,2
2022,01,77256,tenure,Renter,2,2,2,0.22952119534561544,0.32001920735685385,0.7201096205272964,0.3066002904262996,0.43115319680367054,1.0168142486912468,2,2,2
2022,02,03000,tenure,All,1,1,1,0.11740288220551379,0.4623503542633765,0.8572268370607029,0.6360432330827067,1.42101148301979,1.8341980830670928,1,1,1
2022,02,03000,tenure,Owner,NA,1,1,NA,0.5233722871452421,0.689384288747346,NA,2.854062326099054,2.1821656050955416,NA,1,1
2022,02,03000,tenure,Renter,1,1,1,0.0501336183858899,0.42931385102056185,1.0131131377865419,0.072367717797969,0.6451758680424795,1.5110179935913237,1,1,1
2022,04,04720,tenure,All,NA,2,2,NA,0.4268182318711103,0.6365199851108353,NA,1.4140773409719067,1.526832048949328,NA,2,2
2022,04,04720,tenure,Owner,NA,2,2,NA,0.7294315109220756,0.8550395666815542,NA,2.2407913643644917,2.248518850333113,NA,2,2
2022,04,04720,tenure,Renter,NA,NA,2,NA,NA,0.39901156354479494,NA,NA,0.742432354287477,NA,NA,2
2022,04,07940,tenure,All,NA,2,2,NA,0.44706185417540284,0.7518794126933888,NA,1.5706442452183071,1.7237463804149582,NA,2,2
2022,04,07940,tenure,Owner,NA,2,2,NA,0.4660244276423116,0.7520831009516928,NA,1.9695000962315337,1.9056204379529904,NA,2,2
2022,04,07940,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,04,12000,tenure,All,1,1,1,0.17078143078728417,0.3127042014455106,0.6382560851456879,1.7468267475815094,1.7436177093911323,1.7420919867366162,1,1,1
2022,04,12000,tenure,Owner,1,1,1,0.3220605537372264,0.5038893219448746,0.795741998526631,3.1710648335487988,3.1533524436015186,2.6016939719958745,1,1,1
2022,04,12000,tenure,Renter,1,1,1,1.2060036299510251e-4,0.10941563046269948,0.42814594568577463,0.14011691390865152,0.24463620479534903,0.595252316283297,1,1,1
2022,04,23620,tenure,All,2,2,2,0.4229031734101978,0.49084756531468093,0.7210314034328252,1.6104250392994106,1.4630556038295253,1.247472624618674,2,2,2
2022,04,23620,tenure,Owner,2,2,2,0.6090888012984003,0.6738300579669164,0.8330256883556376,2.7588685369812196,2.2420472218294925,1.5982156591293648,2,2,2
2022,04,23620,tenure,Renter,NA,2,2,NA,0.2958151405815192,0.5925664989276281,NA,0.6327651104428815,0.8451470017948536,NA,2,2
2022,04,27400,tenure,All,1,1,1,0.3514582140250341,0.46335674898983215,0.6204572441074784,2.377450089948734,1.996550217765467,1.9559167327393192,1,1,1
2022,04,27400,tenure,Owner,1,1,1,0.46919178132796613,0.6091257367980013,0.7402307695303749,3.171308927627082,2.7011459404915374,2.575909550211602,1,1,1
2022,04,27400,tenure,Renter,NA,NA,1,NA,NA,0.35529075752690137,NA,NA,0.5833152623071031,NA,NA,1
2022,04,27820,tenure,All,1,1,1,0.24614722706620826,0.3871405497932198,0.7027235422930063,1.4371042147327493,1.3663946562478826,1.5226373060050262,1,1,1
2022,04,27820,tenure,Owner,1,1,1,0.38715544039699645,0.6264057059139213,0.8313016321275922,3.0956254511444175,2.8003937711027533,2.230892278655678,1,1,1
2022,04,27820,tenure,Renter,1,1,1,0.14599759926119743,0.20383042029103637,0.5805486564623624,0.25915662849049476,0.267753434466909,0.8496535143349185,1,1,1
2022,04,28380,tenure,All,NA,2,2,NA,0.37806393757443213,0.5782332583478151,NA,1.5039227029596887,1.7854226806266318,NA,2,2
2022,04,28380,tenure,Owner,NA,NA,2,NA,NA,0.7260904431738591,NA,NA,2.532197700133869,NA,NA,2
2022,04,28380,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,04,46000,tenure,All,1,1,1,0.2893153184714053,0.4048504191415296,0.7040299725367453,1.6822094327226618,1.4148339000695087,1.6125890442542048,1,1,1
2022,04,46000,tenure,Owner,1,1,1,0.5051745229866648,0.6257514794008898,0.811956234591978,3.0792259700811444,2.339259079381188,2.22038964137591,1,1,1
2022,04,46000,tenure,Renter,1,1,1,0.042847113862595015,0.13497523320900734,0.5721956556305036,0.08709488319590503,0.2854621494109537,0.8701471676353465,1,1,1
2022,04,54050,tenure,All,2,2,2,0.30647272918865703,0.408880072646169,0.6563872962736795,2.0307080006864577,1.660800856789228,1.492124822358905,2,2,2
2022,04,54050,tenure,Owner,2,2,2,0.47397271084626114,0.5578471441683968,0.8265551251314546,3.3788532053049973,2.472787544943809,1.9360134427229023,2,2,2
2022,04,54050,tenure,Renter,NA,NA,2,NA,NA,0.27606643114230783,NA,NA,0.5000447961166646,NA,NA,2
2022,04,55000,tenure,All,1,1,1,0.22739744164900266,0.37775062353755284,0.6693965441967004,1.2552011436306365,1.2225704520434653,1.37238099414153,1,1,1
2022,04,55000,tenure,Owner,1,1,1,0.4184165659603003,0.5937847441891797,0.8282584199026257,2.9990348903872617,2.3929613666545193,2.0958707546643365,1,1,1
2022,04,55000,tenure,Renter,1,1,1,0.10840508477307906,0.21528706295142838,0.5308860305062939,0.1689073587833003,0.34240451023842655,0.7415755354091467,1,1,1
2022,04,65000,tenure,All,2,2,2,0.2798713009133839,0.41852508175370723,0.5656227822284163,1.3098121592007055,1.5753112042710504,1.4375113017855055,2,2,2
2022,04,65000,tenure,Owner,2,2,2,0.34013990104973585,0.5106471694736547,0.6885878501002223,1.7581694437567117,2.206677147761591,1.980839968509972,2,2,2
2022,04,65000,tenure,Renter,2,2,2,0.14377882136520384,0.22432596705180488,0.33366583642113556,0.2973769202758204,0.24435236135454383,0.4125953619647964,2,2,2
2022,04,71510,tenure,All,1,1,1,0.46916968500988004,0.5825013007797196,0.7977391024960466,2.8057474322431526,2.1262919075680764,2.080623977732318,1,1,1
2022,04,71510,tenure,Owner,1,1,1,0.5243986940633409,0.6737431515756261,0.7965019838236174,3.154530661729861,2.491214559828223,2.3650808026012555,1,1,1
2022,04,71510,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,04,73000,tenure,All,1,1,1,0.15317241022230427,0.31608545099878455,0.6809723123164494,0.8065161038768123,1.038005391218678,1.3269003948571712,1,1,1
2022,04,73000,tenure,Owner,NA,1,1,NA,0.5069095025888518,0.9145023616028954,NA,2.8477569318534925,2.577257330956417,NA,1,1
2022,04,73000,tenure,Renter,1,1,1,0.033229111943309846,0.24490824802796193,0.576901849237816,0.18395289609152668,0.36296966243516854,0.7696906235620885,1,1,1
2022,04,77000,tenure,All,1,1,1,0.25395096963754005,0.330721999865778,0.6360988967697105,1.112091535522044,1.0901849495226423,1.2571296540580952,1,1,1
2022,04,77000,tenure,Owner,1,1,1,0.4354377297538068,0.5347849721239528,0.7725326819562057,2.4193034030832474,2.1876886079865088,1.8397135736872803,1,1,1
2022,04,77000,tenure,Renter,1,1,1,0.12440592750698941,0.17716018013476112,0.5197096406730463,0.17900519716719623,0.2642896041292883,0.7601375862441502,1,1,1
2022,04,85540,tenure,All,1,1,1,0.8314590030626815,0.805506991151737,0.8597342046589305,2.2872404177517383,2.4087567684908096,1.8396873505182119,1,1,1
2022,04,85540,tenure,Owner,NA,NA,1,NA,NA,0.799962873425476,NA,NA,2.667581358498845,NA,NA,1
2022,04,85540,tenure,Renter,NA,NA,1,NA,NA,0.915216584791303,NA,NA,1.0711996974544327,NA,NA,1
2022,05,23290,tenure,All,1,1,1,0.3615890758043763,0.4730603220286838,0.8728710764751383,0.9150287833362946,1.0966061655944104,1.5025856544531002,1,1,1
2022,05,23290,tenure,Owner,NA,NA,1,NA,NA,0.8783189624975509,NA,NA,2.064727783765107,NA,NA,1
2022,05,23290,tenure,Renter,1,1,1,0.22750837631565288,0.36278637934666436,0.8703755841551434,0.26142445286432064,0.5004573278757259,1.245087358660482,1,1,1
2022,05,24550,tenure,All,2,2,2,0.5651358850835587,0.6628703491149527,0.9451389146878333,1.6330001565406447,1.8340271526690903,1.9999011357292786,2,2,2
2022,05,24550,tenure,Owner,2,2,2,0.7750909951675875,0.8051512032616608,0.8841648048363779,2.7506425753703305,2.9359163182964387,2.4124115580831313,2,2,2
2022,05,24550,tenure,Renter,2,2,2,0.3349183359721973,0.5009591725439604,1.0089644511011295,0.40749581733743856,0.5801116323588654,1.5680998507748651,2,2,2
2022,05,35710,tenure,All,2,2,2,0.40646551178426843,0.4288341190303417,0.8507251616954773,1.4727495863897202,1.4118125055397233,1.9028043499167269,2,2,2
2022,05,35710,tenure,Owner,NA,2,2,NA,0.6795732124639798,0.9206518321117182,NA,3.1473186749612463,2.8248393605596016,NA,2,2
2022,05,35710,tenure,Renter,2,2,2,0.27322347724561796,0.28653703857960616,0.7964201440551516,0.381397590160429,0.4268944473659055,1.1867524169430979,2,2,2
2022,05,41000,tenure,All,1,1,1,0.4070358025766675,0.6197356422561549,0.9576215215395668,1.0798770218122673,1.2380279203116895,1.771596626334696,1,1,1
2022,05,41000,tenure,Owner,1,1,1,0.6159934021922799,0.8139283364571235,1.0299350870251733,3.1200652408626888,2.4494597360237007,2.2624855621088455,1,1,1
2022,05,41000,tenure,Renter,1,1,1,0.3343318283162571,0.5095782432725044,0.9076982957613374,0.3700210891393505,0.5508332840048697,1.4327008879193972,1,1,1
2022,05,66080,tenure,All,2,2,2,0.6482554515916308,0.8743092880152636,1.065960925207995,1.6968430045468783,1.8840791809522572,1.904189852875993,2,2,2
2022,05,66080,tenure,Owner,NA,2,2,NA,1.1059336481434665,0.9899992955168764,NA,2.78706981060078,2.1618239473136396,NA,2,2
2022,05,66080,tenure,Renter,NA,NA,2,NA,NA,1.1470104536495056,NA,NA,1.629299464800654,NA,NA,2
2022,06,00562,tenure,All,2,2,2,0.32516982088171886,0.47720320607125727,0.6255964152969626,1.07796589070507,1.069069149180566,1.173723618302734,2,2,2
2022,06,00562,tenure,Owner,NA,NA,2,NA,NA,0.7269819511526261,NA,NA,1.6155516386254214,NA,NA,2
2022,06,00562,tenure,Renter,NA,2,2,NA,0.3368156593294074,0.5443252603511142,NA,0.39584377255518266,0.8195520572806326,NA,2,2
2022,06,00884,tenure,All,2,2,2,0.13164499842748903,0.3585289118754763,0.5714762870702571,0.48410624400812535,0.7229785101526237,1.0332308921280156,2,2,2
2022,06,00884,tenure,Owner,NA,NA,2,NA,NA,0.5310968137254902,NA,NA,1.2092524509803924,NA,NA,2
2022,06,00884,tenure,Renter,2,2,2,0.07926636449878782,0.30387411410437093,0.5922483282045864,0.11718190807470875,0.36787895378979135,0.9426817403401261,2,2,2
2022,06,02000,tenure,All,1,1,1,0.3009446699229983,0.37533416339959125,0.7287364766294891,0.7612704386657586,0.7793573255545054,1.120275922940985,1,1,1
2022,06,02000,tenure,Owner,1,1,1,0.5676377683416894,0.6334905661434233,0.7739416473154727,2.06381516238566,1.5743489405079583,1.3827036733250808,1,1,1
2022,06,02000,tenure,Renter,1,1,1,0.18506235589105738,0.23843648520562047,0.699868569709057,0.1952944250015873,0.35778147032074176,0.9526902296128654,1,1,1
2022,06,02252,tenure,All,1,1,1,0.39023752936704786,0.471266316602277,0.7478521090642452,0.8733685390711055,0.8866988001069561,1.2740227010843794,1,1,1
2022,06,02252,tenure,Owner,NA,1,1,NA,0.48287969550322446,0.6901127613707094,NA,1.362563560846183,1.4554414445947936,NA,1,1
2022,06,02252,tenure,Renter,NA,1,1,NA,0.46220507389654897,0.8109488837419792,NA,0.5154092616411438,1.0757707630411697,NA,1,1
2022,06,02364,tenure,All,2,2,2,0.2373505555555709,0.40961645748196607,0.8558262155533372,0.7387053796884628,0.9947797496106686,1.2696966293059944,2,2,2
2022,06,02364,tenure,Owner,NA,2,2,NA,0.42154287627113207,0.7768951222520148,NA,1.4825951820811056,1.349764316060456,NA,2,2
2022,06,02364,tenure,Renter,NA,NA,2,NA,NA,0.9880485867559489,NA,NA,1.1355702798968004,NA,NA,2
2022,06,03526,tenure,All,1,1,1,0.17290131762565894,0.30505453173748454,0.669842398233972,0.5434737998033093,0.7686540021992293,1.2559874377775564,1,1,1
2022,06,03526,tenure,Owner,1,1,1,0.2911186565196526,0.43979801073425895,0.7268463706344529,1.3075096241274364,1.4821202950320382,1.7605966564781863,1,1,1
2022,06,03526,tenure,Renter,1,1,1,0.10560215032388519,0.22236732910637055,0.62667293240394,0.10852089655917678,0.33082552719489616,0.8738437115267853,1,1,1
2022,06,04982,tenure,All,2,2,2,0.20421714818266543,0.25399434545335003,0.6338254928080322,0.6005358807082946,0.569070944835295,0.9851404555582342,2,2,2
2022,06,04982,tenure,Owner,NA,NA,2,NA,NA,0.7285272941743052,NA,NA,1.3858679344973508,NA,NA,2
2022,06,04982,tenure,Renter,2,2,2,0.15150136487716107,0.18263607737291948,0.5910406159072153,0.20624810433727633,0.2677462887989204,0.8040976917477156,2,2,2
2022,06,06000,tenure,All,1,1,1,0.11829521691266569,0.27216583617073176,0.43844115079123136,0.3176106990950695,0.6124378494521314,0.8023870298149315,1,1,1
2022,06,06000,tenure,Owner,NA,NA,1,NA,NA,0.5378208014407924,NA,NA,1.8000900495272398,NA,NA,1
2022,06,06000,tenure,Renter,1,1,1,0.11382457514592663,0.24960613917198077,0.4141512636895833,0.15280007625951236,0.31110051871793626,0.5585333479858308,1,1,1
2022,06,08786,tenure,All,3,3,3,0.3559384669134154,0.4547793877829461,0.7449755791490497,1.3412991275401551,1.0094368609402453,1.2216640922384472,3,3,3
2022,06,08786,tenure,Owner,NA,3,3,NA,0.6997651502706581,0.816439454906586,NA,1.7364133416078316,1.4679926967964803,NA,3,3
2022,06,08786,tenure,Renter,NA,3,3,NA,0.20454576094315563,0.6608557758899276,NA,0.2668877448715051,0.9317118116929769,NA,3,3
2022,06,08954,tenure,All,1,1,1,0.2227390180878553,0.2216119689825755,0.41096454957453404,0.5100775193798449,0.5097806237953897,0.6628397963175265,1,1,1
2022,06,08954,tenure,Owner,NA,NA,1,NA,NA,0.5488661769402747,NA,NA,1.1571382944746087,NA,NA,1
2022,06,08954,tenure,Renter,1,1,1,0.1405745368009519,0.1673741006507141,0.3492919320510183,0.16097229304776475,0.1673741006507141,0.4417787196527894,1,1,1
2022,06,11194,tenure,All,1,1,1,0.18861649774708164,0.37981630047980836,0.5283530402251373,0.9504518657503244,1.195099137908478,1.1559781620121676,1,1,1
2022,06,11194,tenure,Owner,NA,1,1,NA,0.429814378028995,0.5878355998878034,NA,1.794355120455861,1.5599717424319957,NA,1,1
2022,06,11194,tenure,Renter,NA,NA,1,NA,NA,0.4351371152339304,NA,NA,0.5228743496861491,NA,NA,1
2022,06,11530,tenure,All,1,1,1,0.2677296644152281,0.4298470433842478,0.6754139543812625,1.5583118702758332,1.1567247402750374,1.3254434207240298,1,1,1
2022,06,11530,tenure,Owner,NA,1,1,NA,0.4988234423848758,0.6365533492127092,NA,1.5858341261755087,1.551600716820406,NA,1,1
2022,06,11530,tenure,Renter,NA,NA,1,NA,NA,0.7307694708247622,NA,NA,1.0032905909217045,NA,NA,1
