year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2019,01,03076,all,All,34,34,34,0.0038073908,1,1
2019,01,03076,race-ethnicity,"Black, Non-Hispanic",19,19,19,0.0094012865,1,1
2019,01,03076,race-ethnicity,Hispanic,,,,,,
2019,01,03076,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,03076,race-ethnicity,"White, Non-Hispanic",13,13,13,0.0025495195,1,1
2019,01,07000,all,All,594,594,594,0.0100319197,1,1
2019,01,07000,race-ethnicity,"Black, Non-Hispanic",465,464,466,0.0120347844,1,1
2019,01,07000,race-ethnicity,Hispanic,89,89,89,0.015021097,1,1
2019,01,07000,race-ethnicity,Other Races and Ethnicities,11,10,12,0.0115424974,3,3
2019,01,07000,race-ethnicity,"White, Non-Hispanic",24,22,26,0.0017524644,3,3
2019,01,35896,all,All,40,40,40,0.0028447479,1,1
2019,01,35896,race-ethnicity,"Black, Non-Hispanic",19,19,19,0.0056631893,1,1
2019,01,35896,race-ethnicity,Hispanic,3,3,3,0.0024711697,1,1
2019,01,35896,race-ethnicity,Other Races and Ethnicities,6,6,6,0.0034682081,1,1
2019,01,35896,race-ethnicity,"White, Non-Hispanic",12,12,12,0.0015459933,1,1
2019,01,37000,all,All,402,402,402,0.0092712177,1,1
2019,01,37000,race-ethnicity,"Black, Non-Hispanic",200,200,200,0.0151240169,1,1
2019,01,37000,race-ethnicity,Hispanic,51,51,51,0.0113737734,1,1
2019,01,37000,race-ethnicity,Other Races and Ethnicities,29,29,29,0.0067254174,1,1
2019,01,37000,race-ethnicity,"White, Non-Hispanic",118,118,118,0.005529522,1,1
2019,01,50000,all,All,4005,4004,4006,0.0738126394,1,1
2019,01,50000,race-ethnicity,"Black, Non-Hispanic",2387,2386,2388,0.0881462334,1,1
2019,01,50000,race-ethnicity,Hispanic,367,367,367,0.1396499239,1,1
2019,01,50000,race-ethnicity,Other Races and Ethnicities,182,181,183,0.0521489971,1,1
2019,01,50000,race-ethnicity,"White, Non-Hispanic",1070,1070,1070,0.0508048051,1,1
2019,01,51000,all,All,288,288,288,0.0102182012,1,1
2019,01,51000,race-ethnicity,"Black, Non-Hispanic",275,275,275,0.0124108674,1,1
2019,01,51000,race-ethnicity,Hispanic,6,6,6,0.0024824162,1,1
2019,01,51000,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,51000,race-ethnicity,"White, Non-Hispanic",3,3,3,0.0013049152,1,1
2019,01,77256,all,All,357,357,357,0.0119150925,1,1
2019,01,77256,race-ethnicity,"Black, Non-Hispanic",257,257,257,0.0197555538,1,1
2019,01,77256,race-ethnicity,Hispanic,,,,,,
2019,01,77256,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,01,77256,race-ethnicity,"White, Non-Hispanic",89,89,89,0.0064713153,1,1
2019,02,03000,all,All,1709,1709,1709,0.0366321566,1,1
2019,02,03000,race-ethnicity,"Black, Non-Hispanic",166,166,166,0.0740740741,1,1
2019,02,03000,race-ethnicity,Hispanic,204,204,204,0.0378197998,1,1
2019,02,03000,race-ethnicity,Other Races and Ethnicities,1113,1113,1113,0.0566816052,1,1
2019,02,03000,race-ethnicity,"White, Non-Hispanic",226,225,227,0.0116603034,1,1
2019,04,04720,all,All,334,334,334,0.0164087448,1,1
2019,04,04720,race-ethnicity,"Black, Non-Hispanic",79,79,79,0.0375118708,1,1
2019,04,04720,race-ethnicity,Hispanic,192,192,192,0.0151754663,1,1
2019,04,04720,race-ethnicity,Other Races and Ethnicities,23,21,25,0.0172284644,3,3
2019,04,04720,race-ethnicity,"White, Non-Hispanic",26,24,28,0.0061004223,3,3
2019,04,07940,all,All,51,51,51,0.0036624776,1,1
2019,04,07940,race-ethnicity,"Black, Non-Hispanic",6,5,7,0.0073619632,3,3
2019,04,07940,race-ethnicity,Hispanic,27,27,27,0.0033949453,1,1
2019,04,07940,race-ethnicity,Other Races and Ethnicities,5,3,7,0.0062735257,3,3
2019,04,07940,race-ethnicity,"White, Non-Hispanic",7,5,9,0.0016055046,3,3
2019,04,12000,all,All,335,333,337,0.0057311002,1,1
2019,04,12000,race-ethnicity,"Black, Non-Hispanic",49,46,52,0.0163061564,3,3
2019,04,12000,race-ethnicity,Hispanic,148,144,152,0.010146716,2,2
2019,04,12000,race-ethnicity,Other Races and Ethnicities,42,39,45,0.0048871306,3,3
2019,04,12000,race-ethnicity,"White, Non-Hispanic",78,75,81,0.0024172555,2,2
2019,04,23620,all,All,219,218,220,0.0221749696,1,1
2019,04,23620,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,04,23620,race-ethnicity,Hispanic,54,53,55,0.0198383542,1,1
2019,04,23620,race-ethnicity,Other Races and Ethnicities,108,107,109,0.0374479889,1,1
2019,04,23620,race-ethnicity,"White, Non-Hispanic",54,53,55,0.0128878282,1,1
