year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,03076,all,All,0.3365817343576895,1
2014,01,03076,race-ethnicity,Black,0.1808326565719463,2
2014,01,03076,race-ethnicity,Hispanic,0.38278480297321615,3
2014,01,03076,race-ethnicity,Other Races and Ethnicities,0.3423408321069448,2
2014,01,03076,race-ethnicity,"White, Non-Hispanic",0.3903199080646399,1
2014,01,07000,all,All,0.3796581467261378,1
2014,01,07000,race-ethnicity,Black,0.43038084606842664,1
2014,01,07000,race-ethnicity,Hispanic,0.1426439751217341,2
2014,01,07000,race-ethnicity,Other Races and Ethnicities,0.17546161628294635,2
2014,01,07000,race-ethnicity,"White, Non-Hispanic",0.1763918478522553,1
2014,01,35896,all,All,0,1
2014,01,35896,race-ethnicity,Black,0,2
2014,01,35896,race-ethnicity,Hispanic,0,3
2014,01,35896,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,35896,race-ethnicity,"White, Non-Hispanic",0,2
2014,01,37000,all,All,0.22119494211152543,1
2014,01,37000,race-ethnicity,Black,0.24423803408673508,1
2014,01,37000,race-ethnicity,Hispanic,0.4215461946282703,2
2014,01,37000,race-ethnicity,Other Races and Ethnicities,0.23723372097383635,2
2014,01,37000,race-ethnicity,"White, Non-Hispanic",0.13827596803264197,1
2014,01,50000,all,All,0.24443005681825788,1
2014,01,50000,race-ethnicity,Black,0.3281175659761269,1
2014,01,50000,race-ethnicity,Hispanic,0.10792855862166571,2
2014,01,50000,race-ethnicity,Other Races and Ethnicities,0.0765348578705943,2
2014,01,50000,race-ethnicity,"White, Non-Hispanic",0.027349293900108453,1
2014,01,51000,all,All,0.3414225338224038,1
2014,01,51000,race-ethnicity,Black,0.3537709946503188,1
2014,01,51000,race-ethnicity,Hispanic,0.611064553811773,2
2014,01,51000,race-ethnicity,Other Races and Ethnicities,0.38718333592777265,2
2014,01,51000,race-ethnicity,"White, Non-Hispanic",0.18238388857614948,1
2014,01,77256,all,All,0.233079311960579,1
2014,01,77256,race-ethnicity,Black,0.1885368574509325,1
2014,01,77256,race-ethnicity,Hispanic,0.1241952520254507,3
2014,01,77256,race-ethnicity,Other Races and Ethnicities,0.28385818712132066,3
2014,01,77256,race-ethnicity,"White, Non-Hispanic",0.308203837446253,1
2014,02,03000,all,All,0,1
2014,02,03000,race-ethnicity,Black,0,2
2014,02,03000,race-ethnicity,Hispanic,0,2
2014,02,03000,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,03000,race-ethnicity,"White, Non-Hispanic",0,1
2014,04,04720,all,All,0.2348877627089869,1
2014,04,04720,race-ethnicity,Black,0.1928066812113358,3
2014,04,04720,race-ethnicity,Hispanic,0.26551325579984436,1
2014,04,04720,race-ethnicity,Other Races and Ethnicities,0.1985737784710927,2
2014,04,04720,race-ethnicity,"White, Non-Hispanic",0.21636868117025526,2
2014,04,07940,all,All,0.0044753997857628885,1
2014,04,07940,race-ethnicity,Black,0,3
2014,04,07940,race-ethnicity,Hispanic,0.008489394629627398,2
2014,04,07940,race-ethnicity,Other Races and Ethnicities,0,3
2014,04,07940,race-ethnicity,"White, Non-Hispanic",0,2
2014,04,12000,all,All,0.09189388667882362,1
2014,04,12000,race-ethnicity,Black,0.008655464226302766,2
2014,04,12000,race-ethnicity,Hispanic,0.18324118701423045,1
2014,04,12000,race-ethnicity,Other Races and Ethnicities,0.044078448839714734,1
2014,04,12000,race-ethnicity,"White, Non-Hispanic",0.007500737934441262,1
2014,04,23620,all,All,0.4259754260488468,1
2014,04,23620,race-ethnicity,Black,0.41677071730401577,3
2014,04,23620,race-ethnicity,Hispanic,0.46604446174341074,2
2014,04,23620,race-ethnicity,Other Races and Ethnicities,0.5131123115191956,2
2014,04,23620,race-ethnicity,"White, Non-Hispanic",0.3761747589619921,1
2014,04,27400,all,All,0,1
2014,04,27400,race-ethnicity,Black,0,3
2014,04,27400,race-ethnicity,Hispanic,0,2
2014,04,27400,race-ethnicity,Other Races and Ethnicities,0,2
2014,04,27400,race-ethnicity,"White, Non-Hispanic",0,1
2014,04,27820,all,All,0.32562517396185653,1
2014,04,27820,race-ethnicity,Black,0.36332380181063123,2
2014,04,27820,race-ethnicity,Hispanic,0.4126603591952237,1
2014,04,27820,race-ethnicity,Other Races and Ethnicities,0.3957658858328187,1
