year,state,county,subgroup_type,subgroup,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2015,01,001,all,All,0.0011835654049813689,1,0.3183153559521475,1
2015,01,001,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,01,001,race-ethnicity,White neighborhoods,6.248981144378634e-4,1,0.3179476172363202,1
2015,01,001,race-ethnicity,Mixed neighborhoods,0.0063421976919217265,1,0.32171098845960866,1
2015,01,003,all,All,0.0041965346000215915,1,0.30894013818417354,1
2015,01,003,race-ethnicity,Neighborhoods of color,0.01,1,0.28,1
2015,01,003,race-ethnicity,White neighborhoods,0.004095907524608394,1,0.3094419351738718,1
2015,01,003,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,01,005,all,All,0.012637171980047714,1,0.42037193667317285,1
2015,01,005,race-ethnicity,Neighborhoods of color,0.013180347160929685,1,0.4009120329508679,1
2015,01,005,race-ethnicity,White neighborhoods,NA,NA,NA,NA
2015,01,005,race-ethnicity,Mixed neighborhoods,0.012320109908981624,1,0.4317310664605873,1
2015,01,007,all,All,0.0029742422086238797,1,0.31679521844314784,1
2015,01,007,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,01,007,race-ethnicity,White neighborhoods,0.004451544195953142,1,0.3201703940362087,1
2015,01,007,race-ethnicity,Mixed neighborhoods,0,1,0.31,1
2015,01,009,all,All,0,1,0.3182076287471176,1
2015,01,009,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,01,009,race-ethnicity,White neighborhoods,0,1,0.3182076287471176,1
2015,01,009,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,01,011,all,All,0.01,2,0.4813114308987239,2
2015,01,011,race-ethnicity,Neighborhoods of color,0.01,2,0.472740594059406,2
2015,01,011,race-ethnicity,White neighborhoods,NA,NA,NA,NA
2015,01,011,race-ethnicity,Mixed neighborhoods,0.01,2,0.5,2
2015,01,013,all,All,0.007559582919563058,1,0.4500186196623634,1
2015,01,013,race-ethnicity,Neighborhoods of color,0.0037819025522041762,1,0.43553861451773285,1
