state_name,county_name,quality_good,quality_marginal,quality_poor,missing_values
California,Alameda County,23,2,5,0
California,Los Angeles County,22,3,5,0
California,Marin County,21,4,5,0
California,Riverside County,23,2,5,0
California,San Bernardino County,22,3,5,0
California,Sonoma County,23,2,5,0
California,Yolo County,24,2,4,0
Colorado,Adams County,23,1,6,0
Colorado,Larimer County,22,2,6,0
District of Columbia,District of Columbia,24,1,1,4
Florida,Broward County,25,0,5,0
Florida,Hillsborough County,24,1,1,4
Florida,Leon County,25,0,1,4
Florida,St. Lucie County,25,0,1,4
Georgia,Clayton County,26,0,4,0
Georgia,DeKalb County,24,1,5,0
Georgia,Gwinnett County,24,2,4,0
Illinois,Cook County,22,2,6,0
Illinois,Lake County,22,3,5,0
Kentucky,Jefferson County,23,2,5,0
Louisiana,Orleans Parish,24,2,0,4
Maryland,Baltimore city,22,2,2,4
Maryland,Howard County,25,1,0,4
Maryland,Montgomery County,24,2,4,0
Michigan,Kent County,24,6,0,0
Michigan,Newaygo County,17,8,5,0
Michigan,Wayne County,24,5,1,0
Minnesota,Hennepin County,24,6,0,0
Minnesota,Olmsted County,23,1,6,0
Minnesota,Ramsey County,23,7,0,0
Mississippi,Sunflower County,16,6,7,1
Missouri,Boone County,25,0,5,0
New Jersey,Hudson County,25,1,0,4
New York,Albany County,19,2,9,0
New York,Erie County,21,3,6,0
New York,Suffolk County,19,1,10,0
North Carolina,Buncombe County,24,2,4,0
North Carolina,Forsyth County,25,5,0,0
North Carolina,Orange County,23,2,5,0
Ohio,Cuyahoga County,19,2,9,0
Ohio,Erie County,13,11,6,0
Ohio,Franklin County,20,2,8,0
Ohio,Huron County,12,6,12,0
Ohio,Montgomery County,20,2,8,0
Ohio,Summit County,19,2,9,0
Oregon,Umatilla County,17,6,7,0
Pennsylvania,Allegheny County,22,3,5,0
Pennsylvania,Erie County,24,2,4,0
Pennsylvania,Lackawanna County,24,2,4,0
Pennsylvania,Lehigh County,20,2,8,0
Pennsylvania,Luzerne County,23,2,5,0
Pennsylvania,Northampton County,24,2,4,0
Pennsylvania,Philadelphia County,21,1,4,4
Pennsylvania,Wayne County,16,8,6,0
Pennsylvania,Wyoming County,16,7,3,4
Tennessee,Davidson County,19,3,8,0
Texas,Dallas County,24,1,5,0
Texas,Harris County,22,7,1,0
Utah,Salt Lake County,21,4,5,0
Vermont,Franklin County,17,7,2,4
Vermont,Grand Isle County,16,5,4,5
Vermont,Windham County,15,8,7,0
Virginia,Albemarle County,18,6,1,5
Virginia,Fairfax County,26,0,4,0
Virginia,Loudoun County,25,1,4,0
Virginia,Prince William County,25,1,4,0
Washington,King County,22,2,6,0
Washington,Snohomish County,23,1,6,0
Wisconsin,Milwaukee County,23,2,5,0
Wisconsin,Racine County,23,1,6,0
