year,state,county,state_name,county_name,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
2016,01,001,Alabama,Autauga County,all,All,2363.0354,2
2016,01,001,Alabama,Autauga County,race-ethnicity,Black,3187.7195,2
2016,01,001,Alabama,Autauga County,race-ethnicity,Other Races,NA,NA
2016,01,001,Alabama,Autauga County,race-ethnicity,White,2294.4094,2
2016,01,003,Alabama,Baldwin County,all,All,2066.0569,1
2016,01,003,Alabama,Baldwin County,race-ethnicity,Black,6659.5059,1
2016,01,003,Alabama,Baldwin County,race-ethnicity,Other Races,66.979233,1
2016,01,003,Alabama,Baldwin County,race-ethnicity,White,1735.4069,1
2016,01,005,Alabama,Barbour County,all,All,1681.2625,2
2016,01,005,Alabama,Barbour County,race-ethnicity,Black,2263.2073,2
2016,01,005,Alabama,Barbour County,race-ethnicity,Other Races,NA,NA
2016,01,005,Alabama,Barbour County,race-ethnicity,White,1019.7755,2
2016,01,007,Alabama,Bibb County,all,All,194.11369,1
2016,01,007,Alabama,Bibb County,race-ethnicity,Black,118.11863,1
2016,01,007,Alabama,Bibb County,race-ethnicity,Other Races,NA,NA
2016,01,007,Alabama,Bibb County,race-ethnicity,White,457.10104,1
2016,01,009,Alabama,Blount County,all,All,283.30939,2
2016,01,009,Alabama,Blount County,race-ethnicity,Black,702.00073,2
2016,01,009,Alabama,Blount County,race-ethnicity,Other Races,NA,NA
2016,01,009,Alabama,Blount County,race-ethnicity,White,257.86841,2
2016,01,011,Alabama,Bullock County,all,All,187.30449,1
2016,01,011,Alabama,Bullock County,race-ethnicity,Black,306.65439,1
2016,01,011,Alabama,Bullock County,race-ethnicity,Other Races,NA,NA
2016,01,011,Alabama,Bullock County,race-ethnicity,White,NA,NA
2016,01,013,Alabama,Butler County,all,All,3154.3328,1
2016,01,013,Alabama,Butler County,race-ethnicity,Black,13851.033,1
2016,01,013,Alabama,Butler County,race-ethnicity,Other Races,NA,NA
2016,01,013,Alabama,Butler County,race-ethnicity,White,518.78052,1
2016,01,015,Alabama,Calhoun County,all,All,1415.608,2
2016,01,015,Alabama,Calhoun County,race-ethnicity,Black,2179.5706,2
2016,01,015,Alabama,Calhoun County,race-ethnicity,Other Races,NA,NA
2016,01,015,Alabama,Calhoun County,race-ethnicity,White,1202.0216,2
2016,01,017,Alabama,Chambers County,all,All,1037.1406,1
2016,01,017,Alabama,Chambers County,race-ethnicity,Black,2597.875,1
2016,01,017,Alabama,Chambers County,race-ethnicity,Other Races,NA,NA
2016,01,017,Alabama,Chambers County,race-ethnicity,White,419.34525,1
2016,01,019,Alabama,Cherokee County,all,All,547.34998,1
2016,01,019,Alabama,Cherokee County,race-ethnicity,Black,163.64897,1
2016,01,019,Alabama,Cherokee County,race-ethnicity,Other Races,NA,NA
2016,01,019,Alabama,Cherokee County,race-ethnicity,White,680.2652,1
2016,01,021,Alabama,Chilton County,all,All,919.85498,1
2016,01,021,Alabama,Chilton County,race-ethnicity,Black,561.7027,1
2016,01,021,Alabama,Chilton County,race-ethnicity,Other Races,NA,NA
2016,01,021,Alabama,Chilton County,race-ethnicity,White,1278.1844,1
2016,01,023,Alabama,Choctaw County,all,All,237.33989,1
2016,01,023,Alabama,Choctaw County,race-ethnicity,Black,535.73242,1
2016,01,023,Alabama,Choctaw County,race-ethnicity,Other Races,NA,NA
2016,01,023,Alabama,Choctaw County,race-ethnicity,White,NA,NA
2016,01,025,Alabama,Clarke County,all,All,3623.8372,1
2016,01,025,Alabama,Clarke County,race-ethnicity,Black,3753.1035,1
2016,01,025,Alabama,Clarke County,race-ethnicity,Other Races,NA,NA
2016,01,025,Alabama,Clarke County,race-ethnicity,White,3716.6309,1
2016,01,027,Alabama,Clay County,all,All,235.20004,1
2016,01,027,Alabama,Clay County,race-ethnicity,Black,609.45135,1
2016,01,027,Alabama,Clay County,race-ethnicity,Other Races,NA,NA
2016,01,027,Alabama,Clay County,race-ethnicity,White,105.55839,1
2016,01,029,Alabama,Cleburne County,all,All,1668.9282,1
2016,01,029,Alabama,Cleburne County,race-ethnicity,Black,564.06671,1
2016,01,029,Alabama,Cleburne County,race-ethnicity,Other Races,NA,NA
2016,01,029,Alabama,Cleburne County,race-ethnicity,White,1953.9531,1
2016,01,031,Alabama,Coffee County,all,All,1221.8842,1
2016,01,031,Alabama,Coffee County,race-ethnicity,Black,2656.6226,1
2016,01,031,Alabama,Coffee County,race-ethnicity,Other Races,NA,NA
2016,01,031,Alabama,Coffee County,race-ethnicity,White,924.07776,1
2016,01,033,Alabama,Colbert County,all,All,587.6947,2
2016,01,033,Alabama,Colbert County,race-ethnicity,Black,1905.6123,2
2016,01,033,Alabama,Colbert County,race-ethnicity,Other Races,NA,NA
2016,01,033,Alabama,Colbert County,race-ethnicity,White,472.67703,2
2016,01,035,Alabama,Conecuh County,all,All,1251.1991,1
2016,01,035,Alabama,Conecuh County,race-ethnicity,Black,3200.8071,1
2016,01,035,Alabama,Conecuh County,race-ethnicity,Other Races,NA,NA
2016,01,035,Alabama,Conecuh County,race-ethnicity,White,158.07977,1
2016,01,037,Alabama,Coosa County,all,All,1052.3419,1
2016,01,037,Alabama,Coosa County,race-ethnicity,Black,531.38348,1
2016,01,037,Alabama,Coosa County,race-ethnicity,Other Races,NA,NA
2016,01,037,Alabama,Coosa County,race-ethnicity,White,1520.1265,1
2016,01,039,Alabama,Covington County,all,All,1698.2029,2
2016,01,039,Alabama,Covington County,race-ethnicity,Black,2346.1082,2
2016,01,039,Alabama,Covington County,race-ethnicity,Other Races,NA,NA
2016,01,039,Alabama,Covington County,race-ethnicity,White,1548.1304,2
2016,01,041,Alabama,Crenshaw County,all,All,216.97151,2
2016,01,041,Alabama,Crenshaw County,race-ethnicity,Black,355.26123,2
2016,01,041,Alabama,Crenshaw County,race-ethnicity,Other Races,NA,NA
2016,01,041,Alabama,Crenshaw County,race-ethnicity,White,196.26431,2
2016,01,043,Alabama,Cullman County,all,All,246.11235,1
2016,01,043,Alabama,Cullman County,race-ethnicity,Black,NA,NA
2016,01,043,Alabama,Cullman County,race-ethnicity,Other Races,NA,NA
2016,01,043,Alabama,Cullman County,race-ethnicity,White,257.58786,1
2016,01,045,Alabama,Dale County,all,All,712.2558,2
2016,01,045,Alabama,Dale County,race-ethnicity,Black,1432.2885,2
2016,01,045,Alabama,Dale County,race-ethnicity,Other Races,NA,NA
2016,01,045,Alabama,Dale County,race-ethnicity,White,551.92206,2
2016,01,047,Alabama,Dallas County,all,All,952.24969,2
2016,01,047,Alabama,Dallas County,race-ethnicity,Black,1972.5812,2
2016,01,047,Alabama,Dallas County,race-ethnicity,Other Races,NA,NA
2016,01,047,Alabama,Dallas County,race-ethnicity,White,536.73663,2
2016,01,049,Alabama,DeKalb County,all,All,180.36496,2
2016,01,049,Alabama,DeKalb County,race-ethnicity,Black,3298.5881,2
2016,01,049,Alabama,DeKalb County,race-ethnicity,Other Races,NA,NA
2016,01,049,Alabama,DeKalb County,race-ethnicity,White,188.15266,2
2016,01,051,Alabama,Elmore County,all,All,297.82361,2
2016,01,051,Alabama,Elmore County,race-ethnicity,Black,761.26605,2
2016,01,051,Alabama,Elmore County,race-ethnicity,Other Races,NA,NA
2016,01,051,Alabama,Elmore County,race-ethnicity,White,151.21298,2
2016,01,053,Alabama,Escambia County,all,All,1092.1799,1
2016,01,053,Alabama,Escambia County,race-ethnicity,Black,973.14697,1
2016,01,053,Alabama,Escambia County,race-ethnicity,Other Races,7843.5986,1
2016,01,053,Alabama,Escambia County,race-ethnicity,White,871.51099,1
2016,01,055,Alabama,Etowah County,all,All,135.67294,2
2016,01,055,Alabama,Etowah County,race-ethnicity,Black,257.40027,2
2016,01,055,Alabama,Etowah County,race-ethnicity,Other Races,NA,NA
2016,01,055,Alabama,Etowah County,race-ethnicity,White,142.78915,2
2016,01,057,Alabama,Fayette County,all,All,285.6441,1
2016,01,057,Alabama,Fayette County,race-ethnicity,Black,911.61859,1
2016,01,057,Alabama,Fayette County,race-ethnicity,Other Races,NA,NA
2016,01,057,Alabama,Fayette County,race-ethnicity,White,207.40979,1
2016,01,059,Alabama,Franklin County,all,All,NA,NA
2016,01,059,Alabama,Franklin County,race-ethnicity,Black,NA,NA
2016,01,059,Alabama,Franklin County,race-ethnicity,Other Races,NA,NA
2016,01,059,Alabama,Franklin County,race-ethnicity,White,NA,NA
2016,01,061,Alabama,Geneva County,all,All,634.66193,1
2016,01,061,Alabama,Geneva County,race-ethnicity,Black,383.83539,1
2016,01,061,Alabama,Geneva County,race-ethnicity,Other Races,NA,NA
2016,01,061,Alabama,Geneva County,race-ethnicity,White,880.05383,1
2016,01,063,Alabama,Greene County,all,All,294.70126,1
2016,01,063,Alabama,Greene County,race-ethnicity,Black,448.31387,1
2016,01,063,Alabama,Greene County,race-ethnicity,Other Races,NA,NA
2016,01,063,Alabama,Greene County,race-ethnicity,White,NA,NA
2016,01,065,Alabama,Hale County,all,All,281.88705,1
2016,01,065,Alabama,Hale County,race-ethnicity,Black,343.05759,1
2016,01,065,Alabama,Hale County,race-ethnicity,Other Races,NA,NA
2016,01,065,Alabama,Hale County,race-ethnicity,White,165.94757,1
2016,01,067,Alabama,Henry County,all,All,988.0498,2
2016,01,067,Alabama,Henry County,race-ethnicity,Black,1195.1239,2
2016,01,067,Alabama,Henry County,race-ethnicity,Other Races,NA,NA
2016,01,067,Alabama,Henry County,race-ethnicity,White,1047.7111,2
2016,01,069,Alabama,Houston County,all,All,3074.395,2
2016,01,069,Alabama,Houston County,race-ethnicity,Black,8967.2744,2
2016,01,069,Alabama,Houston County,race-ethnicity,Other Races,94.308846,2
2016,01,069,Alabama,Houston County,race-ethnicity,White,1095.3203,2
2016,01,071,Alabama,Jackson County,all,All,516.53247,2
2016,01,071,Alabama,Jackson County,race-ethnicity,Black,6612.5903,2
2016,01,071,Alabama,Jackson County,race-ethnicity,Other Races,NA,NA
2016,01,071,Alabama,Jackson County,race-ethnicity,White,565.77679,2
2016,01,073,Alabama,Jefferson County,all,All,721.797,2
2016,01,073,Alabama,Jefferson County,race-ethnicity,Black,971.73987,2
2016,01,073,Alabama,Jefferson County,race-ethnicity,Other Races,18.274855,2
2016,01,073,Alabama,Jefferson County,race-ethnicity,White,594.34821,2
2016,01,075,Alabama,Lamar County,all,All,202.80685,1
2016,01,075,Alabama,Lamar County,race-ethnicity,Black,NA,NA
2016,01,075,Alabama,Lamar County,race-ethnicity,Other Races,NA,NA
2016,01,075,Alabama,Lamar County,race-ethnicity,White,245.43492,1
2016,01,077,Alabama,Lauderdale County,all,All,418.52783,2
2016,01,077,Alabama,Lauderdale County,race-ethnicity,Black,1039.624,2
2016,01,077,Alabama,Lauderdale County,race-ethnicity,Other Races,NA,NA
2016,01,077,Alabama,Lauderdale County,race-ethnicity,White,357.05524,2
2016,01,079,Alabama,Lawrence County,all,All,64.503853,2
2016,01,079,Alabama,Lawrence County,race-ethnicity,Black,NA,NA
2016,01,079,Alabama,Lawrence County,race-ethnicity,Other Races,NA,NA
2016,01,079,Alabama,Lawrence County,race-ethnicity,White,83.165894,2
2016,01,081,Alabama,Lee County,all,All,1461.5159,1
2016,01,081,Alabama,Lee County,race-ethnicity,Black,2483.8787,1
2016,01,081,Alabama,Lee County,race-ethnicity,Other Races,156.00624,1
