year,state,place,subgroup,subgroup_type,share_debt_col,share_debt_col_quality,index_air_quality,index_air_quality_quality,state_name,place_name,population
2021,39,01000,All,all,0.46317,1,NA,NA,Ohio,Akron city,198006
2021,06,02000,All,all,0.26539,1,NA,NA,California,Anaheim city,352005
2021,35,02000,All,all,0.32334,1,NA,NA,New Mexico,Albuquerque city,560218
2021,02,03000,All,all,0.27641,1,NA,NA,Alaska,Anchorage municipality,291538
2021,48,03000,All,all,0.4112,1,NA,NA,Texas,Amarillo city,199924
2021,51,03000,All,all,0.10932,1,NA,NA,Virginia,Arlington,0
2021,06,03526,All,all,0.40165,1,NA,NA,California,Bakersfield city,383579
2021,08,04000,All,all,0.34,1,NA,NA,Colorado,Aurora city,374114
2021,13,04000,All,all,0.35003,1,NA,NA,Georgia,Atlanta city,498044
2021,24,04000,All,all,0.44148,1,NA,NA,Maryland,Baltimore city,602495
2021,48,04000,All,all,0.49281,1,NA,NA,Texas,Arlington city,398112
2021,48,05000,All,all,0.29989,1,NA,NA,Texas,Austin city,964254
2021,01,07000,All,all,0.50048,1,NA,NA,Alabama,Birmingham city,209880
2021,25,07000,All,all,0.20477,1,NA,NA,Massachusetts,Boston city,694583
2021,16,08830,All,all,0.23486,1,NA,NA,Idaho,Boise City city,228790
2021,36,11000,All,all,0.3823,1,NA,NA,New York,Buffalo city,256304
2021,04,12000,All,all,0.19393,1,NA,NA,Arizona,Chandler city,257165
2021,37,12000,All,all,0.33485,1,NA,NA,North Carolina,Charlotte city,872498
2021,06,13392,All,all,0.25325,1,NA,NA,California,Chula Vista city,271651
2021,17,14000,All,all,0.33289,1,NA,NA,Illinois,Chicago city,2705994
2021,47,14000,All,all,0.32556,1,NA,NA,Tennessee,Chattanooga city,180557
2021,39,15000,All,all,0.37177,1,NA,NA,Ohio,Cincinnati city,302605
2021,08,16000,All,all,0.27592,1,NA,NA,Colorado,Colorado Springs city,472688
2021,39,16000,All,all,0.53854,1,NA,NA,Ohio,Cleveland city,383793
2021,51,16000,All,all,0.30216,1,NA,NA,Virginia,Chesapeake city,242634
2021,48,17000,All,all,0.50129,1,NA,NA,Texas,Corpus Christi city,326554
2021,39,18000,All,all,0.37483,1,NA,NA,Ohio,Columbus city,892533
2021,37,19000,All,all,0.25969,1,NA,NA,North Carolina,Durham city,274291
2021,48,19000,All,all,0.48098,1,NA,NA,Texas,Dallas city,1345047
2021,08,20000,All,all,0.25502,1,NA,NA,Colorado,Denver city,716492
2021,26,22000,All,all,0.58016,1,NA,NA,Michigan,Detroit city,672662
2021,37,22920,All,all,0.41414,1,NA,NA,North Carolina,Fayetteville city,209468
2021,48,24000,All,all,0.37877,1,NA,NA,Texas,El Paso city,682669
2021,06,24680,All,all,0.35032,1,NA,NA,California,Fontana city,213739
2021,18,25000,All,all,0.29635,1,NA,NA,Indiana,Fort Wayne city,267633
2021,06,27000,All,all,0.28788,1,NA,NA,California,Fresno city,530093
2021,48,27000,All,all,0.44927,1,NA,NA,Texas,Fort Worth city,895008
2021,04,27400,All,all,0.21727,1,NA,NA,Arizona,Gilbert town,248279
2021,04,27820,All,all,0.32294,1,NA,NA,Arizona,Glendale city,250702
2021,31,28000,All,all,0.1808,1,NA,NA,Nebraska,Lincoln city,287401
2021,37,28000,All,all,0.37866,1,NA,NA,North Carolina,Greensboro city,294722
2021,48,29000,All,all,0.46516,1,NA,NA,Texas,Garland city,242507
2021,12,30000,All,all,0.39119,1,NA,NA,Florida,Hialeah city,238942
2021,12,32000,All,all,0.34778,1,NA,NA,Florida,Hollywood city,154823
2021,12,35000,All,all,0.39504,1,NA,NA,Florida,Jacksonville city,903889
2021,48,35000,All,all,0.39756,1,NA,NA,Texas,Houston city,2325502
2021,34,36000,All,all,0.26116,1,NA,NA,New Jersey,Jersey City city,265549
2021,18,36003,All,all,0.40837,1,NA,NA,Indiana,Indianapolis city (balance),867125
2021,31,37000,All,all,0.21136,1,NA,NA,Nebraska,Omaha city,468262
2021,48,37000,All,all,0.34099,1,NA,NA,Texas,Irving city,242242
2021,29,38000,All,all,0.3924,1,NA,NA,Missouri,Kansas City city,491918
2021,32,40000,All,all,0.34999,1,NA,NA,Nevada,Las Vegas city,644644
2021,48,41464,All,all,0.53786,1,NA,NA,Texas,Laredo city,261639
2021,06,43000,All,all,0.24754,1,NA,NA,California,Long Beach city,467354
2021,27,43000,All,all,0.16416,1,NA,NA,Minnesota,Minneapolis city,425403
2021,06,44000,All,all,0.23993,1,NA,NA,California,Los Angeles city,3990456
2021,12,45000,All,all,0.24722,1,NA,NA,Florida,Miami city,470914
2021,48,45000,All,all,0.42886,1,NA,NA,Texas,Lubbock city,255885
2021,04,46000,All,all,0.31639,1,NA,NA,Arizona,Mesa city,508958
2021,21,46027,All,all,0.31296,1,NA,NA,Kentucky,Lexington-Fayette urban county,323780
2021,47,48000,All,all,0.46173,1,NA,NA,Tennessee,Memphis city,650618
2021,21,48006,All,all,0.37021,1,NA,NA,Kentucky,Louisville/Jefferson County metro government (balance),620118
2021,06,48354,All,all,0.28286,1,NA,NA,California,Modesto city,215030
2021,01,50000,All,all,0.40323,1,NA,NA,Alabama,Mobile city,189572
2021,11,50000,All,all,0.24852,1,NA,NA,District of Columbia,Washington city,702455
2021,34,51000,All,all,0.48508,1,NA,NA,New Jersey,Newark city,282090
2021,36,51000,All,all,0.21205,1,NA,NA,New York,New York city,8398748
2021,47,52006,All,all,0.27422,1,NA,NA,Tennessee,Nashville-Davidson metropolitan government (balance),669053
2021,06,53000,All,all,0.22633,1,NA,NA,California,Oakland city,429082
2021,12,53000,All,all,0.3901,1,NA,NA,Florida,Orlando city,285713
2021,55,53000,All,all,0.58225,1,NA,NA,Wisconsin,Milwaukee city,592025
2021,20,53775,All,all,0.1557,1,NA,NA,Kansas,Overland Park city,192536
2021,32,54600,All,all,0.46258,1,NA,NA,Nevada,Paradise,0
2021,04,55000,All,all,0.36066,1,NA,NA,Arizona,Phoenix city,1660272
2021,22,55000,All,all,0.41214,1,NA,NA,Louisiana,New Orleans city,391006
2021,37,55000,All,all,0.28174,1,NA,NA,North Carolina,Raleigh city,469298
2021,40,55000,All,all,0.36045,1,NA,NA,Oklahoma,Oklahoma City city,649021
2021,27,58000,All,all,0.18435000000000001,1,NA,NA,Minnesota,St. Paul city,307695
2021,48,58016,All,all,0.20516,1,NA,NA,Texas,Plano city,288061
2021,41,59000,All,all,0.15952,1,NA,NA,Oregon,Portland city,653115
2021,42,60000,All,all,0.36951,1,NA,NA,Pennsylvania,Philadelphia city,1584138
2021,42,61000,All,all,0.25126,1,NA,NA,Pennsylvania,Pittsburgh city,301048
2021,06,62000,All,all,0.2611,1,NA,NA,California,Riverside city,330063
2021,12,63000,All,all,0.37685,1,NA,NA,Florida,St. Petersburg city,265098
2021,36,63000,All,all,0.28908,1,NA,NA,New York,Rochester city,206284
2021,53,63000,All,all,0.12479,1,NA,NA,Washington,Seattle city,744955
2021,06,64000,All,all,0.25094,1,NA,NA,California,Sacramento city,508529
2021,04,65000,All,all,0.15622,1,NA,NA,Arizona,Scottsdale city,255310
2021,29,65000,All,all,0.44273,1,NA,NA,Missouri,St. Louis city,302838
2021,48,65000,All,all,0.42561,1,NA,NA,Texas,San Antonio city,1532233
2021,06,66000,All,all,0.22038,1,NA,NA,California,San Diego city,1425976
2021,06,67000,All,all,0.12091,1,NA,NA,California,San Francisco city,883305
2021,53,67000,All,all,0.19959,1,NA,NA,Washington,Spokane city,219190
2021,06,68000,All,all,0.16377,1,NA,NA,California,San Jose city,1030119
2021,06,69000,All,all,0.26239,1,NA,NA,California,Santa Ana city,332725
2021,22,70000,All,all,0.47257,1,NA,NA,Louisiana,Shreveport city,188987
2021,12,71000,All,all,0.40602,1,NA,NA,Florida,Tampa city,392890
2021,32,71400,All,all,0.37231,1,NA,NA,Nevada,Temple Terrace,0
2021,15,71550,All,all,0.15493,1,NA,NA,Hawaii,Urban Honolulu CDP,347397
2021,04,73000,All,all,0.30584,1,NA,NA,Arizona,Tempe city,192364
2021,06,75000,All,all,0.3194,1,NA,NA,California,Stockton city,311178
2021,37,75000,All,all,0.38514,1,NA,NA,North Carolina,Winston-Salem city,246328
2021,40,75000,All,all,0.37386,1,NA,NA,Oklahoma,Tulsa city,400669
2021,04,77000,All,all,0.31367,1,NA,NA,Arizona,Tucson city,545975
2021,39,77000,All,all,0.47957,1,NA,NA,Ohio,Toledo city,274975
2021,20,79000,All,all,0.31584,1,NA,NA,Kansas,Wichita city,389255
2021,51,82000,All,all,0.29408,1,NA,NA,Virginia,Virginia Beach city,450189
2018,01,03076,All,all,NA,NA,15,1,Alabama,Auburn city,65738
2018,01,03076,Majority Non-White,race-ethnicity,NA,NA,NA,NA,Alabama,Auburn city,65738
2018,01,03076,"Majority White, Non-Hispanic",race-ethnicity,NA,NA,15,1,Alabama,Auburn city,65738
2018,01,03076,Mixed Race and Ethnicity,race-ethnicity,NA,NA,15,1,Alabama,Auburn city,65738
2018,01,07000,All,all,NA,NA,7,1,Alabama,Birmingham city,209880
2018,01,07000,Majority Non-White,race-ethnicity,NA,NA,7,1,Alabama,Birmingham city,209880
2018,01,07000,"Majority White, Non-Hispanic",race-ethnicity,NA,NA,7,1,Alabama,Birmingham city,209880
2018,01,07000,Mixed Race and Ethnicity,race-ethnicity,NA,NA,7,1,Alabama,Birmingham city,209880
