year,state,place,population,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2016,01,03076,63118,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,03076,63118,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,03076,63118,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,07000,212157,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,07000,212157,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,07000,212157,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,35896,84978,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,35896,84978,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,35896,84978,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,37000,193079,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,37000,193079,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,37000,193079,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,50000,192904,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,50000,192904,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,50000,192904,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,51000,200022,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,51000,200022,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,51000,200022,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,77256,99543,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,77256,99543,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,77256,99543,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,02,03000,298192,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,02,03000,298192,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,02,03000,298192,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,04,04720,82881,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,04,04720,82881,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,04,04720,82881,disability,Without Disability,NA,NA,NA,NA,NA,NA,NA,NA
2016,04,07940,64629,all,All,NA,NA,NA,NA,NA,NA,NA,NA
2016,04,07940,64629,disability,With Disability,NA,NA,NA,NA,NA,NA,NA,NA
