year,state,place,state_name,place_name,population,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,share_debt_coll,share_debt_coll_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality,share_desc_rep_other,share_desc_rep_other_quality,share_desc_rep_black_nonhispanic,share_desc_rep_black_nonhispanic_quality,share_desc_rep_hispanic,share_desc_rep_hispanic_quality,share_desc_rep_white_nonhispanic,share_desc_rep_white_nonhispanic_quality,share_election_turnout,share_election_turnout_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,share_poverty_exposure,share_poverty_exposure_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,share_economic_connectedness,share_economic_connectedness_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality,rate_crime_violent,rate_crime_property,rate_crime_violent_quality,rate_crime_property_quality,rate_juv_arrest,rate_juv_arrest_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_digital_access,share_digital_access_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,03076,Alabama,Auburn city,60258,13009,11496,15530,Marginal,39329,35295,44371,Marginal,88237,82691,98826,Marginal,0.119:0.246,Marginal,0.040:0.030,Marginal,0.026:0.027,Marginal,0.815:0.697,Marginal,NA,NA,25,25,25,0.0031,Weak,Weak,tenure,All,1.2035,1.3151,1.59,Marginal,Marginal,Marginal,0.5538,0.7412,1.1292,Marginal,Marginal,Marginal,0.0814,Strong,0.1673,Strong,0.0395,Strong,0.7118,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3366,Strong,17.8,Strong,NA,NA,7,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4376,0.3364,0.5388,Marginal,0.84,0.66,1.02,Strong,0,Strong,0,Strong,0,Strong,0.9039,0.8661,0.9417,Marginal,NA,NA,0.725,0.6582,0.7917,Marginal
2014,01,07000,Alabama,Birmingham city,212247,13412,11093,14824,Weak,31261,29244,34286,Weak,68573,64539,73817,Weak,0.384:0.643,Weak,0.013:0.030,Weak,0.014:0.020,Weak,0.588:0.307,Weak,NA,NA,714,714,714,0.0106,Strong,Strong,tenure,All,1.0279,1.1491,1.4159,Weak,Weak,Weak,0.5998,0.7873,1.1134,Weak,Weak,Weak,0.0208,Strong,0.7308,Strong,0.0352,Strong,0.2131,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3797,Strong,31.1,Strong,NA,NA,6,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3685,0.2712,0.4657,Weak,0.93,0.84,1.02,Strong,0.8592,Strong,0.6479,Strong,0.1748,Strong,0.8578,0.7927,0.9228,Weak,NA,NA,0.6897,0.6582,0.7213,Weak
2014,01,35896,Alabama,Hoover city,84353,26219,23597,27833,Weak,62522,59396,68573,Weak,126759,123028,141180,Weak,0.052:0.166,Weak,0.023:0.040,Weak,0.030:0.040,Weak,0.894:0.754,Weak,NA,NA,64,64,64,0.0046,Strong,Strong,tenure,All,1.2648,1.3535,1.8892,Weak,Weak,Weak,0.5795,0.7791,1.1994,Weak,Weak,Weak,0.0727,Strong,0.1481,Strong,0.0699,Strong,0.7093,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Strong,20.5,Strong,NA,NA,9,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4947,0.4057,0.5837,Weak,1.02,0.89,1.15,Strong,0.0345,Strong,0.1186,Strong,0.0235,Strong,0.9225,0.8869,0.9581,Weak,NA,NA,0.8199,0.7957,0.8441,Weak
2014,01,37000,Alabama,Huntsville city,188226,17143,14925,20572,Weak,50421,46690,55262,Weak,110927,104876,118994,Weak,0.058:0.230,Weak,0.021:0.043,Weak,0.053:0.049,Weak,0.868:0.678,Weak,NA,NA,344,344,344,0.008,Strong,Strong,tenure,All,1.4638,1.7205,1.6567,Weak,Weak,Weak,0.678,0.9756,1.1171,Weak,Weak,Weak,0.052,Strong,0.301,Strong,0.057,Strong,0.59,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2212,Strong,24.7,Strong,NA,NA,22,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3416,0.258,0.4252,Weak,0.94,0.83,1.04,Strong,0.5427,Strong,0.5825,Strong,0.1243,Strong,0.9414,0.9121,0.9706,Weak,NA,NA,0.7233,0.6849,0.7618,Weak
2014,01,50000,Alabama,Mobile city,194675,15731,14118,17143,Weak,38824,33883,42858,Weak,80674,74623,90758,Weak,0.320:0.473,Weak,0.009:0.023,Weak,0.015:0.028,Weak,0.656:0.476,Weak,NA,NA,5713,5713,5713,0.0987,Strong,Strong,tenure,All,0.9572,1.0127,1.5063,Weak,Weak,Weak,0.4596,0.5617,0.9896,Weak,Weak,Weak,0.0264,Strong,0.5084,Strong,0.0268,Strong,0.4384,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2444,Strong,26.2,Strong,NA,NA,11,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4509,0.3539,0.5478,Weak,0.75,0.68,0.81,Strong,0.959,Strong,0.9198,Strong,0.8479,Strong,0.7771,0.6939,0.8603,Weak,NA,NA,0.7393,0.7031,0.7755,Weak
2014,01,51000,Alabama,Montgomery city,200481,16942,14521,19059,Weak,44371,39026,48404,Weak,96910,88409,103596,Weak,0.328:0.554,Weak,0.027:0.019,Weak,0.038:0.024,Weak,0.607:0.403,Weak,NA,NA,953,953,953,0.03,Strong,Strong,tenure,All,0.96,1.0459,1.6128,Weak,Weak,Weak,0.4501,0.5751,1.0242,Weak,Weak,Weak,0.0392,Strong,0.5774,Strong,0.0364,Strong,0.347,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3414,Strong,29.3,Strong,NA,NA,6,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5188,0.4441,0.5936,Weak,0.79,0.7,0.89,Strong,0.834,Strong,0.8684,Strong,0.417,Strong,0.832,0.7733,0.8908,Weak,NA,NA,0.7445,0.7061,0.7829,Weak
2014,01,77256,Alabama,Tuscaloosa city,96122,16740,13311,20168,Marginal,40337,37110,48404,Marginal,85716,75632,100842,Marginal,0.223:0.407,Marginal,0.040:0.023,Marginal,0.015:0.029,Marginal,0.722:0.541,Marginal,NA,NA,593,593,593,0.021,Strong,Strong,tenure,All,0.8232,0.8918,1.3932,Marginal,Marginal,Marginal,0.3694,0.4434,0.931,Marginal,Marginal,Marginal,0.0357,Strong,0.4355,Strong,0.0325,Strong,0.4964,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2331,Strong,23.8,Strong,NA,NA,5,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3625,0.2512,0.4737,Marginal,0.98,0.85,1.11,Strong,0.7362,Strong,0.7708,Strong,0.2267,Strong,0.9371,0.9033,0.9709,Marginal,NA,NA,0.7006,0.6418,0.7595,Marginal
2014,02,03000,Alaska,Anchorage municipality,301010,33681,25412,40337,Marginal,74623,65598,82993,Marginal,134121,126053,148138,Marginal,0.010:0.063,Marginal,0.032:0.074,Marginal,0.109:0.189,Marginal,0.850:0.674,Marginal,NA,NA,2217,2217,2217,0.0458,Strong,Strong,tenure,All,0.7745,1.0246,1.3306,Marginal,Marginal,Marginal,0.256,0.5409,0.8365,Marginal,Marginal,Marginal,0.2508,Strong,0.0558,Strong,0.0828,Strong,0.6107,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Strong,21.7,Strong,NA,NA,70,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,0.2764,0.4515,Marginal,1.19,1.12,1.27,Strong,0.4099,Strong,0.2946,Strong,0.1136,Strong,0.8471,0.7836,0.9107,Marginal,NA,NA,0.8093,0.7624,0.8562,Marginal
2014,04,04720,Arizona,Avondale city,79646,26622,24232,31261,Marginal,55968,48404,63531,Marginal,98725,90758,109112,Marginal,0.063:0.086,Marginal,0.298:0.386,Marginal,0.043:0.059,Marginal,0.596:0.469,Marginal,NA,NA,806,806,806,0.0428,Strong,Strong,tenure,All,1.0077,1.0596,1.7064,Marginal,Marginal,Marginal,0.2918,0.4633,1.0803,Marginal,Marginal,Marginal,0.0593,Strong,0.0892,Strong,0.5329,Strong,0.3186,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2349,Strong,4.7,Strong,NA,NA,8,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1863,0.1052,0.2674,Marginal,1.24,1.08,1.4,Strong,0.836,Strong,0.8164,Strong,0.7077,Strong,0.852,0.766,0.9381,Marginal,NA,NA,0.7894,0.7562,0.8227,Marginal
2014,04,07940,Arizona,Buckeye town,59470,22488,18958,28942,Marginal,56875,51430,62522,Marginal,100842,93784,109918,Marginal,0.022:0.031,Marginal,0.132:0.209,Marginal,0.050:0.058,Marginal,0.796:0.702,Marginal,NA,NA,62,62,62,0.005,Strong,Strong,tenure,All,1.3784,1.3725,1.6271,Marginal,Marginal,Marginal,0.561,0.7017,1.0077,Marginal,Marginal,Marginal,0.0481,Strong,0.0708,Strong,0.3757,Strong,0.5053,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045,Strong,6.1,Strong,NA,NA,31,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3469,0.2317,0.462,Marginal,1.19,1,1.38,Strong,0.7694,Strong,0.8003,Strong,0.5975,Strong,0.8267,0.7221,0.9313,Marginal,NA,NA,0.7762,0.7272,0.8253,Marginal
2014,04,12000,Arizona,Chandler city,254276,34186,30254,37312,Weak,69581,64539,75632,Weak,121011,114154,130087,Weak,0.027:0.060,Weak,0.116:0.178,Weak,0.103:0.108,Weak,0.754:0.654,Weak,NA,NA,656,656,656,0.0154,Strong,Strong,tenure,All,1.4843,1.3199,1.7482,Weak,Weak,Weak,0.3643,0.4308,0.843,Weak,Weak,Weak,0.132,Strong,0.0485,Strong,0.2362,Strong,0.5833,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0919,Strong,8.9,Strong,NA,NA,16,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4455,0.3792,0.5118,Weak,1.15,1.07,1.22,Strong,0.3522,Strong,0.4994,Strong,0.1648,Strong,0.8794,0.838,0.9207,Weak,NA,NA,0.8286,0.7979,0.8593,Weak
2014,04,23620,Arizona,Flagstaff city,68785,22891,18152,26421,Weak,52438,45379,58489,Weak,107901,100842,115969,Weak,0.007:0.013,Weak,0.077:0.115,Weak,0.112:0.242,Weak,0.804:0.631,Weak,NA,NA,316,316,316,0.0319,Strong,Strong,tenure,All,1.3921,1.2994,1.4763,Weak,Weak,Weak,0.4609,0.5898,0.8812,Weak,Weak,Weak,0.1599,Strong,0.0203,Strong,0.1885,Strong,0.6313,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426,Strong,16.1,Strong,NA,NA,93,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4595,0.3619,0.5571,Weak,1.11,0.97,1.25,Strong,0.2692,Strong,0.4624,Strong,0.1384,Strong,0.9351,0.9056,0.9645,Weak,NA,NA,0.7447,0.6974,0.7921,Weak
2014,04,27400,Arizona,Gilbert town,239277,45379,40337,50421,Strong,87330,81783,93683,Strong,141180,137146,149953,Strong,0.021:0.023,Strong,0.100:0.126,Strong,0.098:0.080,Strong,0.781:0.770,Strong,NA,NA,454,454,454,0.0091,Strong,Strong,tenure,All,1.6992,1.4758,1.8565,Strong,Strong,Strong,0.42,0.4335,0.7997,Strong,Strong,Strong,0.0979,Strong,0.0316,Strong,0.1556,Strong,0.7149,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Strong,6.3,Strong,NA,NA,18,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4278,0.3518,0.5038,Strong,1.08,0.99,1.17,Strong,0.0113,Strong,0.0076,Strong,0.0037,Strong,0.9364,0.8988,0.974,Strong,NA,NA,0.8089,0.7856,0.8323,Strong
2014,04,27820,Arizona,Glendale city,237517,18656,15227,21681,Strong,48404,43463,54455,Strong,100842,94691,108305,Strong,0.022:0.063,Strong,0.158:0.256,Strong,0.082:0.076,Strong,0.738:0.605,Strong,NA,NA,2108,2108,2108,0.0232,Strong,Strong,tenure,All,0.8597,1.043,1.5215,Strong,Strong,Strong,0.4576,0.6576,1.0705,Strong,Strong,Strong,0.0726,Strong,0.0567,Strong,0.3693,Strong,0.5014,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3256,Strong,8.4,Strong,NA,NA,17,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2269,0.1555,0.2982,Strong,1.21,1.12,1.29,Strong,0.7246,Strong,0.7817,Strong,0.2859,Strong,0.8178,0.7578,0.8777,Strong,NA,NA,0.7203,0.6786,0.7621,Strong
2014,04,28380,Arizona,Goodyear city,75664,34085,25211,40942,Marginal,72607,60505,80674,Marginal,115969,104876,129986,Marginal,0.040:0.066,Marginal,0.184:0.217,Marginal,0.031:0.064,Marginal,0.745:0.653,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,tenure,All,NA,1.1718,1.7769,NA,Marginal,Marginal,NA,0.4199,0.9396,NA,Marginal,Marginal,0.076,Strong,0.0778,Strong,0.2842,Strong,0.5621,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Marginal,8.2,Strong,NA,NA,16,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3041,0.1878,0.4204,Marginal,NA,NA,NA,NA,0.4008,Strong,0.3796,Strong,0.1996,Strong,0.8937,0.8107,0.9767,Marginal,NA,NA,0.8195,0.7622,0.8767,Marginal
