year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality,share_poverty_exposure,share_poverty_exposure_quality,rate_juv_arrest,rate_juv_arrest_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_digital_access,share_digital_access_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,03076,Alabama,Auburn city,TRUE,All,all,20730,18879,22726,Marginal,59098,55905,62887,Marginal,125392,119794,131991,Marginal,NA,NA,NA,NA,NA,NA,0.3366,Strong,NA,NA,0.4376,0.3364,0.5388,Marginal,0.84,0.8,0.88,Strong,0.9039,0.8661,0.9417,Marginal,NA,NA,0.7527,0.7311,0.7744,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1808,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,"Black, Non-Hispanic",race-ethnicity,15537,13504,17860,Marginal,39972,36301,45520,Marginal,88338,83197,100998,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.92,1.04,Strong,0.8372,0.7558,0.9185,Marginal,NA,NA,0.6903,0.6388,0.7418,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,"White, Non-Hispanic",race-ethnicity,26893,22592,31233,Marginal,75797,72313,80208,Marginal,145527,137690,154371,Marginal,NA,NA,NA,NA,NA,NA,0.3903,Strong,NA,NA,0.4245,0.2692,0.5798,Marginal,0.83,0.79,0.87,Strong,0.9536,0.9161,0.9911,Marginal,NA,NA,0.7795,0.7528,0.8061,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Other Races and Ethnicities,race-ethnicity,18047,12031,43258,Marginal,59763,52971,75942,Marginal,157557,113114,189826,Marginal,NA,NA,NA,NA,NA,NA,0.3423,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677,0.5738,0.7801,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Hispanic,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3828,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,All,all,16031,14926,17114,Weak,42289,40611,44515,Weak,91421,86892,97453,Weak,NA,NA,NA,NA,NA,NA,0.3797,Strong,NA,NA,0.3685,0.2712,0.4657,Weak,0.94,0.92,0.96,Strong,0.8578,0.7927,0.9228,Weak,NA,NA,0.6875,0.6711,0.7038,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4304,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,"Black, Non-Hispanic",race-ethnicity,13502,12299,14669,Weak,35794,33687,37590,Weak,70630,67396,76011,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3655,0.2502,0.4809,Weak,0.96,0.95,0.98,Strong,0.8072,0.7171,0.8973,Weak,NA,NA,0.6319,0.6097,0.6541,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,"White, Non-Hispanic",race-ethnicity,25733,22003,28884,Weak,66840,63435,70630,Weak,140966,134056,152395,Weak,NA,NA,NA,NA,NA,NA,0.1764,Strong,NA,NA,NA,NA,NA,NA,0.94,0.92,0.97,Strong,0.9482,0.8891,1,Weak,NA,NA,0.7848,0.7617,0.8078,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Other Races and Ethnicities,race-ethnicity,9358,407,28073,Weak,58812,36208,79139,Weak,99592,84212,135825,Weak,NA,NA,NA,NA,NA,NA,0.1755,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6769,0.5823,0.7715,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Hispanic,race-ethnicity,19624,16584,25127,Weak,32083,29009,40748,Weak,63838,49753,102822,Weak,NA,NA,NA,NA,NA,NA,0.1426,Marginal,NA,NA,NA,NA,NA,NA,0.97,0.91,1.04,Strong,NA,NA,NA,NA,NA,NA,0.7863,0.7168,0.8557,Weak
2014,01,35896,Alabama,Hoover city,TRUE,All,all,35043,33543,36094,Weak,81815,80137,85978,Weak,166433,163004,172512,Weak,NA,NA,NA,NA,NA,NA,0,Strong,NA,NA,0.4947,0.4057,0.5837,Weak,1.04,1,1.07,Strong,0.9225,0.8869,0.9581,Weak,NA,NA,0.8055,0.7937,0.8174,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,"Black, Non-Hispanic",race-ethnicity,22592,20730,24463,Weak,54452,49190,64434,Weak,106404,100260,114564,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,1.19,1.27,Strong,NA,NA,NA,NA,NA,NA,0.7913,0.7559,0.8266,Weak
2014,01,35896,Alabama,Hoover city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,"White, Non-Hispanic",race-ethnicity,39035,37314,41460,Weak,92239,88287,96708,Weak,189336,179662,196947,Weak,NA,NA,NA,NA,NA,NA,0,Marginal,NA,NA,0.5774,0.4723,0.6826,Weak,0.97,0.94,1,Strong,0.9404,0.9052,0.9756,Weak,NA,NA,0.8088,0.7963,0.8213,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Other Races and Ethnicities,race-ethnicity,47539,39803,56387,Weak,75111,60156,97794,Weak,140896,122243,204530,Weak,NA,NA,NA,NA,NA,NA,0,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8345,0.792,0.877,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Hispanic,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Weak,NA,NA,NA,NA,NA,NA,1.3,1.2,1.41,Strong,NA,NA,NA,NA,NA,NA,0.7843,0.7277,0.8408,Weak
