year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,index_air_hazard,index_air_hazard_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_digital_access,share_digital_access_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,03076,Alabama,Auburn city,TRUE,All,all,7,Strong,0.84,0.8,0.88,Strong,NA,NA,0.4376,0.3364,0.5388,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Economically Disadvantaged,income,NA,NA,0.98,0.91,1.05,Strong,NA,NA,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,Not Economically Disadvantaged,income,NA,NA,0.74,0.69,0.78,Strong,NA,NA,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.409,0.2668,0.5512,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4782,0.3381,0.6183,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,High-Poverty,income,7,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,Not High-Poverty,income,7,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,All,all,6,Strong,0.94,0.92,0.96,Strong,NA,NA,0.3685,0.2712,0.4657,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Economically Disadvantaged,income,NA,NA,0.95,0.93,0.97,Strong,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,Not Economically Disadvantaged,income,NA,NA,0.89,0.86,0.92,Strong,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.3181,0.2229,0.4133,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4938,0.3301,0.6575,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,High-Poverty,income,4,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,Not High-Poverty,income,7,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,All,all,9,Strong,1.04,1,1.07,Strong,NA,NA,0.4947,0.4057,0.5837,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Economically Disadvantaged,income,NA,NA,1.24,1.18,1.3,Strong,NA,NA,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,Not Economically Disadvantaged,income,NA,NA,1,0.97,1.03,Strong,NA,NA,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.553,0.4382,0.6679,Weak
