year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,rate_juv_arrest,rate_juv_arrest_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,03076,Alabama,Auburn city,TRUE,All,all,20730,18879,22726,Marginal,59098,55905,62887,Marginal,125392,119794,131991,Marginal,NA,NA,0.9039,0.8661,0.9417,Marginal,0.84,0.8,0.88,Strong,0.7505,0.7294,0.7715,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Male,gender,26736,23127,32083,Marginal,76813,71865,81818,Marginal,149271,139584,157330,Marginal,NA,NA,0.892,0.8342,0.9498,Marginal,0.8,0.74,0.87,Strong,0.8111,0.7797,0.8425,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Female,gender,16844,15240,19062,Marginal,44823,40748,49079,Marginal,99511,91213,106691,Marginal,NA,NA,0.9159,0.8639,0.9678,Marginal,0.87,0.81,0.93,Strong,0.6942,0.6658,0.7227,Marginal
2014,01,07000,Alabama,Birmingham city,TRUE,All,all,16031,14926,17114,Weak,42289,40611,44515,Weak,91421,86892,97453,Weak,NA,NA,0.8578,0.7927,0.9228,Weak,0.94,0.92,0.96,Strong,0.7043,0.6853,0.7232,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Male,gender,20730,18582,23498,Weak,51613,48178,55688,Weak,107797,102684,114707,Weak,NA,NA,0.8362,0.7436,0.9287,Weak,0.9,0.87,0.93,Strong,0.7485,0.7188,0.7782,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Female,gender,13405,12162,15077,Weak,37314,34757,39389,Weak,80208,75182,85021,Weak,NA,NA,0.8758,0.7858,0.9659,Weak,0.96,0.93,0.99,Strong,0.6667,0.6381,0.6953,Weak
2014,01,35896,Alabama,Hoover city,TRUE,All,all,35043,33543,36094,Weak,81815,80137,85978,Weak,166433,163004,172512,Weak,NA,NA,0.9225,0.8869,0.9581,Weak,1.04,1,1.07,Strong,0.8013,0.7887,0.814,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Male,gender,44087,41460,47680,Weak,100191,96121,104939,Weak,193482,186083,204146,Weak,NA,NA,NA,NA,NA,NA,1.01,0.96,1.05,Strong,0.8964,0.8818,0.9111,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Female,gender,27298,24463,30404,Weak,65904,60598,69272,Weak,139027,133110,146494,Weak,NA,NA,0.9383,0.8881,0.9884,Weak,1,0.95,1.04,Strong,0.7133,0.6905,0.7362,Weak
2014,01,37000,Alabama,Huntsville city,TRUE,All,all,26573,24183,28193,Weak,68177,65503,70630,Weak,148109,142617,153891,Weak,NA,NA,0.9414,0.9121,0.9706,Weak,0.94,0.91,0.96,Strong,0.741,0.7259,0.7561,Weak
2014,01,37000,Alabama,Huntsville city,TRUE,Male,gender,37430,33420,40907,Weak,87743,83336,91819,Weak,171645,164694,179833,Weak,NA,NA,0.9329,0.8868,0.9789,Weak,0.84,0.8,0.87,Strong,0.8169,0.7968,0.837,Weak
2014,01,37000,Alabama,Huntsville city,TRUE,Female,gender,19901,17966,21732,Weak,50256,46788,54330,Weak,110019,102934,121617,Weak,NA,NA,0.9523,0.9253,0.9794,Weak,1.02,0.99,1.06,Strong,0.6699,0.6436,0.6962,Weak
2014,01,50000,Alabama,Mobile city,TRUE,All,all,19015,17930,20454,Weak,49462,46989,52517,Weak,101869,98261,108661,Weak,NA,NA,0.7771,0.6939,0.8603,Weak,0.73,0.72,0.75,Strong,0.6964,0.6752,0.7176,Weak
