year,state,county,subgroup_type,subgroup,environmental,environmental_quality
2014,01,001,all,All,5.738374201973302,1
2014,01,001,poverty,High Poverty Tracts,NA,NA
2014,01,001,poverty,Not High Poverty Tracts,5.741248480275018,1
2014,01,003,all,All,37.74025783844565,1
2014,01,003,poverty,High Poverty Tracts,NA,NA
2014,01,003,poverty,Not High Poverty Tracts,37.68677143278737,1
2014,01,005,all,All,8.555035215162802,1
2014,01,005,poverty,High Poverty Tracts,NA,NA
2014,01,005,poverty,Not High Poverty Tracts,8.548767883370505,1
2014,01,007,all,All,11.901690725290248,1
2014,01,007,poverty,High Poverty Tracts,NA,NA
2014,01,007,poverty,Not High Poverty Tracts,11.958009597806216,1
2014,01,009,all,All,25.647133315985776,1
2014,01,009,poverty,High Poverty Tracts,NA,NA
2014,01,009,poverty,Not High Poverty Tracts,25.330791875807442,1
2014,01,011,all,All,5.955017301038063,1
2014,01,011,poverty,High Poverty Tracts,NA,NA
2014,01,011,poverty,Not High Poverty Tracts,5.888448190381755,1
2014,01,013,all,All,13.952199970764507,1
2014,01,013,poverty,High Poverty Tracts,NA,NA
2014,01,013,poverty,Not High Poverty Tracts,13.978422072282717,1
2014,01,015,all,All,15.323204137012954,1
2014,01,015,poverty,High Poverty Tracts,12.724843132698117,1
2014,01,015,poverty,Not High Poverty Tracts,15.540693196405648,1
2014,01,017,all,All,11.415798891202957,1
2014,01,017,poverty,High Poverty Tracts,NA,NA
2014,01,017,poverty,Not High Poverty Tracts,11.419850011717834,1
2014,01,019,all,All,22.985331387758237,1
2014,01,019,poverty,High Poverty Tracts,NA,NA
2014,01,019,poverty,Not High Poverty Tracts,22.728993261989693,1
2014,01,021,all,All,12.598958452296658,1
2014,01,021,poverty,High Poverty Tracts,NA,NA
2014,01,021,poverty,Not High Poverty Tracts,12.62920197940959,1
2014,01,023,all,All,19.656208474826517,1
2014,01,023,poverty,High Poverty Tracts,NA,NA
2014,01,023,poverty,Not High Poverty Tracts,19.734680263032498,1
2014,01,025,all,All,14.202992380877186,1
2014,01,025,poverty,High Poverty Tracts,NA,NA
2014,01,025,poverty,Not High Poverty Tracts,14.032874910963782,1
2014,01,027,all,All,19.125651758830873,1
2014,01,027,poverty,High Poverty Tracts,NA,NA
2014,01,027,poverty,Not High Poverty Tracts,19.202773925104022,1
2014,01,029,all,All,23.53302201467645,1
2014,01,029,poverty,High Poverty Tracts,NA,NA
2014,01,029,poverty,Not High Poverty Tracts,23.823350086512317,1
2014,01,031,all,All,14.605724874817648,1
2014,01,031,poverty,High Poverty Tracts,NA,NA
2014,01,031,poverty,Not High Poverty Tracts,14.624382086028382,1
2014,01,033,all,All,31.889559743810903,1
2014,01,033,poverty,High Poverty Tracts,NA,NA
2014,01,033,poverty,Not High Poverty Tracts,31.83374133006936,1
