statefip,puma,place,pop20,afact,afact2,totpop,placepop,placewgt,products,sum_products,place_pop,puma_flag,small_place
01,01900,03076,76143,0.437,1,110522959,76143,6.88933780717905e-4,0.437,0.437,76143,2,1
01,01200,07000,1904,0.0085,0.0095,110522959,200733,0.0018162108743396926,8.075e-5,0.7294463099999999,200733,2,0
01,01301,07000,69895,0.7968,0.3482,110522959,200733,0.0018162108743396926,0.27744576,0.7294463099999999,200733,2,0
01,01302,07000,93801,0.9364,0.4673,110522959,200733,0.0018162108743396926,0.43757972,0.7294463099999999,200733,2,0
01,01303,07000,9953,0.0543,0.0496,110522959,200733,0.0018162108743396926,0.00269328,0.7294463099999999,200733,2,0
01,01304,07000,19436,0.1059,0.0968,110522959,200733,0.0018162108743396926,0.010251119999999999,0.7294463099999999,200733,2,0
01,01305,07000,5744,0.0488,0.0286,110522959,200733,0.0018162108743396926,0.00139568,0.7294463099999999,200733,2,0
01,01200,35896,26516,0.1181,0.2863,110522959,92606,8.378892570185349e-4,0.03381203,0.21381530999999998,92606,3,1
01,01303,35896,52707,0.2874,0.5692,110522959,92606,8.378892570185349e-4,0.16358808,0.21381530999999998,92606,3,1
01,01305,35896,13383,0.1136,0.1445,110522959,92606,8.378892570185349e-4,0.0164152,0.21381530999999998,92606,3,1
01,00200,37000,19099,0.0901,0.0888,110522959,214999,0.0019452881278721466,0.00800088,0.66793967,214999,2,0
01,00301,37000,67102,0.4921,0.3121,110522959,214999,0.0019452881278721466,0.15358440999999998,0.66793967,214999,2,0
01,00302,37000,105185,0.9959,0.4892,110522959,214999,0.0019452881278721466,0.48719428000000004,0.66793967,214999,2,0
01,00500,37000,23613,0.1745,0.1098,110522959,214999,0.0019452881278721466,0.0191601,0.66793967,214999,2,0
01,02701,50000,80009,0.808,0.4278,110522959,187041,0.0016923271118718418,0.34566240000000004,0.83414641,187041,1,0
01,02702,50000,100417,0.9077,0.5369,110522959,187041,0.0016923271118718418,0.48734413,0.83414641,187041,1,0
01,02703,50000,6615,0.0322,0.0354,110522959,187041,0.0016923271118718418,0.00113988,0.83414641,187041,1,0
01,02000,51000,185794,0.9455,0.9262,110522959,200603,0.0018150346481403924,0.8757221000000001,0.88148588,200603,1,0
01,02100,51000,14809,0.0781,0.0738,110522959,200603,0.0018150346481403924,0.0057637800000000005,0.88148588,200603,1,0
01,01500,77256,4803,0.0383,0.0482,110522959,99600,9.011702265408945e-4,0.00184606,0.74815244,99600,2,1
01,01600,77256,94797,0.7841,0.9518,110522959,99600,9.011702265408945e-4,0.74630638,0.74815244,99600,2,1
02,00101,03000,132634,0.9987,0.4554,110522959,291247,0.0026351719374433326,0.45480798000000006,0.99920804,291247,1,0
02,00102,03000,158557,1,0.5444,110522959,291247,0.0026351719374433326,0.5444,0.99920804,291247,1,0
02,00200,03000,56,3e-4,2e-4,110522959,291247,0.0026351719374433326,6e-8,0.99920804,291247,1,0
04,00132,04720,26,2e-4,3e-4,110522959,89334,8.082845483715289e-4,6e-8,0.73268019,89334,2,1
04,00133,04720,89308,0.7329,0.9997,110522959,89334,8.082845483715289e-4,0.73268013,0.73268019,89334,2,1
04,00132,07940,8501,0.0576,0.0929,110522959,91502,8.279003822183227e-4,0.00535104,0.45019287999999996,91502,2,1
04,00134,07940,83001,0.4904,0.9071,110522959,91502,8.279003822183227e-4,0.44484184,0.45019287999999996,91502,2,1
04,00100,12000,1176,0.0066,0.0043,110522959,275987,0.0024971010774331513,2.838e-5,0.82942798,275987,1,0
04,00105,12000,3506,0.0229,0.0127,110522959,275987,0.0024971010774331513,2.9083e-4,0.82942798,275987,1,0
04,00106,12000,120200,0.987,0.4355,110522959,275987,0.0024971010774331513,0.4298385,0.82942798,275987,1,0
04,00107,12000,110440,0.8591,0.4002,110522959,275987,0.0024971010774331513,0.34381182,0.82942798,275987,1,0
04,00108,12000,40665,0.3765,0.1473,110522959,275987,0.0024971010774331513,0.05545844999999999,0.82942798,275987,1,0
04,00400,23620,76831,0.5316,1,110522959,76831,6.951587316803561e-4,0.5316,0.5316,76831,2,1
04,00100,27400,118789,0.6624,0.4434,110522959,267917,0.002424084574138121,0.29370816,0.83213477,267917,1,0
04,00104,27400,452,0.0042,0.0017,110522959,267917,0.002424084574138121,7.139999999999999e-6,0.83213477,267917,1,0
04,00105,27400,148676,0.9703,0.5549,110522959,267917,0.002424084574138121,0.53841947,0.83213477,267917,1,0
