year,state,county,state_name,county_name,population
2014,01,001,Alabama,Autauga County,NA
2014,01,003,Alabama,Baldwin County,NA
2014,01,005,Alabama,Barbour County,NA
2014,01,007,Alabama,Bibb County,NA
2014,01,009,Alabama,Blount County,NA
2014,01,011,Alabama,Bullock County,NA
2014,01,013,Alabama,Butler County,NA
2014,01,015,Alabama,Calhoun County,NA
2014,01,017,Alabama,Chambers County,NA
2014,01,019,Alabama,Cherokee County,NA
2014,01,021,Alabama,Chilton County,NA
2014,01,023,Alabama,Choctaw County,NA
2014,01,025,Alabama,Clarke County,NA
2014,01,027,Alabama,Clay County,NA
2014,01,029,Alabama,Cleburne County,NA
2014,01,031,Alabama,Coffee County,NA
2014,01,033,Alabama,Colbert County,NA
2014,01,035,Alabama,Conecuh County,NA
2014,01,037,Alabama,Coosa County,NA
2014,01,039,Alabama,Covington County,NA
2014,01,041,Alabama,Crenshaw County,NA
2014,01,043,Alabama,Cullman County,NA
2014,01,045,Alabama,Dale County,NA
2014,01,047,Alabama,Dallas County,NA
2014,01,049,Alabama,DeKalb County,NA
2014,01,051,Alabama,Elmore County,NA
2014,01,053,Alabama,Escambia County,NA
2014,01,055,Alabama,Etowah County,NA
2014,01,057,Alabama,Fayette County,NA
2014,01,059,Alabama,Franklin County,NA
2014,01,061,Alabama,Geneva County,NA
2014,01,063,Alabama,Greene County,NA
2014,01,065,Alabama,Hale County,NA
2014,01,067,Alabama,Henry County,NA
2014,01,069,Alabama,Houston County,NA
2014,01,071,Alabama,Jackson County,NA
2014,01,073,Alabama,Jefferson County,NA
2014,01,075,Alabama,Lamar County,NA
2014,01,077,Alabama,Lauderdale County,NA
2014,01,079,Alabama,Lawrence County,NA
2014,01,081,Alabama,Lee County,NA
2014,01,083,Alabama,Limestone County,NA
2014,01,085,Alabama,Lowndes County,NA
2014,01,087,Alabama,Macon County,NA
2014,01,089,Alabama,Madison County,NA
2014,01,091,Alabama,Marengo County,NA
2014,01,093,Alabama,Marion County,NA
2014,01,095,Alabama,Marshall County,NA
2014,01,097,Alabama,Mobile County,NA
2014,01,099,Alabama,Monroe County,NA
2014,01,101,Alabama,Montgomery County,NA
2014,01,103,Alabama,Morgan County,NA
2014,01,105,Alabama,Perry County,NA
2014,01,107,Alabama,Pickens County,NA
2014,01,109,Alabama,Pike County,NA
2014,01,111,Alabama,Randolph County,NA
2014,01,113,Alabama,Russell County,NA
2014,01,115,Alabama,St. Clair County,NA
2014,01,117,Alabama,Shelby County,NA
2014,01,119,Alabama,Sumter County,NA
2014,01,121,Alabama,Talladega County,NA
2014,01,123,Alabama,Tallapoosa County,NA
2014,01,125,Alabama,Tuscaloosa County,NA
2014,01,127,Alabama,Walker County,NA
2014,01,129,Alabama,Washington County,NA
2014,01,131,Alabama,Wilcox County,NA
2014,01,133,Alabama,Winston County,NA
2014,02,013,Alaska,Aleutians East Borough,NA
2014,02,016,Alaska,Aleutians West Census Area,NA
2014,02,020,Alaska,Anchorage Municipality,NA
2014,02,050,Alaska,Bethel Census Area,NA
2014,02,060,Alaska,Bristol Bay Borough,NA
2014,02,068,Alaska,Denali Borough,NA
2014,02,070,Alaska,Dillingham Census Area,NA
2014,02,090,Alaska,Fairbanks North Star Borough,NA
2014,02,100,Alaska,Haines Borough,NA
2014,02,105,Alaska,Hoonah-Angoon Census Area,NA
2014,02,110,Alaska,Juneau City and Borough,NA
2014,02,122,Alaska,Kenai Peninsula Borough,NA
2014,02,130,Alaska,Ketchikan Gateway Borough,NA
2014,02,150,Alaska,Kodiak Island Borough,NA
2014,02,158,Alaska,Kusilvak Census Area,NA
2014,02,164,Alaska,Lake and Peninsula Borough,NA
2014,02,170,Alaska,Matanuska-Susitna Borough,NA
2014,02,180,Alaska,Nome Census Area,NA
2014,02,185,Alaska,North Slope Borough,NA
2014,02,188,Alaska,Northwest Arctic Borough,NA
2014,02,195,Alaska,Petersburg Borough,NA
2014,02,198,Alaska,Prince of Wales-Hyder Census Area,NA
2014,02,220,Alaska,Sitka City and Borough,NA
2014,02,230,Alaska,Skagway Municipality,NA
2014,02,240,Alaska,Southeast Fairbanks Census Area,NA
2014,02,261,Alaska,Valdez-Cordova Census Area,NA
2014,02,275,Alaska,Wrangell City and Borough,NA
2014,02,282,Alaska,Yakutat City and Borough,NA
2014,02,290,Alaska,Yukon-Koyukuk Census Area,NA
2014,04,001,Arizona,Apache County,NA
2014,04,003,Arizona,Cochise County,NA
2014,04,005,Arizona,Coconino County,NA
2014,04,007,Arizona,Gila County,NA
2014,04,009,Arizona,Graham County,NA
2014,04,011,Arizona,Greenlee County,NA
2014,04,012,Arizona,La Paz County,NA
2014,04,013,Arizona,Maricopa County,NA
2014,04,015,Arizona,Mohave County,NA
2014,04,017,Arizona,Navajo County,NA
2014,04,019,Arizona,Pima County,NA
2014,04,021,Arizona,Pinal County,NA
2014,04,023,Arizona,Santa Cruz County,NA
2014,04,025,Arizona,Yavapai County,NA
2014,04,027,Arizona,Yuma County,NA
2014,05,001,Arkansas,Arkansas County,NA
2014,05,003,Arkansas,Ashley County,NA
2014,05,005,Arkansas,Baxter County,NA
2014,05,007,Arkansas,Benton County,NA
2014,05,009,Arkansas,Boone County,NA
2014,05,011,Arkansas,Bradley County,NA
2014,05,013,Arkansas,Calhoun County,NA
2014,05,015,Arkansas,Carroll County,NA
2014,05,017,Arkansas,Chicot County,NA
2014,05,019,Arkansas,Clark County,NA
2014,05,021,Arkansas,Clay County,NA
2014,05,023,Arkansas,Cleburne County,NA
2014,05,025,Arkansas,Cleveland County,NA
2014,05,027,Arkansas,Columbia County,NA
2014,05,029,Arkansas,Conway County,NA
2014,05,031,Arkansas,Craighead County,NA
2014,05,033,Arkansas,Crawford County,NA
2014,05,035,Arkansas,Crittenden County,NA
2014,05,037,Arkansas,Cross County,NA
2014,05,039,Arkansas,Dallas County,NA
2014,05,041,Arkansas,Desha County,NA
2014,05,043,Arkansas,Drew County,NA
2014,05,045,Arkansas,Faulkner County,NA
2014,05,047,Arkansas,Franklin County,NA
2014,05,049,Arkansas,Fulton County,NA
2014,05,051,Arkansas,Garland County,NA
2014,05,053,Arkansas,Grant County,NA
2014,05,055,Arkansas,Greene County,NA
2014,05,057,Arkansas,Hempstead County,NA
2014,05,059,Arkansas,Hot Spring County,NA
2014,05,061,Arkansas,Howard County,NA
2014,05,063,Arkansas,Independence County,NA
2014,05,065,Arkansas,Izard County,NA
2014,05,067,Arkansas,Jackson County,NA
2014,05,069,Arkansas,Jefferson County,NA
2014,05,071,Arkansas,Johnson County,NA
2014,05,073,Arkansas,Lafayette County,NA
2014,05,075,Arkansas,Lawrence County,NA
2014,05,077,Arkansas,Lee County,NA
2014,05,079,Arkansas,Lincoln County,NA
2014,05,081,Arkansas,Little River County,NA
2014,05,083,Arkansas,Logan County,NA
2014,05,085,Arkansas,Lonoke County,NA
2014,05,087,Arkansas,Madison County,NA
2014,05,089,Arkansas,Marion County,NA
2014,05,091,Arkansas,Miller County,NA
2014,05,093,Arkansas,Mississippi County,NA
2014,05,095,Arkansas,Monroe County,NA
2014,05,097,Arkansas,Montgomery County,NA
2014,05,099,Arkansas,Nevada County,NA
2014,05,101,Arkansas,Newton County,NA
2014,05,103,Arkansas,Ouachita County,NA
2014,05,105,Arkansas,Perry County,NA
2014,05,107,Arkansas,Phillips County,NA
2014,05,109,Arkansas,Pike County,NA
2014,05,111,Arkansas,Poinsett County,NA
2014,05,113,Arkansas,Polk County,NA
2014,05,115,Arkansas,Pope County,NA
2014,05,117,Arkansas,Prairie County,NA
2014,05,119,Arkansas,Pulaski County,NA
2014,05,121,Arkansas,Randolph County,NA
2014,05,123,Arkansas,St. Francis County,NA
2014,05,125,Arkansas,Saline County,NA
2014,05,127,Arkansas,Scott County,NA
2014,05,129,Arkansas,Searcy County,NA
2014,05,131,Arkansas,Sebastian County,NA
2014,05,133,Arkansas,Sevier County,NA
2014,05,135,Arkansas,Sharp County,NA
2014,05,137,Arkansas,Stone County,NA
2014,05,139,Arkansas,Union County,NA
2014,05,141,Arkansas,Van Buren County,NA
2014,05,143,Arkansas,Washington County,NA
2014,05,145,Arkansas,White County,NA
2014,05,147,Arkansas,Woodruff County,NA
2014,05,149,Arkansas,Yell County,NA
2014,06,001,California,Alameda County,NA
2014,06,003,California,Alpine County,NA
2014,06,005,California,Amador County,NA
2014,06,007,California,Butte County,NA
2014,06,009,California,Calaveras County,NA
2014,06,011,California,Colusa County,NA
2014,06,013,California,Contra Costa County,NA
2014,06,015,California,Del Norte County,NA
2014,06,017,California,El Dorado County,NA
2014,06,019,California,Fresno County,NA
2014,06,021,California,Glenn County,NA
2014,06,023,California,Humboldt County,NA
2014,06,025,California,Imperial County,NA
2014,06,027,California,Inyo County,NA
2014,06,029,California,Kern County,NA
2014,06,031,California,Kings County,NA
2014,06,033,California,Lake County,NA
2014,06,035,California,Lassen County,NA
2014,06,037,California,Los Angeles County,NA
2014,06,039,California,Madera County,NA
2014,06,041,California,Marin County,NA
2014,06,043,California,Mariposa County,NA
2014,06,045,California,Mendocino County,NA
2014,06,047,California,Merced County,NA
2014,06,049,California,Modoc County,NA
2014,06,051,California,Mono County,NA
2014,06,053,California,Monterey County,NA
2014,06,055,California,Napa County,NA
2014,06,057,California,Nevada County,NA
2014,06,059,California,Orange County,NA
2014,06,061,California,Placer County,NA
2014,06,063,California,Plumas County,NA
2014,06,065,California,Riverside County,NA
2014,06,067,California,Sacramento County,NA
2014,06,069,California,San Benito County,NA
2014,06,071,California,San Bernardino County,NA
2014,06,073,California,San Diego County,NA
2014,06,075,California,San Francisco County,NA
2014,06,077,California,San Joaquin County,NA
2014,06,079,California,San Luis Obispo County,NA
2014,06,081,California,San Mateo County,NA
2014,06,083,California,Santa Barbara County,NA
2014,06,085,California,Santa Clara County,NA
2014,06,087,California,Santa Cruz County,NA
2014,06,089,California,Shasta County,NA
2014,06,091,California,Sierra County,NA
2014,06,093,California,Siskiyou County,NA
2014,06,095,California,Solano County,NA
2014,06,097,California,Sonoma County,NA
2014,06,099,California,Stanislaus County,NA
2014,06,101,California,Sutter County,NA
2014,06,103,California,Tehama County,NA
2014,06,105,California,Trinity County,NA
2014,06,107,California,Tulare County,NA
2014,06,109,California,Tuolumne County,NA
2014,06,111,California,Ventura County,NA
2014,06,113,California,Yolo County,NA
2014,06,115,California,Yuba County,NA
2014,08,001,Colorado,Adams County,NA
2014,08,003,Colorado,Alamosa County,NA
2014,08,005,Colorado,Arapahoe County,NA
2014,08,007,Colorado,Archuleta County,NA
2014,08,009,Colorado,Baca County,NA
2014,08,011,Colorado,Bent County,NA
2014,08,013,Colorado,Boulder County,NA
2014,08,014,Colorado,Broomfield County,NA
2014,08,015,Colorado,Chaffee County,NA
2014,08,017,Colorado,Cheyenne County,NA
2014,08,019,Colorado,Clear Creek County,NA
2014,08,021,Colorado,Conejos County,NA
