crosswalk_period,statefip,county,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,01,001,02100,0.3066,1,54571,0.3066,0.3066,3
2012,01,003,02600,1,1,182265,1,1,1
2012,01,005,02400,0.1885,1,27457,0.1885,0.1885,3
2012,01,007,01700,0.1674,1,22915,0.1674,0.1674,3
2012,01,009,00800,0.4068,1,57322,0.4068,0.4068,2
2012,01,011,02400,0.0749,1,10914,0.0749,0.0749,3
2012,01,013,02300,0.1709,1,20947,0.1709,0.1709,3
2012,01,015,01100,1,1,118572,1,1,1
2012,01,017,01800,0.2612,1,34215,0.2612,0.2612,3
2012,01,019,01000,0.1623,1,25989,0.1623,0.1623,3
2012,01,021,01800,0.3331,1,43643,0.3331,0.3331,3
2012,01,023,02200,0.0965,1,13859,0.0965,0.0965,3
2012,01,025,02200,0.1799,1,25833,0.1799,0.1799,3
2012,01,027,01000,0.087,1,13932,0.087,0.087,3
2012,01,029,01000,0.0935,1,14972,0.0935,0.0935,3
2012,01,031,02300,0.4075,1,49948,0.4075,0.4075,2
2012,01,033,00100,0.2915,1,54428,0.2915,0.2915,3
2012,01,035,02200,0.0921,1,13228,0.0921,0.0921,3
2012,01,037,01800,0.0881,1,11539,0.0881,0.0881,3
2012,01,039,02300,0.3081,1,37765,0.3081,0.3081,3
2012,01,041,02300,0.1135,1,13906,0.1135,0.1135,3
2012,01,043,00700,0.7666,1,80406,0.7666,0.7666,1
2012,01,045,02500,0.2565,1,50251,0.2565,0.2565,3
2012,01,047,01700,0.32,1,43820,0.32,0.32,3
2012,01,049,00400,0.5719,1,71109,0.5719,0.5719,2
2012,01,051,02100,0.4455,1,79303,0.4455,0.4455,2
2012,01,053,02200,0.2669,1,38319,0.2669,0.2669,3
2012,01,055,00900,1,1,104430,1,1,1
2012,01,057,01400,0.1416,1,17241,0.1416,0.1416,3
2012,01,059,00100,0.1698,1,31704,0.1698,0.1698,3
2012,01,061,02500,0.1368,1,26790,0.1368,0.1368,3
2012,01,063,01700,0.0661,1,9045,0.0661,0.0661,3
2012,01,065,01700,0.1151,1,15760,0.1151,0.1151,3
