state,puma12,county,pop20,afact,AFACT2
1,100,1033,57227,0.301,1
1,100,1059,32113,0.1689,1
1,100,1077,93564,0.4921,1
1,100,1093,7230,0.038,0.2464
1,200,1083,103570,0.4884,1
1,200,1089,108476,0.5116,0.2795
1,301,1089,136356,1,0.3513
1,302,1089,105621,1,0.2721
1,400,1049,71608,0.5766,1
1,400,1071,52579,0.4234,1
1,500,1089,37700,0.2786,0.0971
1,500,1095,97612,0.7214,1
1,600,1079,33073,0.2113,1
1,600,1103,123421,0.7887,1
1,700,1043,87866,0.7887,1
1,700,1133,23540,0.2113,1
1,800,1009,59134,0.3922,1
1,800,1073,545,0.0036,0.0008
1,800,1115,91103,0.6042,1
1,900,1055,103436,1,1
1,1000,1019,24971,0.1577,1
1,1000,1027,14236,0.0899,1
1,1000,1029,15056,0.0951,1
1,1000,1111,21967,0.1387,1
1,1000,1121,82149,0.5187,1
1,1100,1015,116441,1,1
1,1200,1073,2187,0.0097,0.0032
1,1200,1117,222379,0.9903,0.9971
1,1301,1073,87721,1,0.13
1,1302,1073,100177,1,0.1485
1,1303,1073,182962,0.9976,0.2712
1,1303,1117,438,0.0024,0.002
1,1304,1073,183511,1,0.272
1,1305,1073,117618,0.9982,0.1743
1,1305,1117,207,0.0018,0.0009
1,1400,1057,16321,0.1386,1
1,1400,1075,13972,0.1187,1
1,1400,1093,22111,0.1878,0.7536
1,1400,1127,65342,0.5549,1
1,1500,1107,19123,0.1527,1
1,1500,1125,106131,0.8473,0.4675
1,1600,1125,120905,1,0.5325
1,1700,1007,22293,0.1806,1
1,1700,1047,38462,0.3116,1
1,1700,1063,7730,0.0626,1
1,1700,1065,14785,0.1198,1
1,1700,1091,19323,0.1565,1
1,1700,1105,8511,0.0689,1
1,1700,1119,12345,0.1,1
1,1800,1017,34772,0.2645,1
1,1800,1021,45014,0.3424,1
1,1800,1037,10387,0.079,1
1,1800,1123,41311,0.3142,1
1,1900,1081,174241,1,1
1,2000,1101,196511,1,0.8583
1,2100,1001,58805,0.3103,1
1,2100,1051,87977,0.4642,1
1,2100,1085,10311,0.0544,1
1,2100,1101,32443,0.1712,0.1417
1,2200,1023,12665,0.0975,1
1,2200,1025,23087,0.1778,1
1,2200,1035,11597,0.0893,1
1,2200,1053,36757,0.283,1
1,2200,1099,19772,0.1522,1
1,2200,1129,15388,0.1185,1
1,2200,1131,10600,0.0816,1
1,2300,1013,19051,0.1545,1
1,2300,1031,53465,0.4337,1
1,2300,1039,37570,0.3048,1
1,2300,1041,13194,0.107,1
1,2400,1005,25223,0.1712,1
1,2400,1011,10357,0.0703,1
1,2400,1087,19532,0.1326,1
1,2400,1109,33009,0.2241,1
1,2400,1113,59183,0.4018,1
1,2500,1045,49326,0.2462,1
1,2500,1061,26659,0.1331,1
1,2500,1067,17146,0.0856,1
1,2500,1069,107202,0.5351,1
1,2600,1003,231767,1,1
1,2701,1097,99024,1,0.2387
1,2702,1097,110631,1,0.2667
1,2703,1097,205154,1,0.4946
2,101,2020,132634,0.9987,0.4554
2,101,2170,166,0.0012,0.0016
2,102,2020,158557,1,0.5444
2,102,2122,1,0,0
2,200,2020,56,0.0003,0.0002
2,200,2063,1,0,0.0001
2,200,2068,20,0.0001,0.0124
2,200,2122,58798,0.3547,1
2,200,2170,106915,0.6449,0.9984
2,200,2240,1,0,0.0001
2,300,2063,7101,0.0435,0.9999
2,300,2066,2617,0.016,1
2,300,2068,1598,0.0098,0.987
2,300,2090,95592,0.5855,0.9993
2,300,2100,2080,0.0127,1
2,300,2105,5,0,0.0021
2,300,2110,32232,0.1974,0.9993
2,300,2130,13948,0.0854,1
2,300,2230,1240,0.0076,1
2,300,2240,6807,0.0417,0.9999
2,300,2290,59,0.0004,0.011
2,400,2013,3420,0.0303,1
2,400,2016,5232,0.0463,1
2,400,2050,18666,0.1652,1
2,400,2060,844,0.0075,1
2,400,2068,1,0,0.0006
2,400,2070,4857,0.043,1
2,400,2090,63,0.0006,0.0007
2,400,2105,2360,0.0209,0.9979
2,400,2110,23,0.0002,0.0007
2,400,2150,13101,0.116,1
2,400,2158,8368,0.0741,1
2,400,2164,1476,0.0131,1
2,400,2180,10046,0.0889,1
2,400,2185,11031,0.0977,1
2,400,2188,7793,0.069,1
2,400,2195,3398,0.0301,1
2,400,2198,5753,0.0509,1
2,400,2220,8458,0.0749,1
2,400,2275,2127,0.0188,1
2,400,2282,662,0.0059,1
2,400,2290,5284,0.0468,0.989
4,100,4013,179340,1,0.0406
4,101,4013,186095,1,0.0421
4,102,4013,144066,1,0.0326
4,103,4013,114776,1,0.026
4,104,4013,106653,1,0.0241
4,105,4013,153232,1,0.0347
4,106,4013,121782,1,0.0275
4,107,4013,128551,1,0.0291
4,108,4013,107998,1,0.0244
4,109,4013,117306,1,0.0265
4,110,4013,128268,1,0.029
4,111,4013,111517,0.9998,0.0252
4,111,4021,23,0.0002,0.0001
4,112,4013,130991,1,0.0296
4,113,4013,105180,1,0.0238
4,114,4013,111355,1,0.0252
4,115,4013,109655,1,0.0248
4,116,4013,110648,1,0.025
4,117,4013,104518,1,0.0236
4,118,4013,118564,1,0.0268
4,119,4013,117315,1,0.0265
4,120,4013,108724,1,0.0246
4,121,4013,151343,1,0.0342
4,122,4013,112213,1,0.0254
4,123,4013,121166,1,0.0274
4,124,4013,114799,1,0.026
4,125,4013,113774,1,0.0257
4,126,4013,131160,1,0.0297
4,127,4013,120988,1,0.0274
4,128,4013,108237,1,0.0245
4,129,4013,142252,1,0.0322
4,130,4013,125567,1,0.0284
4,131,4013,123745,1,0.028
4,132,4013,147696,1,0.0334
4,133,4013,121860,1,0.0276
4,134,4013,169224,0.9999,0.0383
4,134,4021,14,0.0001,0
4,134,4025,9,0.0001,0
4,201,4019,104553,1,0.1002
4,202,4019,129900,0.9999,0.1245
4,202,4021,17,0.0001,0
4,203,4019,120071,1,0.1151
4,204,4019,109221,1,0.1047
4,205,4003,4,0,0
4,205,4019,150888,1,0.1446
4,206,4019,103724,1,0.0994
4,207,4019,102692,1,0.0984
4,208,4019,102958,1,0.0987
4,209,4019,119421,1,0.1145
4,300,4001,66021,0.3822,1
4,300,4017,106717,0.6178,1
4,400,4005,144459,0.9995,0.9956
4,400,4025,65,0.0004,0.0003
4,500,4005,642,0.0027,0.0044
4,500,4025,236135,0.9973,0.9997
4,600,4012,16557,0.072,1
4,600,4015,213267,0.928,1
4,700,4027,203881,1,1
4,800,4003,9,0.0001,0.0001
4,800,4007,53272,0.4824,1
4,800,4009,38533,0.3489,1
4,800,4011,9563,0.0866,1
4,800,4021,9061,0.082,0.0213
4,803,4013,10,0.0001,0
4,803,4021,147554,0.9999,0.347
4,805,4019,1,0,0
4,805,4021,124418,1,0.2926
4,807,4021,144177,1,0.339
4,900,4003,125434,0.7246,0.9999
4,900,4019,4,0,0
4,900,4023,47669,0.2754,1
5,100,5007,282972,1,0.9952
5,200,5007,1321,0.0053,0.0046
5,200,5033,74,0.0003,0.0012
5,200,5087,61,0.0002,0.0037
5,200,5143,245845,0.9941,0.9999
5,300,5005,41499,0.2668,0.9969
5,300,5007,40,0.0003,0.0001
5,300,5009,37373,0.2403,1
5,300,5015,28260,0.1817,1
5,300,5087,16453,0.1058,0.9959
5,300,5089,16826,0.1082,1
5,300,5101,7225,0.0465,1
5,300,5129,7721,0.0496,0.9863
5,300,5137,63,0.0004,0.0051
5,300,5141,30,0.0002,0.0019
5,300,5143,26,0.0002,0.0001
5,400,5005,128,0.001,0.0031
5,400,5023,24526,0.1834,0.9925
5,400,5045,30,0.0002,0.0002
5,400,5049,12075,0.0903,1
5,400,5063,37907,0.2835,0.9992
5,400,5065,13577,0.1015,1
5,400,5075,45,0.0003,0.0028
5,400,5121,18,0.0001,0.001
5,400,5129,100,0.0007,0.0128
5,400,5135,17255,0.129,0.9991
5,400,5137,12296,0.092,0.9949
5,400,5141,15766,0.1179,0.9981
5,500,5021,14552,0.074,1
5,500,5031,101510,0.5165,0.9126
5,500,5055,45736,0.2327,1
5,500,5067,1,0,0.0001
5,500,5075,16171,0.0823,0.9972
5,500,5121,18553,0.0944,0.999
5,500,5135,16,0.0001,0.0009
5,600,5031,9721,0.0986,0.0874
