state,puma12,county,pop10,afact,AFACT2
1,100,1033,54428,0.292,1
1,100,1059,31704,0.17,1
1,100,1077,92709,0.497,1
1,100,1093,7854,0.042,0.255
1,200,1083,82782,0.482,1
1,200,1089,89039,0.518,0.266
1,301,1089,118924,1,0.355
1,302,1089,101522,1,0.303
1,400,1049,71109,0.572,1
1,400,1071,53227,0.428,1
1,500,1089,25326,0.214,0.076
1,500,1095,93019,0.786,1
1,600,1079,34339,0.223,1
1,600,1103,119490,0.777,1
1,700,1043,80406,0.767,1
1,700,1133,24484,0.233,1
1,800,1009,57322,0.407,1
1,800,1115,83593,0.593,1
1,900,1055,104430,1,1
1,1000,1019,25989,0.162,1
1,1000,1027,13932,0.087,1
1,1000,1029,14972,0.094,1
1,1000,1111,22913,0.143,1
1,1000,1121,82291,0.514,1
1,1100,1015,118572,1,1
1,1200,1117,195085,1,1
1,1301,1073,100833,1,0.153
1,1302,1073,102098,1,0.155
1,1303,1073,170145,1,0.258
1,1304,1073,174673,1,0.265
1,1305,1073,110717,1,0.168
1,1400,1057,17241,0.142,1
1,1400,1075,14564,0.12,1
1,1400,1093,22922,0.188,0.745
1,1400,1127,67023,0.55,1
1,1500,1107,19746,0.19,1
1,1500,1125,84027,0.81,0.432
1,1600,1125,110629,1,0.568
1,1700,1007,22915,0.167,1
1,1700,1047,43820,0.32,1
1,1700,1063,9045,0.066,1
1,1700,1065,15760,0.115,1
1,1700,1091,21027,0.154,1
1,1700,1105,10591,0.077,1
1,1700,1119,13763,0.101,1
1,1800,1017,34215,0.261,1
1,1800,1021,43643,0.333,1
1,1800,1037,11539,0.088,1
1,1800,1123,41616,0.318,1
1,1900,1081,140247,1,1
1,2000,1101,196534,1,0.857
1,2100,1001,54571,0.307,1
1,2100,1051,79303,0.446,1
1,2100,1085,11299,0.063,1
1,2100,1101,32829,0.184,0.143
1,2200,1023,13859,0.097,1
1,2200,1025,25833,0.18,1
1,2200,1035,13228,0.092,1
1,2200,1053,38319,0.267,1
1,2200,1099,23068,0.161,1
1,2200,1129,17581,0.122,1
1,2200,1131,11670,0.081,1
1,2300,1013,20947,0.171,1
1,2300,1031,49948,0.408,1
1,2300,1039,37765,0.308,1
1,2300,1041,13906,0.113,1
1,2400,1005,27457,0.188,1
1,2400,1011,10914,0.075,1
1,2400,1087,21452,0.147,1
1,2400,1109,32899,0.226,1
1,2400,1113,52947,0.363,1
1,2500,1045,50251,0.257,1
1,2500,1061,26790,0.137,1
1,2500,1067,17302,0.088,1
1,2500,1069,101547,0.518,1
1,2600,1003,182265,1,1
1,2701,1097,110765,1,0.268
1,2702,1097,107285,1,0.26
1,2703,1097,194942,1,0.472
2,101,2020,132542,1,0.454
2,102,2020,159284,1,0.546
2,200,2122,55400,0.384,1
2,200,2170,88995,0.616,1
2,300,2068,1826,0.011,1
