"county14","state","placefp14","stab","cntyname2","placefp","placenm","placenm14","pop10","afact","AFACT2"
"County code (2014)","State code","Place (2014)","State abbreviation","2014 county name","placefp","placenm","Place name 2014","Population (2010)","county14 to placefp14 allocation factor","placefp14 to county14 allocation factor"
"01001","01","03220","AL","Autauga AL"," "," ","Autaugaville town, AL",870,0.0159,1 
"01001","01","06460","AL","Autauga AL"," "," ","Billingsley town, AL",144,0.0026,1 
"01001","01","46600","AL","Autauga AL"," "," ","Marbury CDP, AL",1418,0.026,1 
"01001","01","48712","AL","Autauga AL"," "," ","Millbrook city, AL",144,0.0026,0.0098 
"01001","01","60264","AL","Autauga AL"," "," ","Pine Level CDP, AL",4183,0.0767,1 
"01001","01","62328","AL","Autauga AL"," "," ","Prattville city, AL",32175,0.5896,0.9472 
"01001","01","99999","AL","Autauga AL"," "," "," ",15637,0.2865,0.0093 
"01003","01","04660","AL","Baldwin AL"," "," ","Bay Minette city, AL",8309,0.0456,1 
"01003","01","19648","AL","Baldwin AL"," "," ","Daphne city, AL",21587,0.1184,1 
"01003","01","23320","AL","Baldwin AL"," "," ","Elberta town, AL",1498,0.0082,1 
"01003","01","25240","AL","Baldwin AL"," "," ","Fairhope city, AL",15326,0.0841,1 
"01003","01","26992","AL","Baldwin AL"," "," ","Foley city, AL",14712,0.0807,1 
"01003","01","32272","AL","Baldwin AL"," "," ","Gulf Shores city, AL",10101,0.0554,1 
"01003","01","44608","AL","Baldwin AL"," "," ","Loxley town, AL",1632,0.009,1 
"01003","01","46072","AL","Baldwin AL"," "," ","Magnolia Springs town, AL",723,0.004,1 
"01003","01","57144","AL","Baldwin AL"," "," ","Orange Beach city, AL",5441,0.0299,1 
"01003","01","59088","AL","Baldwin AL"," "," ","Perdido Beach town, AL",581,0.0032,1 
"01003","01","61488","AL","Baldwin AL"," "," ","Point Clear CDP, AL",2125,0.0117,1 
"01003","01","65208","AL","Baldwin AL"," "," ","Robertsdale city, AL",5276,0.0289,1 
"01003","01","70536","AL","Baldwin AL"," "," ","Silverhill town, AL",706,0.0039,1 
"01003","01","71976","AL","Baldwin AL"," "," ","Spanish Fort city, AL",6852,0.0376,1 
"01003","01","73872","AL","Baldwin AL"," "," ","Summerdale town, AL",862,0.0047,1 
"01003","01","99999","AL","Baldwin AL"," "," "," ",86534,0.4748,0.0514 
