state,place,state_name,place_name,year
01,03076,Alabama,Auburn city,2013
01,03076,Alabama,Auburn city,2014
01,03076,Alabama,Auburn city,2015
01,03076,Alabama,Auburn city,2016
01,03076,Alabama,Auburn city,2017
01,03076,Alabama,Auburn city,2018
01,03076,Alabama,Auburn city,2019
01,03076,Alabama,Auburn city,2020
01,03076,Alabama,Auburn city,2021
01,03076,Alabama,Auburn city,2022
01,07000,Alabama,Birmingham city,2013
01,07000,Alabama,Birmingham city,2014
01,07000,Alabama,Birmingham city,2015
01,07000,Alabama,Birmingham city,2016
01,07000,Alabama,Birmingham city,2017
01,07000,Alabama,Birmingham city,2018
01,07000,Alabama,Birmingham city,2019
01,07000,Alabama,Birmingham city,2020
01,07000,Alabama,Birmingham city,2021
01,07000,Alabama,Birmingham city,2022
01,35896,Alabama,Hoover city,2013
01,35896,Alabama,Hoover city,2014
01,35896,Alabama,Hoover city,2015
01,35896,Alabama,Hoover city,2016
01,35896,Alabama,Hoover city,2017
01,35896,Alabama,Hoover city,2018
01,35896,Alabama,Hoover city,2019
01,35896,Alabama,Hoover city,2020
01,35896,Alabama,Hoover city,2021
01,35896,Alabama,Hoover city,2022
01,37000,Alabama,Huntsville city,2013
01,37000,Alabama,Huntsville city,2014
01,37000,Alabama,Huntsville city,2015
01,37000,Alabama,Huntsville city,2016
01,37000,Alabama,Huntsville city,2017
01,37000,Alabama,Huntsville city,2018
01,37000,Alabama,Huntsville city,2019
01,37000,Alabama,Huntsville city,2020
01,37000,Alabama,Huntsville city,2021
01,37000,Alabama,Huntsville city,2022
01,50000,Alabama,Mobile city,2013
01,50000,Alabama,Mobile city,2014
01,50000,Alabama,Mobile city,2015
01,50000,Alabama,Mobile city,2016
01,50000,Alabama,Mobile city,2017
01,50000,Alabama,Mobile city,2018
01,50000,Alabama,Mobile city,2019
01,50000,Alabama,Mobile city,2020
01,50000,Alabama,Mobile city,2021
01,50000,Alabama,Mobile city,2022
01,51000,Alabama,Montgomery city,2013
01,51000,Alabama,Montgomery city,2014
01,51000,Alabama,Montgomery city,2015
01,51000,Alabama,Montgomery city,2016
01,51000,Alabama,Montgomery city,2017
01,51000,Alabama,Montgomery city,2018
01,51000,Alabama,Montgomery city,2019
01,51000,Alabama,Montgomery city,2020
01,51000,Alabama,Montgomery city,2021
01,51000,Alabama,Montgomery city,2022
01,77256,Alabama,Tuscaloosa city,2013
01,77256,Alabama,Tuscaloosa city,2014
01,77256,Alabama,Tuscaloosa city,2015
01,77256,Alabama,Tuscaloosa city,2016
01,77256,Alabama,Tuscaloosa city,2017
01,77256,Alabama,Tuscaloosa city,2018
01,77256,Alabama,Tuscaloosa city,2019
01,77256,Alabama,Tuscaloosa city,2020
01,77256,Alabama,Tuscaloosa city,2021
01,77256,Alabama,Tuscaloosa city,2022
02,03000,Alaska,Anchorage municipality,2013
02,03000,Alaska,Anchorage municipality,2014
02,03000,Alaska,Anchorage municipality,2015
02,03000,Alaska,Anchorage municipality,2016
02,03000,Alaska,Anchorage municipality,2017
02,03000,Alaska,Anchorage municipality,2018
02,03000,Alaska,Anchorage municipality,2019
02,03000,Alaska,Anchorage municipality,2020
02,03000,Alaska,Anchorage municipality,2021
02,03000,Alaska,Anchorage municipality,2022
04,04720,Arizona,Avondale city,2013
04,04720,Arizona,Avondale city,2014
04,04720,Arizona,Avondale city,2015
04,04720,Arizona,Avondale city,2016
04,04720,Arizona,Avondale city,2017
04,04720,Arizona,Avondale city,2018
04,04720,Arizona,Avondale city,2019
04,04720,Arizona,Avondale city,2020
04,04720,Arizona,Avondale city,2021
04,04720,Arizona,Avondale city,2022
04,07940,Arizona,Buckeye city,2013
04,07940,Arizona,Buckeye city,2014
04,07940,Arizona,Buckeye city,2015
04,07940,Arizona,Buckeye city,2016
04,07940,Arizona,Buckeye city,2017
04,07940,Arizona,Buckeye city,2018
04,07940,Arizona,Buckeye city,2019
04,07940,Arizona,Buckeye city,2020
04,07940,Arizona,Buckeye city,2021
04,07940,Arizona,Buckeye city,2022
04,12000,Arizona,Chandler city,2013
04,12000,Arizona,Chandler city,2014
04,12000,Arizona,Chandler city,2015
04,12000,Arizona,Chandler city,2016
04,12000,Arizona,Chandler city,2017
04,12000,Arizona,Chandler city,2018
04,12000,Arizona,Chandler city,2019
04,12000,Arizona,Chandler city,2020
04,12000,Arizona,Chandler city,2021
04,12000,Arizona,Chandler city,2022
04,23620,Arizona,Flagstaff city,2013
04,23620,Arizona,Flagstaff city,2014
04,23620,Arizona,Flagstaff city,2015
04,23620,Arizona,Flagstaff city,2016
04,23620,Arizona,Flagstaff city,2017
04,23620,Arizona,Flagstaff city,2018
04,23620,Arizona,Flagstaff city,2019
04,23620,Arizona,Flagstaff city,2020
04,23620,Arizona,Flagstaff city,2021
04,23620,Arizona,Flagstaff city,2022
04,27400,Arizona,Gilbert town,2013
04,27400,Arizona,Gilbert town,2014
04,27400,Arizona,Gilbert town,2015
04,27400,Arizona,Gilbert town,2016
04,27400,Arizona,Gilbert town,2017
04,27400,Arizona,Gilbert town,2018
04,27400,Arizona,Gilbert town,2019
04,27400,Arizona,Gilbert town,2020
04,27400,Arizona,Gilbert town,2021
04,27400,Arizona,Gilbert town,2022
04,27820,Arizona,Glendale city,2013
04,27820,Arizona,Glendale city,2014
04,27820,Arizona,Glendale city,2015
04,27820,Arizona,Glendale city,2016
04,27820,Arizona,Glendale city,2017
04,27820,Arizona,Glendale city,2018
04,27820,Arizona,Glendale city,2019
04,27820,Arizona,Glendale city,2020
04,27820,Arizona,Glendale city,2021
04,27820,Arizona,Glendale city,2022
04,28380,Arizona,Goodyear city,2013
04,28380,Arizona,Goodyear city,2014
04,28380,Arizona,Goodyear city,2015
04,28380,Arizona,Goodyear city,2016
04,28380,Arizona,Goodyear city,2017
04,28380,Arizona,Goodyear city,2018
04,28380,Arizona,Goodyear city,2019
04,28380,Arizona,Goodyear city,2020
04,28380,Arizona,Goodyear city,2021
04,28380,Arizona,Goodyear city,2022
04,46000,Arizona,Mesa city,2013
04,46000,Arizona,Mesa city,2014
04,46000,Arizona,Mesa city,2015
04,46000,Arizona,Mesa city,2016
04,46000,Arizona,Mesa city,2017
04,46000,Arizona,Mesa city,2018
04,46000,Arizona,Mesa city,2019
04,46000,Arizona,Mesa city,2020
04,46000,Arizona,Mesa city,2021
04,46000,Arizona,Mesa city,2022
04,54050,Arizona,Peoria city,2013
04,54050,Arizona,Peoria city,2014
04,54050,Arizona,Peoria city,2015
04,54050,Arizona,Peoria city,2016
04,54050,Arizona,Peoria city,2017
04,54050,Arizona,Peoria city,2018
04,54050,Arizona,Peoria city,2019
04,54050,Arizona,Peoria city,2020
04,54050,Arizona,Peoria city,2021
04,54050,Arizona,Peoria city,2022
04,55000,Arizona,Phoenix city,2013
04,55000,Arizona,Phoenix city,2014
04,55000,Arizona,Phoenix city,2015
04,55000,Arizona,Phoenix city,2016
04,55000,Arizona,Phoenix city,2017
04,55000,Arizona,Phoenix city,2018
04,55000,Arizona,Phoenix city,2019
04,55000,Arizona,Phoenix city,2020
04,55000,Arizona,Phoenix city,2021
04,55000,Arizona,Phoenix city,2022
04,65000,Arizona,Scottsdale city,2013
04,65000,Arizona,Scottsdale city,2014
04,65000,Arizona,Scottsdale city,2015
04,65000,Arizona,Scottsdale city,2016
04,65000,Arizona,Scottsdale city,2017
04,65000,Arizona,Scottsdale city,2018
04,65000,Arizona,Scottsdale city,2019
04,65000,Arizona,Scottsdale city,2020
04,65000,Arizona,Scottsdale city,2021
04,65000,Arizona,Scottsdale city,2022
04,71510,Arizona,Surprise city,2013
04,71510,Arizona,Surprise city,2014
04,71510,Arizona,Surprise city,2015
04,71510,Arizona,Surprise city,2016
04,71510,Arizona,Surprise city,2017
04,71510,Arizona,Surprise city,2018
04,71510,Arizona,Surprise city,2019
04,71510,Arizona,Surprise city,2020
04,71510,Arizona,Surprise city,2021
04,71510,Arizona,Surprise city,2022
04,73000,Arizona,Tempe city,2013
04,73000,Arizona,Tempe city,2014
04,73000,Arizona,Tempe city,2015
04,73000,Arizona,Tempe city,2016
04,73000,Arizona,Tempe city,2017
04,73000,Arizona,Tempe city,2018
04,73000,Arizona,Tempe city,2019
04,73000,Arizona,Tempe city,2020
04,73000,Arizona,Tempe city,2021
04,73000,Arizona,Tempe city,2022
04,77000,Arizona,Tucson city,2013
04,77000,Arizona,Tucson city,2014
04,77000,Arizona,Tucson city,2015
04,77000,Arizona,Tucson city,2016
04,77000,Arizona,Tucson city,2017
04,77000,Arizona,Tucson city,2018
04,77000,Arizona,Tucson city,2019
04,77000,Arizona,Tucson city,2020
04,77000,Arizona,Tucson city,2021
04,77000,Arizona,Tucson city,2022
04,85540,Arizona,Yuma city,2013
04,85540,Arizona,Yuma city,2014
04,85540,Arizona,Yuma city,2015
04,85540,Arizona,Yuma city,2016
04,85540,Arizona,Yuma city,2017
04,85540,Arizona,Yuma city,2018
04,85540,Arizona,Yuma city,2019
04,85540,Arizona,Yuma city,2020
04,85540,Arizona,Yuma city,2021
04,85540,Arizona,Yuma city,2022
05,23290,Arkansas,Fayetteville city,2013
05,23290,Arkansas,Fayetteville city,2014
05,23290,Arkansas,Fayetteville city,2015
05,23290,Arkansas,Fayetteville city,2016
05,23290,Arkansas,Fayetteville city,2017
05,23290,Arkansas,Fayetteville city,2018
05,23290,Arkansas,Fayetteville city,2019
05,23290,Arkansas,Fayetteville city,2020
05,23290,Arkansas,Fayetteville city,2021
05,23290,Arkansas,Fayetteville city,2022
05,24550,Arkansas,Fort Smith city,2013
05,24550,Arkansas,Fort Smith city,2014
05,24550,Arkansas,Fort Smith city,2015
05,24550,Arkansas,Fort Smith city,2016
05,24550,Arkansas,Fort Smith city,2017
05,24550,Arkansas,Fort Smith city,2018
05,24550,Arkansas,Fort Smith city,2019
05,24550,Arkansas,Fort Smith city,2020
05,24550,Arkansas,Fort Smith city,2021
05,24550,Arkansas,Fort Smith city,2022
05,35710,Arkansas,Jonesboro city,2013
05,35710,Arkansas,Jonesboro city,2014
05,35710,Arkansas,Jonesboro city,2015
05,35710,Arkansas,Jonesboro city,2016
05,35710,Arkansas,Jonesboro city,2017
05,35710,Arkansas,Jonesboro city,2018
05,35710,Arkansas,Jonesboro city,2019
05,35710,Arkansas,Jonesboro city,2020
05,35710,Arkansas,Jonesboro city,2021
05,35710,Arkansas,Jonesboro city,2022
05,41000,Arkansas,Little Rock city,2013
05,41000,Arkansas,Little Rock city,2014
05,41000,Arkansas,Little Rock city,2015
05,41000,Arkansas,Little Rock city,2016
05,41000,Arkansas,Little Rock city,2017
05,41000,Arkansas,Little Rock city,2018
05,41000,Arkansas,Little Rock city,2019
05,41000,Arkansas,Little Rock city,2020
05,41000,Arkansas,Little Rock city,2021
05,41000,Arkansas,Little Rock city,2022
05,66080,Arkansas,Springdale city,2013
