statefip,puma,county,pop20,afact,afact2,products,sum_products,county_pop,puma_flag,size_flag,geographic_allocation_quality
01,00100,033,57227,0.3129,1,0.3129,0.3129,57227,3,0,3
01,00100,059,32113,0.1756,1,0.1756,0.1756,32113,3,0,3
01,00100,077,93564,0.5115,1,0.5115,0.5115,93564,2,0,2
01,00200,083,103570,1,1,1,1,103570,1,0,1
01,00300,079,33073,0.2113,1,0.2113,0.2113,33073,3,0,3
01,00300,103,123421,0.7887,1,0.7887,0.7887,123421,1,0,1
01,00401,089,113502,1,0.2924,0.2924,0.9692735,388153,1,0,1
01,00402,089,153097,1,0.3944,0.3944,0.9692735,388153,1,0,1
01,00403,089,107983,1,0.2782,0.2782,0.9692735,388153,1,0,1
01,00501,089,13571,0.1221,0.035,0.0042735,0.9692735,388153,1,0,1
01,00501,095,97612,0.8779,1,0.8779,0.8779,97612,1,0,1
01,00600,049,71608,0.5766,1,0.5766,0.5766,71608,2,0,2
01,00600,071,52579,0.4234,1,0.4234,0.4234,52579,2,0,2
01,00700,019,24971,0.1945,1,0.1945,0.1945,24971,3,0,3
01,00700,055,103436,0.8055,1,0.8055,0.8055,103436,1,0,1
01,00800,015,116441,1,1,1,1,116441,1,0,1
01,00900,009,59134,0.3936,1,0.3936,0.3936,59134,2,0,2
01,00900,115,91103,0.6064,1,0.6064,0.6064,91103,2,0,2
01,01000,043,87866,0.6243,1,0.6243,0.6243,87866,2,0,2
01,01000,093,29341,0.2085,1,0.2085,0.2085,29341,3,0,3
01,01000,133,23540,0.1673,1,0.1673,0.1673,23540,3,0,3
01,01100,007,22293,0.1771,1,0.1771,0.1771,22293,3,0,3
01,01100,057,16321,0.1296,1,0.1296,0.1296,16321,3,1,3
01,01100,063,7730,0.0614,1,0.0614,0.0614,7730,3,1,3
01,01100,065,14785,0.1174,1,0.1174,0.1174,14785,3,1,3
01,01100,075,13972,0.111,1,0.111,0.111,13972,3,1,3
01,01100,091,19323,0.1535,1,0.1535,0.1535,19323,3,0,3
01,01100,107,19123,0.1519,1,0.1519,0.1519,19123,3,0,3
01,01100,119,12345,0.0981,1,0.0981,0.0981,12345,3,1,3
01,01201,125,101012,1,0.4449,0.4449,1,227036,1,0,1
01,01202,125,126024,1,0.5551,0.5551,1,227036,1,0,1
01,01301,073,50475,0.4358,0.0748,0.03259784,0.95779784,674721,1,0,1
01,01301,127,65342,0.5642,1,0.5642,0.5642,65342,2,0,2
01,01401,073,118409,1,0.1755,0.1755,0.95779784,674721,1,0,1
01,01402,073,133581,1,0.198,0.198,0.95779784,674721,1,0,1
01,01403,073,187166,1,0.2774,0.2774,0.95779784,674721,1,0,1
01,01404,073,185090,1,0.2743,0.2743,0.95779784,674721,1,0,1
01,01501,117,137436,1,0.6162,0.6162,0.86770414,223024,1,0,1
01,01502,021,45014,0.3447,1,0.3447,0.3447,45014,3,0,3
01,01502,117,85588,0.6553,0.3838,0.25150414,0.86770414,223024,1,0,1
01,01600,027,14236,0.1067,1,0.1067,0.1067,14236,3,1,3
01,01600,029,15056,0.1129,1,0.1129,0.1129,15056,3,1,3
01,01600,111,21967,0.1647,1,0.1647,0.1647,21967,3,0,3
01,01600,121,82149,0.6158,1,0.6158,0.6158,82149,2,0,2
01,01700,001,58805,0.5066,1,0.5066,0.5066,58805,2,0,2
01,01700,047,38462,0.3313,1,0.3313,0.3313,38462,3,0,3
01,01700,085,10311,0.0888,1,0.0888,0.0888,10311,3,1,3
01,01700,105,8511,0.0733,1,0.0733,0.0733,8511,3,1,3
01,01801,101,109409,1,0.4779,0.4779,0.94708085,228954,1,0,1
01,01802,101,105471,1,0.4607,0.4607,0.94708085,228954,1,0,1
01,01901,051,87977,0.8621,1,0.8621,0.8621,87977,1,0,1
01,01901,101,14074,0.1379,0.0615,0.00848085,0.94708085,228954,1,0,1
01,02000,011,10357,0.089,1,0.089,0.089,10357,3,1,3
01,02000,017,34772,0.2988,1,0.2988,0.2988,34772,3,0,3
01,02000,037,10387,0.0893,1,0.0893,0.0893,10387,3,1,3
01,02000,087,19532,0.1679,1,0.1679,0.1679,19532,3,0,3
01,02000,123,41311,0.355,1,0.355,0.355,41311,2,0,2
01,02101,081,127904,1,0.7341,0.7341,0.85085669,174241,1,0,1
01,02201,081,46337,0.4391,0.2659,0.11675669000000001,0.85085669,174241,1,0,1
01,02201,113,59183,0.5609,1,0.5609,0.5609,59183,2,0,2
01,02300,061,26659,0.1765,1,0.1765,0.1765,26659,3,0,3
01,02300,067,17146,0.1135,1,0.1135,0.1135,17146,3,0,3
01,02300,069,107202,0.7099,1,0.7099,0.7099,107202,2,0,2
01,02400,031,53465,0.5201,1,0.5201,0.5201,53465,2,0,2
01,02400,045,49326,0.4799,1,0.4799,0.4799,49326,2,0,2
01,02500,005,25223,0.197,1,0.197,0.197,25223,3,0,3
01,02500,013,19051,0.1488,1,0.1488,0.1488,19051,3,0,3
01,02500,039,37570,0.2934,1,0.2934,0.2934,37570,3,0,3
01,02500,041,13194,0.103,1,0.103,0.103,13194,3,1,3
01,02500,109,33009,0.2578,1,0.2578,0.2578,33009,3,0,3
01,02600,023,12665,0.0975,1,0.0975,0.0975,12665,3,1,3
01,02600,025,23087,0.1778,1,0.1778,0.1778,23087,3,0,3
01,02600,035,11597,0.0893,1,0.0893,0.0893,11597,3,1,3
01,02600,053,36757,0.283,1,0.283,0.283,36757,3,0,3
01,02600,099,19772,0.1522,1,0.1522,0.1522,19772,3,0,3
01,02600,129,15388,0.1185,1,0.1185,0.1185,15388,3,1,3
01,02600,131,10600,0.0816,1,0.0816,0.0816,10600,3,1,3
01,02701,003,118618,1,0.5118,0.5118,1,231767,1,0,1
01,02702,003,113149,1,0.4882,0.4882,1,231767,1,0,1
01,02801,097,139133,1,0.3354,0.3354,1,414809,1,0,1
01,02802,097,129797,1,0.3129,0.3129,1,414809,1,0,1
01,02803,097,145879,1,0.3517,0.3517,1,414809,1,0,1
02,00101,020,131989,1,0.4532,0.4532,1,291247,1,0,1
02,00102,020,159258,1,0.5468,0.5468,1,291247,1,0,1
02,00200,122,58799,0.3545,1,0.3545,0.3545,58799,2,0,2
02,00200,170,107081,0.6455,1,0.6455,0.6455,107081,2,0,2
02,00300,063,7102,0.0435,1,0.0435,0.0435,7102,3,1,3
02,00300,066,2617,0.016,1,0.016,0.016,2617,3,1,3
02,00300,068,1619,0.0099,1,0.0099,0.0099,1619,3,1,3
02,00300,090,95655,0.5857,1,0.5857,0.5857,95655,2,0,2
02,00300,100,2080,0.0127,1,0.0127,0.0127,2080,3,1,3
02,00300,110,32255,0.1975,1,0.1975,0.1975,32255,3,0,3
02,00300,130,13948,0.0854,1,0.0854,0.0854,13948,3,1,3
02,00300,230,1240,0.0076,1,0.0076,0.0076,1240,3,1,3
02,00300,240,6808,0.0417,1,0.0417,0.0417,6808,3,1,3
02,00400,013,3420,0.0303,1,0.0303,0.0303,3420,3,1,3
02,00400,016,5232,0.0463,1,0.0463,0.0463,5232,3,1,3
02,00400,050,18666,0.1653,1,0.1653,0.1653,18666,3,0,3
02,00400,060,844,0.0075,1,0.0075,0.0075,844,3,1,3
02,00400,070,4857,0.043,1,0.043,0.043,4857,3,1,3
02,00400,105,2365,0.0209,1,0.0209,0.0209,2365,3,1,3
02,00400,150,13101,0.116,1,0.116,0.116,13101,3,1,3
02,00400,158,8368,0.0741,1,0.0741,0.0741,8368,3,1,3
02,00400,164,1476,0.0131,1,0.0131,0.0131,1476,3,1,3
02,00400,180,10046,0.0889,1,0.0889,0.0889,10046,3,1,3
02,00400,185,11031,0.0977,1,0.0977,0.0977,11031,3,1,3
02,00400,188,7793,0.069,1,0.069,0.069,7793,3,1,3
02,00400,195,3398,0.0301,1,0.0301,0.0301,3398,3,1,3
02,00400,198,5753,0.0509,1,0.0509,0.0509,5753,3,1,3
02,00400,220,8458,0.0749,1,0.0749,0.0749,8458,3,1,3
02,00400,275,2127,0.0188,1,0.0188,0.0188,2127,3,1,3
02,00400,282,662,0.0059,1,0.0059,0.0059,662,3,1,3
02,00400,290,5343,0.0473,1,0.0473,0.0473,5343,3,1,3
04,00101,013,185881,1,0.042,0.042,0.9998,4420568,1,0,1
04,00102,013,144062,1,0.0326,0.0326,0.9998,4420568,1,0,1
04,00103,013,120951,1,0.0274,0.0274,0.9998,4420568,1,0,1
04,00104,013,106653,1,0.0241,0.0241,0.9998,4420568,1,0,1
04,00105,013,165935,1,0.0375,0.0375,0.9998,4420568,1,0,1
04,00106,013,122710,1,0.0278,0.0278,0.9998,4420568,1,0,1
04,00107,013,128103,1,0.029,0.029,0.9998,4420568,1,0,1
04,00108,013,107998,1,0.0244,0.0244,0.9998,4420568,1,0,1
04,00109,013,108516,1,0.0245,0.0245,0.9998,4420568,1,0,1
04,00110,013,128498,1,0.0291,0.0291,0.9998,4420568,1,0,1
04,00111,013,111602,1,0.0252,0.0252,0.9998,4420568,1,0,1
04,00112,013,130727,1,0.0296,0.0296,0.9998,4420568,1,0,1
04,00113,013,104693,1,0.0237,0.0237,0.9998,4420568,1,0,1
04,00114,013,111355,1,0.0252,0.0252,0.9998,4420568,1,0,1
04,00115,013,109655,1,0.0248,0.0248,0.9998,4420568,1,0,1
04,00116,013,110648,1,0.025,0.025,0.9998,4420568,1,0,1
04,00117,013,109946,1,0.0249,0.0249,0.9998,4420568,1,0,1
04,00118,013,116146,1,0.0263,0.0263,0.9998,4420568,1,0,1
04,00119,013,117231,1,0.0265,0.0265,0.9998,4420568,1,0,1
04,00120,013,108700,1,0.0246,0.0246,0.9998,4420568,1,0,1
04,00121,013,166779,1,0.0377,0.0377,0.9998,4420568,1,0,1
04,00122,013,102202,1,0.0231,0.0231,0.9998,4420568,1,0,1
04,00123,013,115847,1,0.0262,0.0262,0.9998,4420568,1,0,1
04,00124,013,114445,1,0.0259,0.0259,0.9998,4420568,1,0,1
04,00125,013,114546,1,0.0259,0.0259,0.9998,4420568,1,0,1
04,00126,013,129933,1,0.0294,0.0294,0.9998,4420568,1,0,1
04,00127,013,121259,1,0.0274,0.0274,0.9998,4420568,1,0,1
04,00128,013,110257,1,0.0249,0.0249,0.9998,4420568,1,0,1
04,00129,013,140573,1,0.0318,0.0318,0.9998,4420568,1,0,1
04,00130,013,126627,1,0.0286,0.0286,0.9998,4420568,1,0,1
04,00131,013,123399,1,0.0279,0.0279,0.9998,4420568,1,0,1
04,00132,013,146751,1,0.0332,0.0332,0.9998,4420568,1,0,1
04,00133,013,122883,1,0.0278,0.0278,0.9998,4420568,1,0,1
04,00134,013,168686,1,0.0382,0.0382,0.9998,4420568,1,0,1
04,00135,013,166371,1,0.0376,0.0376,0.9998,4420568,1,0,1
04,00400,007,53272,0.5255,1,0.5255,0.5255,53272,2,0,2
04,00400,009,38533,0.3801,1,0.3801,0.3801,38533,2,0,2
04,00400,011,9563,0.0943,1,0.0943,0.0943,9563,3,1,3
04,00500,005,145101,1,1,1,1,145101,1,0,1
04,00601,015,111199,1,0.5214,0.5214,1,213267,1,0,1
04,00602,015,102068,1,0.4786,0.4786,1,213267,1,0,1
04,00701,012,16557,0.1551,1,0.1551,0.1551,16557,3,1,3
04,00701,027,90175,0.8449,0.4423,0.37369927000000003,0.93139927,203881,1,0,1
04,00803,021,147577,1,0.347,0.347,0.97695712,425264,1,0,1
04,00805,021,122686,1,0.2885,0.2885,0.97695712,425264,1,0,1
04,00807,021,144191,1,0.3391,0.3391,0.97695712,425264,1,0,1
04,00900,003,125447,0.7246,1,0.7246,0.7246,125447,2,0,2
04,00900,023,47669,0.2754,1,0.2754,0.2754,47669,3,0,3
04,01000,001,66021,0.3822,1,0.3822,0.3822,66021,2,0,2
04,01000,017,106717,0.6178,1,0.6178,0.6178,106717,2,0,2
04,01101,027,113706,1,0.5577,0.5577,0.93139927,203881,1,0,1
04,01901,019,111360,1,0.1067,0.1067,0.99059936,1043433,1,0,1
04,01902,019,137371,1,0.1317,0.1317,0.99059936,1043433,1,0,1
04,01903,019,105731,0.9072,0.1013,0.09189936,0.99059936,1043433,1,0,1
04,01903,021,10810,0.0928,0.0254,0.00235712,0.97695712,425264,1,0,1
04,01904,019,109666,1,0.1051,0.1051,0.99059936,1043433,1,0,1
04,01905,019,111121,1,0.1065,0.1065,0.99059936,1043433,1,0,1
04,01906,019,113591,1,0.1089,0.1089,0.99059936,1043433,1,0,1
04,01907,019,116589,1,0.1117,0.1117,0.99059936,1043433,1,0,1
04,01908,019,115015,1,0.1102,0.1102,0.99059936,1043433,1,0,1
04,01909,019,122989,1,0.1179,0.1179,0.99059936,1043433,1,0,1
04,02502,025,135474,1,0.5735,0.5735,1,236209,1,0,1
04,02503,025,100735,1,0.4265,0.4265,1,236209,1,0,1
05,00101,007,171025,1,0.6015,0.6015,1,284333,1,0,1
05,00102,007,113308,1,0.3985,0.3985,1,284333,1,0,1
05,00201,143,140215,1,0.5703,0.5703,1,245871,1,0,1
05,00202,143,105656,1,0.4297,0.4297,1,245871,1,0,1
05,00300,005,41627,0.2674,1,0.2674,0.2674,41627,3,0,3
05,00300,009,37373,0.2401,1,0.2401,0.2401,37373,3,0,3
05,00300,015,28260,0.1815,1,0.1815,0.1815,28260,3,0,3
05,00300,087,16521,0.1061,1,0.1061,0.1061,16521,3,1,3
05,00300,089,16826,0.1081,1,0.1081,0.1081,16826,3,0,3
05,00300,101,7225,0.0464,1,0.0464,0.0464,7225,3,1,3
05,00300,129,7828,0.0503,1,0.0503,0.0503,7828,3,1,3
05,00400,023,24711,0.2122,1,0.2122,0.2122,24711,3,0,3
05,00400,049,12075,0.1037,1,0.1037,0.1037,12075,3,1,3
05,00400,063,37938,0.3258,1,0.3258,0.3258,37938,3,0,3
05,00400,065,13577,0.1166,1,0.1166,0.1166,13577,3,1,3
05,00400,137,12359,0.1061,1,0.1061,0.1061,12359,3,1,3
05,00400,141,15796,0.1356,1,0.1356,0.1356,15796,3,1,3
05,00500,021,14552,0.1295,1,0.1295,0.1295,14552,3,1,3
05,00500,055,45736,0.4071,1,0.4071,0.4071,45736,2,0,2
05,00500,075,16216,0.1443,1,0.1443,0.1443,16216,3,1,3
05,00500,121,18571,0.1653,1,0.1653,0.1653,18571,3,0,3
05,00500,135,17271,0.1537,1,0.1537,0.1537,17271,3,0,3
05,00600,035,48163,0.3129,1,0.3129,0.3129,48163,3,0,3
05,00600,037,16833,0.1093,1,0.1093,0.1093,16833,3,0,3
05,00600,077,8600,0.0559,1,0.0559,0.0559,8600,3,1,3
05,00600,093,40685,0.2643,1,0.2643,0.2643,40685,3,0,3
05,00600,107,16568,0.1076,1,0.1076,0.1076,16568,3,1,3
05,00600,123,23090,0.15,1,0.15,0.15,23090,3,0,3
05,00700,031,111231,0.8289,1,0.8289,0.8289,111231,1,0,1
05,00700,111,22965,0.1711,1,0.1711,0.1711,22965,3,0,3
05,00800,067,16755,0.1458,1,0.1458,0.1458,16755,3,1,3
05,00800,095,6799,0.0592,1,0.0592,0.0592,6799,3,1,3
05,00800,117,8282,0.0721,1,0.0721,0.0721,8282,3,1,3
05,00800,145,76822,0.6684,1,0.6684,0.6684,76822,2,0,2
05,00800,147,6269,0.0545,1,0.0545,0.0545,6269,3,1,3
05,00900,045,123498,0.6253,1,0.6253,0.6253,123498,2,0,2
05,00900,085,74015,0.3747,1,0.3747,0.3747,74015,2,0,2
05,01000,029,20715,0.1592,1,0.1592,0.1592,20715,3,0,3
05,01000,071,25749,0.1979,1,0.1979,0.1979,25749,3,0,3
05,01000,115,63381,0.4871,1,0.4871,0.4871,63381,2,0,2
05,01000,149,20263,0.1557,1,0.1557,0.1557,20263,3,0,3
05,01100,033,60133,0.2933,1,0.2933,0.2933,60133,3,0,3
05,01100,047,17097,0.0834,1,0.0834,0.0834,17097,3,0,3
05,01100,131,127799,0.6233,1,0.6233,0.6233,127799,2,0,2
05,01200,061,12785,0.0958,1,0.0958,0.0958,12785,3,1,3
05,01200,081,12026,0.0901,1,0.0901,0.0901,12026,3,1,3
05,01200,083,21131,0.1584,1,0.1584,0.1584,21131,3,0,3
05,01200,091,42600,0.3192,1,0.3192,0.3192,42600,3,0,3
05,01200,113,19221,0.144,1,0.144,0.144,19221,3,0,3
05,01200,127,9836,0.0737,1,0.0737,0.0737,9836,3,1,3
05,01200,133,15839,0.1187,1,0.1187,0.1187,15839,3,1,3
05,01300,019,21446,0.1237,1,0.1237,0.1237,21446,3,0,3
05,01300,051,100180,0.578,1,0.578,0.578,100180,2,0,2
05,01300,059,33040,0.1906,1,0.1906,0.1906,33040,3,0,3
05,01300,097,8484,0.0489,1,0.0489,0.0489,8484,3,1,3
05,01300,109,10171,0.0587,1,0.0587,0.0587,10171,3,1,3
05,01400,053,17958,0.1186,1,0.1186,0.1186,17958,3,0,3
05,01400,105,10019,0.0662,1,0.0662,0.0662,10019,3,1,3
05,01400,125,123416,0.8152,1,0.8152,0.8152,123416,1,0,1
05,01501,119,200774,1,0.503,0.503,1,399125,1,0,1
05,01502,119,198351,1,0.497,0.497,1,399125,1,0,1
05,01600,001,17149,0.0989,1,0.0989,0.0989,17149,3,0,3
05,01600,003,19062,0.1099,1,0.1099,0.1099,19062,3,0,3
05,01600,011,10545,0.0608,1,0.0608,0.0608,10545,3,1,3
05,01600,017,10208,0.0588,1,0.0588,0.0588,10208,3,1,3
05,01600,025,7550,0.0435,1,0.0435,0.0435,7550,3,1,3
05,01600,041,11395,0.0657,1,0.0657,0.0657,11395,3,1,3
05,01600,043,17350,0.1,1,0.1,0.1,17350,3,0,3
05,01600,069,67260,0.3878,1,0.3878,0.3878,67260,2,0,2
05,01600,079,12941,0.0746,1,0.0746,0.0746,12941,3,1,3
05,01700,013,4739,0.0363,1,0.0363,0.0363,4739,3,1,3
05,01700,027,22801,0.1748,1,0.1748,0.1748,22801,3,0,3
05,01700,039,6482,0.0497,1,0.0497,0.0497,6482,3,1,3
05,01700,057,20065,0.1539,1,0.1539,0.1539,20065,3,0,3
05,01700,073,6308,0.0484,1,0.0484,0.0484,6308,3,1,3
05,01700,099,8310,0.0637,1,0.0637,0.0637,8310,3,1,3
05,01700,103,22650,0.1737,1,0.1737,0.1737,22650,3,0,3
05,01700,139,39054,0.2995,1,0.2995,0.2995,39054,3,0,3
06,00101,001,144592,1,0.0859,0.0859,0.9999,1682353,1,0,1
06,00111,001,106433,1,0.0633,0.0633,0.9999,1682353,1,0,1
06,00112,001,106896,1,0.0635,0.0635,0.9999,1682353,1,0,1
06,00113,001,125840,1,0.0748,0.0748,0.9999,1682353,1,0,1
06,00114,001,194852,1,0.1158,0.1158,0.9999,1682353,1,0,1
06,00115,001,107913,1,0.0641,0.0641,0.9999,1682353,1,0,1
06,00116,001,102035,1,0.0607,0.0607,0.9999,1682353,1,0,1
06,00117,001,105721,1,0.0628,0.0628,0.9999,1682353,1,0,1
06,00118,001,125765,1,0.0748,0.0748,0.9999,1682353,1,0,1
06,00119,001,126178,1,0.075,0.075,0.9999,1682353,1,0,1
06,00120,001,118663,1,0.0705,0.0705,0.9999,1682353,1,0,1
06,00121,001,115687,1,0.0688,0.0688,0.9999,1682353,1,0,1
06,00122,001,100310,1,0.0596,0.0596,0.9999,1682353,1,0,1
06,00123,001,101468,1,0.0603,0.0603,0.9999,1682353,1,0,1
06,00300,003,1204,0.0063,1,0.0063,0.0063,1204,3,1,3
06,00300,005,40474,0.2109,1,0.2109,0.2109,40474,3,0,3
06,00300,009,45292,0.236,1,0.236,0.236,45292,3,0,3
06,00300,027,19016,0.0991,1,0.0991,0.0991,19016,3,0,3
06,00300,043,17131,0.0893,1,0.0893,0.0893,17131,3,0,3
06,00300,051,13195,0.0687,1,0.0687,0.0687,13195,3,1,3
06,00300,109,55620,0.2898,1,0.2898,0.2898,55620,3,0,3
06,00700,007,211632,1,1,1,1,211632,1,0,1
06,01100,011,21839,0.1646,1,0.1646,0.1646,21839,3,0,3
06,01100,021,28917,0.2179,1,0.2179,0.2179,28917,3,0,3
06,01100,103,65829,0.4961,1,0.4961,0.4961,65829,2,0,2
06,01100,105,16112,0.1214,1,0.1214,0.1214,16112,3,1,3
06,01301,013,129420,1,0.111,0.111,0.9999,1165927,1,0,1
06,01305,013,143688,1,0.1232,0.1232,0.9999,1165927,1,0,1
06,01308,013,120154,1,0.1031,0.1031,0.9999,1165927,1,0,1
06,01309,013,125676,1,0.10780000000000001,0.10780000000000001,0.9999,1165927,1,0,1
06,01310,013,140962,1,0.1209,0.1209,0.9999,1165927,1,0,1
06,01311,013,122701,1,0.1052,0.1052,0.9999,1165927,1,0,1
06,01312,013,103075,1,0.0884,0.0884,0.9999,1165927,1,0,1
06,01313,013,177708,1,0.1524,0.1524,0.9999,1165927,1,0,1
06,01314,013,102543,1,0.0879,0.0879,0.9999,1165927,1,0,1
06,01500,015,27743,0.2085,1,0.2085,0.2085,27743,3,0,3
06,01500,035,32730,0.246,1,0.246,0.246,32730,3,0,3
06,01500,049,8700,0.0654,1,0.0654,0.0654,8700,3,1,3
06,01500,063,19790,0.1488,1,0.1488,0.1488,19790,3,0,3
06,01500,093,44076,0.3313,1,0.3313,0.3313,44076,3,0,3
06,01700,017,191185,1,1,1,1,191185,1,0,1
06,01901,019,147233,1,0.146,0.146,1,1008654,1,0,1
06,01902,019,190983,1,0.1893,0.1893,1,1008654,1,0,1
06,01903,019,110562,1,0.1096,0.1096,1,1008654,1,0,1
06,01904,019,180060,1,0.1785,0.1785,1,1008654,1,0,1
06,01905,019,116597,1,0.1156,0.1156,1,1008654,1,0,1
06,01906,019,129784,1,0.1287,0.1287,1,1008654,1,0,1
06,01907,019,133435,1,0.1323,0.1323,1,1008654,1,0,1
06,02300,023,136463,1,1,1,1,136463,1,0,1
06,02500,025,179702,1,1,1,1,179702,1,0,1
06,02903,029,168325,1,0.1851,0.1851,1,909235,1,0,1
06,02904,029,113912,1,0.1253,0.1253,1,909235,1,0,1
06,02905,029,192671,1,0.2119,0.2119,1,909235,1,0,1
06,02906,029,157085,1,0.1728,0.1728,1,909235,1,0,1
06,02907,029,107020,1,0.1177,0.1177,1,909235,1,0,1
06,02908,029,170222,1,0.1872,0.1872,1,909235,1,0,1
06,03100,031,152486,1,1,1,1,152486,1,0,1
06,03300,033,68163,0.4266,1,0.4266,0.4266,68163,2,0,2
06,03300,045,91601,0.5734,1,0.5734,0.5734,91601,2,0,2
06,03703,037,180992,1,0.0181,0.0181,1.0002,10014009,1,0,1
06,03704,037,187217,1,0.0187,0.0187,1.0002,10014009,1,0,1
06,03705,037,179412,1,0.0179,0.0179,1.0002,10014009,1,0,1
06,03706,037,143024,1,0.0143,0.0143,1.0002,10014009,1,0,1
06,03707,037,149090,1,0.0149,0.0149,1.0002,10014009,1,0,1
06,03708,037,137084,1,0.0137,0.0137,1.0002,10014009,1,0,1
06,03709,037,111527,1,0.0111,0.0111,1.0002,10014009,1,0,1
06,03710,037,181086,1,0.0181,0.0181,1.0002,10014009,1,0,1
06,03711,037,164821,1,0.0165,0.0165,1.0002,10014009,1,0,1
06,03712,037,151939,1,0.0152,0.0152,1.0002,10014009,1,0,1
06,03713,037,115271,1,0.0115,0.0115,1.0002,10014009,1,0,1
06,03714,037,107378,1,0.0107,0.0107,1.0002,10014009,1,0,1
06,03715,037,120624,1,0.012,0.012,1.0002,10014009,1,0,1
06,03716,037,104622,1,0.0104,0.0104,1.0002,10014009,1,0,1
06,03717,037,190304,1,0.019,0.019,1.0002,10014009,1,0,1
06,03718,037,136675,1,0.0136,0.0136,1.0002,10014009,1,0,1
06,03719,037,196543,1,0.0196,0.0196,1.0002,10014009,1,0,1
06,03720,037,122786,1,0.0123,0.0123,1.0002,10014009,1,0,1
06,03721,037,135948,1,0.0136,0.0136,1.0002,10014009,1,0,1
06,03722,037,166269,1,0.0166,0.0166,1.0002,10014009,1,0,1
06,03723,037,142813,1,0.0143,0.0143,1.0002,10014009,1,0,1
06,03724,037,174337,1,0.0174,0.0174,1.0002,10014009,1,0,1
06,03725,037,182789,1,0.0183,0.0183,1.0002,10014009,1,0,1
06,03728,037,106835,1,0.0107,0.0107,1.0002,10014009,1,0,1
06,03730,037,167510,1,0.0167,0.0167,1.0002,10014009,1,0,1
06,03731,037,109232,1,0.0109,0.0109,1.0002,10014009,1,0,1
06,03732,037,172212,1,0.0172,0.0172,1.0002,10014009,1,0,1
06,03733,037,113324,1,0.0113,0.0113,1.0002,10014009,1,0,1
06,03734,037,192514,1,0.0192,0.0192,1.0002,10014009,1,0,1
06,03735,037,183205,1,0.0183,0.0183,1.0002,10014009,1,0,1
06,03736,037,115745,1,0.0116,0.0116,1.0002,10014009,1,0,1
06,03737,037,126123,1,0.0126,0.0126,1.0002,10014009,1,0,1
06,03738,037,127671,1,0.0127,0.0127,1.0002,10014009,1,0,1
06,03739,037,171513,1,0.0171,0.0171,1.0002,10014009,1,0,1
06,03740,037,127928,1,0.0128,0.0128,1.0002,10014009,1,0,1
06,03741,037,133387,1,0.0133,0.0133,1.0002,10014009,1,0,1
06,03742,037,128584,1,0.0128,0.0128,1.0002,10014009,1,0,1
06,03743,037,116045,1,0.0116,0.0116,1.0002,10014009,1,0,1
06,03744,037,190188,1,0.019,0.019,1.0002,10014009,1,0,1
06,03745,037,121879,1,0.0122,0.0122,1.0002,10014009,1,0,1
06,03746,037,109171,1,0.0109,0.0109,1.0002,10014009,1,0,1
06,03747,037,164789,1,0.0165,0.0165,1.0002,10014009,1,0,1
06,03748,037,189044,1,0.0189,0.0189,1.0002,10014009,1,0,1
06,03750,037,178716,1,0.0178,0.0178,1.0002,10014009,1,0,1
06,03751,037,158065,1,0.0158,0.0158,1.0002,10014009,1,0,1
06,03752,037,166850,1,0.0167,0.0167,1.0002,10014009,1,0,1
06,03753,037,112920,1,0.0113,0.0113,1.0002,10014009,1,0,1
06,03754,037,135779,1,0.0136,0.0136,1.0002,10014009,1,0,1
06,03757,037,158642,1,0.0158,0.0158,1.0002,10014009,1,0,1
06,03758,037,157965,1,0.0158,0.0158,1.0002,10014009,1,0,1
06,03759,037,115060,1,0.0115,0.0115,1.0002,10014009,1,0,1
06,03760,037,144082,1,0.0144,0.0144,1.0002,10014009,1,0,1
06,03761,037,127249,1,0.0127,0.0127,1.0002,10014009,1,0,1
06,03762,037,119407,1,0.0119,0.0119,1.0002,10014009,1,0,1
06,03763,037,145286,1,0.0145,0.0145,1.0002,10014009,1,0,1
06,03764,037,162735,1,0.0163,0.0163,1.0002,10014009,1,0,1
06,03766,037,102364,1,0.0102,0.0102,1.0002,10014009,1,0,1
06,03767,037,179879,1,0.018,0.018,1.0002,10014009,1,0,1
06,03768,037,112382,1,0.0112,0.0112,1.0002,10014009,1,0,1
06,03770,037,101081,1,0.0101,0.0101,1.0002,10014009,1,0,1
06,03771,037,109406,1,0.0109,0.0109,1.0002,10014009,1,0,1
06,03772,037,103912,1,0.0104,0.0104,1.0002,10014009,1,0,1
06,03773,037,127759,1,0.0128,0.0128,1.0002,10014009,1,0,1
06,03774,037,141081,1,0.0141,0.0141,1.0002,10014009,1,0,1
06,03775,037,116054,1,0.0116,0.0116,1.0002,10014009,1,0,1
06,03776,037,106278,1,0.0106,0.0106,1.0002,10014009,1,0,1
