year,statefip,place,state_name,place_name,population,puma,pop10,afact,afact2,products,sum_products,place_pop,puma_flag,size_flag,geographic_allocation_quality
2021,01,03076,Alabama,Auburn city,78887,01900,53395,0.3807,1,0.3807,0.3807,53395,2,1,3
2021,01,07000,Alabama,Birmingham city,197823,01200,1538,0.0079,0.0016,1.2640000000000003e-5,0.16358003,212147,3,0,3
2021,01,07000,Alabama,Birmingham city,197823,01301,80813,0.8015,0.0837,0.06708555,0.16358003,212147,3,0,3
2021,01,07000,Alabama,Birmingham city,197823,01302,95979,0.9401,0.0994,0.09344594,0.16358003,212147,3,0,3
2021,01,07000,Alabama,Birmingham city,197823,01303,9451,0.0555,0.0098,5.438999999999999e-4,0.16358003,212147,3,0,3
2021,01,07000,Alabama,Birmingham city,197823,01304,19656,0.1125,0.0203,0.0022837499999999998,0.16358003,212147,3,0,3
2021,01,07000,Alabama,Birmingham city,197823,01305,4710,0.0425,0.0049,2.0825000000000002e-4,0.16358003,212147,3,0,3
2021,01,35896,Alabama,Hoover city,92627,01200,22928,0.1175,0.2761,0.03244175,0.21490853,81510,3,1,3
2021,01,35896,Alabama,Hoover city,92627,01303,49514,0.291,0.5963,0.1735233,0.21490853,81510,3,1,3
2021,01,35896,Alabama,Hoover city,92627,01305,9068,0.0819,0.1092,0.00894348,0.21490853,81510,3,1,3
2021,01,37000,Alabama,Huntsville city,218672,00200,9835,0.0572,0.0089,5.0908e-4,0.11795226,180379,3,0,3
2021,01,37000,Alabama,Huntsville city,218672,00301,56960,0.479,0.0517,0.0247643,0.11795226,180379,3,0,3
2021,01,37000,Alabama,Huntsville city,218672,00302,101193,0.9968,0.0918,0.09150624,0.11795226,180379,3,0,3
2021,01,37000,Alabama,Huntsville city,218672,00500,12391,0.1047,0.0112,0.00117264,0.11795226,180379,3,0,3
2021,01,50000,Alabama,Mobile city,185017,02701,90476,0.8168,0.1129,0.09221672,0.201978,195113,3,0,3
2021,01,50000,Alabama,Mobile city,185017,02702,96985,0.904,0.121,0.109384,0.201978,195113,3,0,3
2021,01,50000,Alabama,Mobile city,185017,02703,7652,0.0393,0.0096,3.7727999999999997e-4,0.201978,195113,3,0,3
2021,01,51000,Alabama,Montgomery city,198469,02000,190787,0.9708,0.0219,0.021260519999999998,0.021401279999999998,205530,3,0,3
2021,01,51000,Alabama,Montgomery city,198469,02100,14743,0.0828,0.0017,1.4076e-4,0.021401279999999998,205530,3,0,3
2021,01,77256,Alabama,Tuscaloosa city,109082,01500,4269,0.0411,0.0472,0.00193992,0.74445696,90478,2,1,3
2021,01,77256,Alabama,Tuscaloosa city,109082,01600,86209,0.7793,0.9528,0.74251704,0.74445696,90478,2,1,3
2021,02,03000,Alaska,Anchorage municipality,288702,00101,132542,1,0.1644,0.1644,0.362,291826,2,0,2
2021,02,03000,Alaska,Anchorage municipality,288702,00102,159284,1,0.1976,0.1976,0.362,291826,2,0,2
