"state","puma22","county","stab","CountyName","PUMA22name","pop20","afact2","afact"
"State code","PUMA (2022)","County code","State abbr.","County name","PUMA22 name","Total population (2020 Census)","county-to-puma22 allocation factor","puma22-to-county allocation factor"
"01","00100","01033","AL","Colbert AL","Lauderdale, Colbert & Franklin Counties",57227,1,0.3129 
"01","00100","01059","AL","Franklin AL","Lauderdale, Colbert & Franklin Counties",32113,1,0.1756 
"01","00100","01077","AL","Lauderdale AL","Lauderdale, Colbert & Franklin Counties",93564,1,0.5115 
"01","00200","01083","AL","Limestone AL","Limestone County",103570,1,1 
"01","00300","01079","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",33073,1,0.2113 
"01","00300","01103","AL","Morgan AL","Morgan & Lawrence Counties--Decatur City",123421,1,0.7887 
"01","00401","01089","AL","Madison AL","Madison County (North & East)--Huntsville City (East)",113502,0.2924,1 
"01","00402","01089","AL","Madison AL","Huntsville (North & Far West), Madison (East) & Triana Cities",153097,0.3944,1 
"01","00403","01089","AL","Madison AL","Huntsville City (Central & South)",107983,0.2782,1 
"01","00501","01089","AL","Madison AL","Marshall & Madison (Far Southeast) Counties",13571,0.035,0.1221 
"01","00501","01095","AL","Marshall AL","Marshall & Madison (Far Southeast) Counties",97612,1,0.8779 
"01","00600","01049","AL","DeKalb AL","DeKalb & Jackson Counties",71608,1,0.5766 
"01","00600","01071","AL","Jackson AL","DeKalb & Jackson Counties",52579,1,0.4234 
"01","00700","01019","AL","Cherokee AL","Etowah & Cherokee Counties",24971,1,0.1945 
"01","00700","01055","AL","Etowah AL","Etowah & Cherokee Counties",103436,1,0.8055 
"01","00800","01015","AL","Calhoun AL","Calhoun County",116441,1,1 
"01","00900","01009","AL","Blount AL","St. Clair & Blount Counties",59134,1,0.3936 
"01","00900","01115","AL","St. Clair AL","St. Clair & Blount Counties",91103,1,0.6064 
"01","01000","01043","AL","Cullman AL","Cullman, Marion & Winston Counties",87866,1,0.6243 
"01","01000","01093","AL","Marion AL","Cullman, Marion & Winston Counties",29341,1,0.2085 
"01","01000","01133","AL","Winston AL","Cullman, Marion & Winston Counties",23540,1,0.1673 
"01","01100","01007","AL","Bibb AL","West Alabama",22293,1,0.1771 
"01","01100","01057","AL","Fayette AL","West Alabama",16321,1,0.1296 
"01","01100","01063","AL","Greene AL","West Alabama",7730,1,0.0614 
"01","01100","01065","AL","Hale AL","West Alabama",14785,1,0.1174 
"01","01100","01075","AL","Lamar AL","West Alabama",13972,1,0.111 
"01","01100","01091","AL","Marengo AL","West Alabama",19323,1,0.1535 
"01","01100","01107","AL","Pickens AL","West Alabama",19123,1,0.1519 
"01","01100","01119","AL","Sumter AL","West Alabama",12345,1,0.0981 
"01","01201","01125","AL","Tuscaloosa AL","Tuscaloosa County (Outer)--Northport City (North & West)",101012,0.4449,1 
"01","01202","01125","AL","Tuscaloosa AL","Tuscaloosa & Northport (Southeast) Cities",126024,0.5551,1 
"01","01301","01073","AL","Jefferson AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",50475,0.0748,0.4358 
"01","01301","01127","AL","Walker AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",65342,1,0.5642 
"01","01401","01073","AL","Jefferson AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",118409,0.1755,1 
"01","01402","01073","AL","Jefferson AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",133581,0.198,1 
"01","01403","01073","AL","Jefferson AL","Birmingham City",187166,0.2774,1 
