year,state,county,tract
2018,01,001,020100
2018,01,001,020200
2018,01,001,020300
2018,01,001,020400
2018,01,001,020500
2018,01,001,020600
2018,01,001,020700
2018,01,001,020801
2018,01,001,020802
2018,01,001,020900
2018,01,001,021000
2018,01,001,021100
2018,01,003,010100
2018,01,003,010200
2018,01,003,010300
2018,01,003,010400
2018,01,003,010500
2018,01,003,010600
2018,01,003,010701
2018,01,003,010703
2018,01,003,010704
2018,01,003,010705
2018,01,003,010800
2018,01,003,010903
2018,01,003,010904
2018,01,003,010905
2018,01,003,010906
2018,01,003,011000
2018,01,003,011101
2018,01,003,011102
2018,01,003,011201
2018,01,003,011202
2018,01,003,011300
2018,01,003,011401
2018,01,003,011403
2018,01,003,011405
2018,01,003,011406
2018,01,003,011407
2018,01,003,011408
2018,01,003,011501
2018,01,003,011502
2018,01,003,011601
2018,01,003,011602
2018,01,003,990000
2018,01,005,950100
2018,01,005,950200
2018,01,005,950300
2018,01,005,950400
2018,01,005,950500
2018,01,005,950600
2018,01,005,950700
2018,01,005,950800
2018,01,005,950900
2018,01,007,010001
2018,01,007,010002
2018,01,007,010003
2018,01,007,010004
2018,01,009,050101
2018,01,009,050102
2018,01,009,050200
2018,01,009,050300
2018,01,009,050400
2018,01,009,050500
2018,01,009,050601
2018,01,009,050602
2018,01,009,050700
2018,01,011,952100
2018,01,011,952200
2018,01,011,952500
2018,01,013,952700
2018,01,013,952800
2018,01,013,952900
2018,01,013,953000
2018,01,013,953100
2018,01,013,953200
2018,01,013,953300
2018,01,013,953400
2018,01,013,953500
2018,01,015,000200
2018,01,015,000300
2018,01,015,000400
2018,01,015,000500
2018,01,015,000600
2018,01,015,000700
2018,01,015,000800
2018,01,015,000900
2018,01,015,001000
2018,01,015,001100
2018,01,015,001201
2018,01,015,001202
2018,01,015,001300
2018,01,015,001400
2018,01,015,001500
2018,01,015,001600
2018,01,015,001700
2018,01,015,001800
2018,01,015,002000
2018,01,015,002101
2018,01,015,002102
2018,01,015,002103
2018,01,015,002200
2018,01,015,002300
2018,01,015,002400
2018,01,015,002501
2018,01,015,002502
2018,01,015,002600
2018,01,015,981901
2018,01,015,981902
2018,01,015,981903
2018,01,017,953800
2018,01,017,953900
2018,01,017,954000
2018,01,017,954200
2018,01,017,954300
2018,01,017,954400
2018,01,017,954500
2018,01,017,954600
2018,01,017,954700
2018,01,019,955701
2018,01,019,955702
2018,01,019,955800
2018,01,019,955900
2018,01,019,956000
2018,01,019,956100
2018,01,021,060101
2018,01,021,060102
2018,01,021,060200
2018,01,021,060300
2018,01,021,060401
2018,01,021,060402
2018,01,021,060500
2018,01,021,060600
2018,01,021,060700
2018,01,023,956700
2018,01,023,956800
2018,01,023,956900
2018,01,023,957000
2018,01,025,957500
2018,01,025,957601
2018,01,025,957602
2018,01,025,957700
2018,01,025,957800
2018,01,025,957901
2018,01,025,957902
2018,01,025,958001
2018,01,025,958002
2018,01,027,958900
2018,01,027,959000
2018,01,027,959100
2018,01,027,959200
2018,01,029,959500
2018,01,029,959600
2018,01,029,959700
2018,01,029,959800
2018,01,031,010100
2018,01,031,010200
2018,01,031,010300
2018,01,031,010400
2018,01,031,010500
2018,01,031,010600
2018,01,031,010700
2018,01,031,010800
2018,01,031,010900
2018,01,031,011000
2018,01,031,011100
2018,01,031,011201
2018,01,031,011202
2018,01,031,011300
2018,01,033,020100
2018,01,033,020200
2018,01,033,020300
2018,01,033,020400
2018,01,033,020500
2018,01,033,020600
2018,01,033,020701
2018,01,033,020703
2018,01,033,020704
2018,01,033,020801
2018,01,033,020802
2018,01,033,020901
2018,01,033,020902
2018,01,033,021000
2018,01,035,960200
2018,01,035,960300
2018,01,035,960400
2018,01,035,960500
2018,01,035,960600
2018,01,037,961000
2018,01,037,961100
2018,01,037,961200
2018,01,039,961600
2018,01,039,961700
2018,01,039,961800
2018,01,039,961900
2018,01,039,962000
2018,01,039,962100
2018,01,039,962300
2018,01,039,962400
2018,01,039,962500
2018,01,039,962600
2018,01,039,962700
2018,01,039,962800
2018,01,039,962900
2018,01,039,963000
2018,01,041,963400
2018,01,041,963500
2018,01,041,963600
2018,01,041,963700
2018,01,041,963800
2018,01,041,963900
2018,01,043,964100
2018,01,043,964200
2018,01,043,964300
2018,01,043,964400
2018,01,043,964500
2018,01,043,964600
2018,01,043,964700
2018,01,043,964800
2018,01,043,964900
2018,01,043,965000
2018,01,043,965100
2018,01,043,965200
2018,01,043,965300
2018,01,043,965401
2018,01,043,965402
2018,01,043,965500
2018,01,043,965600
2018,01,043,965700
2018,01,045,020000
2018,01,045,020100
2018,01,045,020200
2018,01,045,020300
2018,01,045,020400
2018,01,045,020500
2018,01,045,020700
2018,01,045,020801
2018,01,045,020802
2018,01,045,021101
2018,01,045,021102
2018,01,045,021200
2018,01,045,021300
2018,01,045,021400
2018,01,047,956100
2018,01,047,956201
2018,01,047,956202
2018,01,047,956300
2018,01,047,956400
2018,01,047,956500
2018,01,047,956600
2018,01,047,956701
2018,01,047,956702
2018,01,047,956800
2018,01,047,956900
2018,01,047,957000
2018,01,047,957100
2018,01,047,957200
2018,01,047,957300
2018,01,049,960100
2018,01,049,960200
2018,01,049,960300
2018,01,049,960400
2018,01,049,960500
2018,01,049,960600
2018,01,049,960700
2018,01,049,960800
2018,01,049,960900
2018,01,049,961000
2018,01,049,961100
2018,01,049,961200
2018,01,049,961300
2018,01,049,961400
2018,01,051,030100
2018,01,051,030200
2018,01,051,030300
2018,01,051,030400
2018,01,051,030500
2018,01,051,030600
2018,01,051,030701
2018,01,051,030702
2018,01,051,030800
2018,01,051,030901
2018,01,051,030902
2018,01,051,031000
2018,01,051,031100
2018,01,051,031200
2018,01,051,031300
2018,01,053,969800
2018,01,053,969900
2018,01,053,970100
2018,01,053,970200
2018,01,053,970300
2018,01,053,970400
2018,01,053,970500
2018,01,053,970600
2018,01,053,970700
2018,01,055,000200
2018,01,055,000300
2018,01,055,000400
2018,01,055,000500
2018,01,055,000600
2018,01,055,000700
2018,01,055,000800
2018,01,055,000900
2018,01,055,001000
2018,01,055,001100
2018,01,055,001200
2018,01,055,001300
2018,01,055,001600
2018,01,055,001700
2018,01,055,010100
2018,01,055,010200
2018,01,055,010300
2018,01,055,010401
2018,01,055,010402
2018,01,055,010501
2018,01,055,010502
2018,01,055,010601
2018,01,055,010602
2018,01,055,010700
2018,01,055,010800
2018,01,055,010900
2018,01,055,011001
2018,01,055,011002
2018,01,055,011100
2018,01,055,011200
2018,01,057,020000
2018,01,057,020100
2018,01,057,020200
2018,01,057,020300
2018,01,057,020400
2018,01,059,972900
2018,01,059,973000
2018,01,059,973100
2018,01,059,973200
2018,01,059,973300
2018,01,059,973400
2018,01,059,973500
2018,01,059,973600
2018,01,059,973700
2018,01,061,050100
2018,01,061,050200
2018,01,061,050300
2018,01,061,050400
2018,01,061,050500
2018,01,061,050600
2018,01,063,060000
2018,01,063,060100
2018,01,063,060200
2018,01,065,040000
2018,01,065,040100
2018,01,065,040200
2018,01,065,040300
2018,01,065,040400
2018,01,065,040500
2018,01,067,030100
2018,01,067,030200
2018,01,067,030300
2018,01,067,030400
2018,01,067,030500
2018,01,067,030600
2018,01,069,040100
2018,01,069,040201
2018,01,069,040202
2018,01,069,040301
2018,01,069,040302
2018,01,069,040400
2018,01,069,040500
2018,01,069,040600
2018,01,069,040700
2018,01,069,040800
2018,01,069,040900
2018,01,069,041000
2018,01,069,041100
2018,01,069,041200
2018,01,069,041400
2018,01,069,041500
2018,01,069,041600
2018,01,069,041700
2018,01,069,041800
2018,01,069,041900
2018,01,069,042000
2018,01,069,042100
2018,01,071,950100
2018,01,071,950200
2018,01,071,950300
2018,01,071,950400
2018,01,071,950500
2018,01,071,950600
2018,01,071,950700
2018,01,071,950800
2018,01,071,950900
2018,01,071,951000
2018,01,071,951100
2018,01,073,000100
2018,01,073,000300
2018,01,073,000400
2018,01,073,000500
2018,01,073,000700
2018,01,073,000800
2018,01,073,001100
2018,01,073,001200
2018,01,073,001400
2018,01,073,001500
2018,01,073,001600
2018,01,073,001902
2018,01,073,002000
2018,01,073,002100
2018,01,073,002200
2018,01,073,002303
2018,01,073,002305
2018,01,073,002306
2018,01,073,002400
2018,01,073,002700
2018,01,073,002900
2018,01,073,003001
2018,01,073,003002
2018,01,073,003100
2018,01,073,003200
2018,01,073,003300
2018,01,073,003400
2018,01,073,003500
2018,01,073,003600
2018,01,073,003700
2018,01,073,003802
2018,01,073,003803
2018,01,073,003900
2018,01,073,004000
2018,01,073,004200
2018,01,073,004500
2018,01,073,004701
2018,01,073,004702
2018,01,073,004800
2018,01,073,004901
2018,01,073,004902
2018,01,073,005000
2018,01,073,005101
2018,01,073,005103
2018,01,073,005104
2018,01,073,005200
2018,01,073,005302
2018,01,073,005500
2018,01,073,005600
2018,01,073,005701
2018,01,073,005702
2018,01,073,005800
2018,01,073,005903
2018,01,073,005905
2018,01,073,005907
2018,01,073,005908
2018,01,073,005909
2018,01,073,005910
2018,01,073,010001
2018,01,073,010002
2018,01,073,010100
2018,01,073,010200
2018,01,073,010301
2018,01,073,010302
2018,01,073,010401
2018,01,073,010402
2018,01,073,010500
2018,01,073,010602
2018,01,073,010603
2018,01,073,010701
2018,01,073,010702
2018,01,073,010703
2018,01,073,010704
2018,01,073,010705
2018,01,073,010706
2018,01,073,010801
2018,01,073,010802
